,PC1,PC2,PC3,target
0,-1.9870234537311646,0.2855321999632875,-0.666277230632539,-6.0670692951255765
1,-2.0750745540690363,0.43895191164148384,-0.6061918492758135,-5.851363213356173
2,-2.0606608808077147,0.4140913939205606,-0.6237471943513776,-4.983493648662537
3,-2.0815761100605776,0.44964628345775737,-0.6137087679759846,-4.70320737675175
4,-2.0517669433263896,0.39666792268541207,-0.6410593072962761,-5.0653662491648435
5,-2.0759188891736793,0.4366849444240384,-0.6268567556941558,-5.363915628966292
6,-2.07617907619684,0.43496421827642484,-0.6305877371702827,-5.092742897175255
7,-2.075874684105968,0.4319360907904509,-0.6342573689679762,-5.668736659383492
8,-2.0751114457524458,0.42785717694572917,-0.6378535451488372,-7.095551504453858
9,-2.1398619155983374,0.5371751194688531,-0.592610675947878,-6.496064924982216
10,-2.0736354927491547,0.4193050055235505,-0.6459833303254452,-6.633172518290159
11,-2.0664001616519667,0.4033708942536116,-0.6532135652419826,-5.698453846459451
12,-2.0378600502606097,0.3504580424821664,-0.6758445482237451,-2.9388220892297783
13,-1.9534619751009712,0.2006696719524069,-0.7388511381156758,-2.435114457996074
14,-1.9705499662406118,0.2268792448159158,-0.7242068367059565,-1.4208063214797837
15,-1.859276953637264,0.030849406901916086,-0.8054157995703188,1.5277572368232353
16,-1.8466189037333676,0.005943866148644247,-0.810458498409201,1.6046575614960539
17,-1.8187215582122154,-0.04490016659387154,-0.8269770037912957,1.9975934098174477
18,-1.8384864420823919,-0.012683897556855046,-0.8078909108394646,2.523831909464476
19,-1.7670266556664105,-0.13821671650236825,-0.8574587251477903,2.485360629579204
20,-1.7475418949181327,-0.17339959321610116,-0.8667469254907657,-1.4831318862187406
21,-1.5913984347875196,-0.44515269415765385,-0.9771662563306105,-4.0559022168674055
22,-1.7284607540645693,-0.20819873989632987,-0.8663612542055459,-6.143755361653626
23,-1.792631036753744,-0.09677900158440775,-0.8147095905633673,-6.047381321575532
24,-1.73962674795534,-0.18831253711910723,-0.8520822700473916,-4.576637696971298
25,-1.6619905159191846,-0.3226526425557192,-0.9061282622643256,-4.597896209463001
26,-1.6544425380079937,-0.33539783489361935,-0.9061780072814828,-4.933122675307853
27,-1.715848417616122,-0.22823948587006226,-0.8554335016693164,-5.017130403853694
28,-1.7023070889050875,-0.25075462001950855,-0.862483831278952,-5.0811181953097755
29,-1.704434176685014,-0.2460831958779459,-0.8576565992248104,-5.061601776611805
30,-1.6856350398960835,-0.27765303924029927,-0.868554937321492,-5.681641762282501
31,-1.7008728833838798,-0.2501770118284249,-0.8538165140579446,-4.804532425550081
32,-1.6637955244408371,-0.31336401059367774,-0.8784721209148947,-4.374005899762903
33,-1.6551390600702596,-0.327286536197661,-0.8810644550521016,-3.8947070567907
34,-1.630727857714336,-0.36844450079823204,-0.8952959824593177,-3.8547951971624377
35,-1.6166539669516464,-0.3915982295054073,-0.9013654634222794,-4.04235146680759
36,-1.6421552976902467,-0.34598484614695013,-0.8779957124711161,-5.110507761954024
37,-1.7237345927855279,-0.20291274102176363,-0.8141491431369366,-5.444773159412537
38,-1.7751317994052596,-0.11209860286719779,-0.7752872380247834,-5.366524152488302
39,-1.7374166576632133,-0.1760663362468078,-0.8038292679156315,-6.569371080881353
40,-1.922724446083826,0.14656686531952048,-0.6656477732995059,-6.078822703461927
41,-1.9078319181514178,0.12183541251226847,-0.681304535838078,-6.915039701377154
42,-1.962834874555451,0.2177098253754401,-0.6439175896832788,-6.4842787396066885
43,-1.9309400867508646,0.16236151544540064,-0.6720008140696538,-7.31744145725039
44,-1.9134557686675335,0.13145694624217263,-0.6877373184306935,-6.1203411216263
45,-1.404577385456206,-0.7524736568218193,-1.0666380025563127,-3.5870769448156157
46,-1.221860305918952,-1.0710140753698103,-1.1880353483537707,-0.8859778933562579
47,-0.9907846218260444,-1.4722666354515626,-1.3413546790187878,-1.608893759444043
48,-0.9404307218562116,-1.5585419922678225,-1.3557861424062925,-4.940540200736731
49,-1.032136873756368,-1.3965161121396301,-1.2660371909123012,-4.306202582512797
50,-1.0199981888105714,-1.412964910410662,-1.2583196214163483,-4.425079295904529
51,-1.0410646377913761,-1.3708102302436946,-1.2271951365819627,-3.546766499848316
52,-1.0164594318103932,-1.4070757022319051,-1.231891245509325,-3.3828254537555478
53,-1.0109474207148759,-1.4096870052839394,-1.2227409462623775,-3.062137370197571
54,-0.9957340318525069,-1.4286535898791106,-1.2215796169154314,-1.8302156214850427
55,-0.9335668021062594,-1.52871651287389,-1.2555684949993982,-2.267886203342752
56,-1.0028667303603578,-1.400456338565661,-1.191070191839417,-3.7737185422386337
57,-1.050395090186897,-1.3095209901937193,-1.1456969297082193,-4.557512744150835
58,-1.0911021293497574,-1.230302193706658,-1.107314132015252,-4.190573779508472
59,-1.0876526949215672,-1.2277561840127318,-1.1031205225709846,-4.312537387336317
60,-1.0944834641439551,-1.2076029186576724,-1.091278985597311,-2.8161696275285015
