,PC1,PC2,PC3,target
0,-3.0792129016770056,0.5336801756849591,-0.6827377623440491,-10.788943542914879
1,-3.1106512270171223,0.5847616994057457,-0.6620784715095769,-9.032350106346064
2,-2.9050710479694266,0.22041312049862338,-0.8249265422538852,-8.804149065510027
3,-2.851708262400386,0.1223817330682961,-0.8635369732900985,-9.835386832844497
4,-2.895325095500289,0.19457202875660803,-0.8260812811847897,-8.369712862674568
5,-2.344615171291173,-0.7738634035480878,-1.2492245025824233,-7.376487885890994
6,-2.1866244476296077,-1.054256678352126,-1.3526079456597038,-6.045086625150813
7,-1.941832835349622,-1.4849506278449711,-1.5204214222129897,-5.0500906833676344
8,-1.7934055923976404,-1.7450817121474231,-1.6088404442034787,-6.9013789886815795
9,-1.7575869635598946,-1.8059354381586028,-1.6088229946155492,-7.115480021349509
10,-1.6923024347302886,-1.916345165979543,-1.6334871124226988,-7.163866071843647
11,-1.5317129308609452,-2.191923350801968,-1.7322912413294436,-6.760348427149993
12,-1.5514921289748627,-2.1502368946372066,-1.6895057539292864,-8.506922204174828
13,-1.596718650319581,-2.062427301028738,-1.630382238808589,-8.549749648638542
14,-1.6002744999296872,-2.0464087919477914,-1.6069260883023173,-8.636162044142928
15,-1.609435530941095,-2.019835390354302,-1.5808773136029124,-9.299365563466296
16,-1.668514998021122,-1.9053590565505594,-1.5179849244246304,-5.7554919176891834
17,-1.696994319299406,-1.8440871331791562,-1.4816113646396758,-5.9215952618832945
18,-1.7688493614088447,-1.706827870259426,-1.4134027388329415,-5.545417711480948
19,-1.7063058718357997,-1.804851233868921,-1.4515149094245883,-4.679213497056048
20,-1.6202436120754962,-1.9443439840283934,-1.5060143093992964,-4.819533512858832
21,-1.6584487445467808,-1.8664810761413868,-1.4625235272882247,-5.826004138829045
22,-1.7058107599706738,-1.7724689122350825,-1.4138656011230986,-5.799133770495477
23,-1.77231510762618,-1.6450026375841622,-1.3523844169487929,-3.101930335943262
24,-1.5947044170475628,-1.9448980344609403,-1.4812889861442724,-3.329224557465546
25,-1.579879936687617,-1.9603614019968274,-1.4792631403100345,-4.330864356172216
26,-1.636166649886963,-1.8512474296490924,-1.422676534994498,-4.807521408823886
27,-1.6229053675755185,-1.8636811879277466,-1.4220508914515704,-3.8514856520973773
28,-1.5507616420287405,-1.9792249206684434,-1.4667212424834362,-6.061976736460631
29,-1.6031060382135764,-1.8770530675332393,-1.4136322028996924,-6.897196569216846
30,-1.5756746809401139,-1.9143127644698144,-1.424198154136744,-7.088575737142167
31,-1.5336668864817875,-1.9771495086657334,-1.445455139726312,-5.602327820673027
32,-1.4951768145287854,-2.0338508587532864,-1.4630931591904168,-3.043855866763443
33,-1.095916413342089,-2.721448186714094,-1.7578223972568479,-1.3424954972204552
34,-1.0126529689451238,-2.856250329256767,-1.797497311147058,-0.017694553946275973
35,-0.8512826947110899,-3.1264020562779327,-1.8967228342981208,-0.03536693647986085
36,-0.9101049709122644,-3.010432220082009,-1.8235336978296475,1.758635773347618
37,-0.7658025902265967,-3.2482260345305836,-1.9107245068505219,1.499266050696475
38,-0.766573811678889,-3.2315993628624264,-1.8835547813907598,2.1063592051817115
39,-0.7693082595267706,-3.2105332239091613,-1.856883357032836,1.8854344637567169
40,-0.7736199404461555,-3.185971711613832,-1.83075082706626,-2.325895113129169
41,-1.0645420502181662,-2.660077017691462,-1.5858141307020017,-2.494739355562284
42,-1.1242414145534878,-2.5378190756483123,-1.5287568996913954,-2.5156892330686986
43,-1.1154183981246286,-2.535865624572608,-1.52609485970083,-2.6607862047242428
44,-1.144070842981861,-2.4691212035161696,-1.4940747370530583,-3.0724740620650506
45,-1.1725268214216007,-2.403266496777427,-1.4629204611428426,-3.7701918258087384
46,-1.1036111516887925,-2.508069787105152,-1.5072631889450407,-3.0034295706474836
47,-1.1745595085499394,-2.3691153648478096,-1.4417531476137593,-2.7010643094437867
48,-1.3293759411263661,-2.0839304349330305,-1.314061227577161,-2.390966730035253
49,-1.293855693948508,-2.131648071115465,-1.3372097267417633,-2.669988909099563
50,-1.2343115456891192,-2.222164830349938,-1.377022019445322,-1.8508911142410678
51,-1.1628875263799656,-2.3340183961400784,-1.4237086798365122,-1.0161258917825506
52,-1.2093527422815606,-2.2403113306981624,-1.3775374561974258,1.8809563560353786
53,-0.9287103124414792,-2.717894213560481,-1.5842574331258379,2.6747879129727843
54,-0.7708618150642101,-2.9812527625943965,-1.6880130901769166,4.060611862660404
55,-0.6986420476491404,-3.094502180900246,-1.7222432912502246,2.647152529627966
56,-0.8332723896279324,-2.845756369593643,-1.59697625336906,2.31263756272146
57,-0.8684719351042806,-2.769696340722229,-1.553732196966018,1.7771953743135032
58,-0.9898618720920335,-2.542907001957809,-1.446199487184523,2.8274527382423527
59,-0.9961655042150352,-2.5168863303880222,-1.4312590669965868,2.336121514692301
60,-1.062946787146969,-2.3856119402209077,-1.3700982276725795,2.1479269513105397
61,-1.124430332055166,-2.26385851357207,-1.3150511027101939,2.6476028581823927
62,-1.1053998617245975,-2.283058499112256,-1.3234463782116408,1.5837611220341052
63,-1.1824358871371552,-2.1351578565641303,-1.2571350117583775,1.5844382548134572
64,-1.1670995593180435,-2.1488556572315796,-1.263831711723293,3.776291662757198
65,-1.0171638120324593,-2.3980072498022587,-1.3728690582297036,3.9027241446258993
66,-1.0544555651137009,-2.320893621331998,-1.333341738300273,3.0891568099638302
67,-1.0379353235989717,-2.337599370853639,-1.3365734963426406,3.5806545570036916
68,-1.0474541300075806,-2.30894345094051,-1.3194658180431,3.2959019686655937
69,-1.0308884804005074,-2.32582540223947,-1.322855166852738,6.861198225876504
70,-0.8744327474219263,-2.586832384924866,-1.4331722817788943,4.900516782430379
71,-1.0089311002184467,-2.3403060393396027,-1.3157245603321794,1.4990991044802067
72,-1.1868331130768468,-2.0176358163161923,-1.169877273614925,3.3950664087779523
73,-1.1834379394263692,-2.011278530861891,-1.1686553266344706,4.199706606076609
74,-1.0900797780906486,-2.16244277849226,-1.2357716784364527,2.541369142697415
75,-1.1078580770632098,-2.120241947788775,-1.2143759236851197,-0.487601243975569
76,-1.24113005700446,-1.8767051576556009,-1.104975077043949,-1.712030097023999
77,-1.2508989967742807,-1.8487228798779418,-1.0943165142715263,-2.6719688393799723
78,-1.160894907391588,-1.9952937327724118,-1.159939335044751,-3.7702955874090986
79,-1.210430085370238,-1.8989591620584176,-1.115347514444409,-5.4747655361317715
80,-1.2161139337299458,-1.879211930587484,-1.1058678074844783,-7.45585247682173
81,-1.223565946914639,-1.8566219681108043,-1.0950034254665704,-9.573531709882348
82,-1.2955792119088199,-1.7216473712495746,-1.034683605012796,-11.502839216280194
83,-1.3907387800500823,-1.5464865795229679,-0.9586452379520954,-11.258836581678535
84,-1.4140081843681096,-1.4970542278106969,-0.940232358640204,-12.557426291558121
85,-1.45698645065661,-1.413815415671418,-0.9067306729912848,-12.262084138939304
86,-1.4755308191612484,-1.3737019069886334,-0.892629366873895,-11.17132707241871
87,-1.4611258158104146,-1.3915930056121875,-0.9036707629391587,-10.857225869319482
88,-1.4416611755560118,-1.4187990929778704,-0.9175180269360843,-9.663255117516902
89,-1.437510246362378,-1.419646037781951,-0.9185617899544432,-10.964374189953475
90,-1.4835410668201638,-1.333194427128259,-0.8806895291890465,-8.479856976126023
91,-1.4106213625548147,-1.4543382445927795,-0.9351968173727907,-9.787766236563044
92,-1.4555245664416159,-1.3702815242215778,-0.8967585233090558,-9.063254578748472
93,-1.4161389972498002,-1.4332059657512897,-0.9242952535662005,-11.199068509157716
94,-1.4670001953781313,-1.3388830287474192,-0.8812320068245588,-10.504401572729238
95,-1.4498732005284887,-1.363098974972987,-0.8918426903223435,-8.26500751165892
96,-1.3958089670106226,-1.4518699511594433,-0.9300496797556842,-11.448707974799763
97,-1.5027209285291527,-1.2599950618703109,-0.8430683826420073,-12.115402871298734
98,-1.4414789611178753,-1.3612161737766202,-0.8884073574163907,-11.053678002718327
99,-1.3687576864559086,-1.4826922715032986,-0.9403706372736378,-9.522455148436359
100,-1.3211825161548814,-1.5603421289785269,-0.970810670245769,-9.197099572698407
101,-1.254966140224002,-1.6703078101216124,-1.0143466508642447,-6.034860305492537
102,-1.086951385304977,-1.9574961154132937,-1.1342942011361312,-4.992148056596921
103,-1.064716701807651,-1.9901207451545393,-1.1379100548407617,-1.8508922322880013
104,-0.9341469261442329,-2.2108337155043616,-1.2250002971193308,0.8682767893715416
105,-0.7237242260877018,-2.5700792226870557,-1.3702780981049782,3.6385053874602122
106,-0.641023595692425,-2.705784409963382,-1.4125239007024832,1.7633626448591913
107,-0.6300364867047765,-2.7152083637751705,-1.399173550000085,1.933162422898083
108,-0.6574336088174915,-2.656506532306844,-1.357962198804721,2.7265107208280637
109,-0.6222489242543869,-2.705897381430029,-1.367140095124688,2.1163536698243672
110,-0.650500217232251,-2.644067638987227,-1.3278716631373173,1.4385872771773134
111,-0.6925086111961571,-2.557662878755764,-1.2800959338560154,1.1066093424932533
112,-0.6934587151998026,-2.5424415769057442,-1.2659302264791952,-0.22659734237573922
113,-0.755542173114077,-2.4205587647002633,-1.2055523780953536,-0.7442258871501217
114,-0.7258346664245859,-2.4585368242924384,-1.2178717343713645,-1.2079810284749821
115,-0.8109367382489239,-2.2966260177027653,-1.1415554367929477,-1.1842517868697995
116,-0.776046447106693,-2.3438315970584847,-1.1600296052640282,-0.8781759370918247
117,-0.7908323924335606,-2.3048152387381435,-1.1393411107952378,2.0128693691590316
118,-0.6883432405525777,-2.470292719442735,-1.209008097314626,2.3700495384053575
119,-0.7155643819661267,-2.4100301791919874,-1.1762783439939017,3.5852588081098147
120,-0.8042410457312371,-2.2426112061755052,-1.0977850008628096,5.693641300042899
121,-0.7103014584406657,-2.39331403007233,-1.1620926973662884,6.887253871967811
122,-0.5335771222118467,-2.6885155639441174,-1.2868022879857424,6.343665907939733
123,-0.544381560391218,-2.6571066002644534,-1.2628717166431804,5.826117345186685
124,-0.6028268215622926,-2.542247438017617,-1.2037552548927735,5.744951652488281
125,-0.571840377561213,-2.5828042752792033,-1.2156145082169565,2.8576307212918044
126,-0.6761860732600722,-2.3876385763672774,-1.1233892515871724,0.28145095313626683
127,-0.7400463395484544,-2.2628438301597007,-1.0658102093048192,-3.4438005654508523
128,-0.8755087655925509,-2.013587461207118,-0.955414540259297,-5.0310079062506805
129,-0.895287742290121,-1.9661288482570995,-0.9374581592488285,-6.116473931559132
130,-1.0337202403303332,-1.7127768866460187,-0.8286591741028545,-4.751020972672467
131,-0.9063437728302064,-1.9228656791485916,-0.9268489735414002,-5.37459694283231
132,-0.9556151077147351,-1.826337552292049,-0.8850035620526338,-5.143440660073344
