spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,LDN,NY,Asia,target,Date,CCY,logret,Predictions,erf_signal,scaled_signal,scaled_signal_erf,strat_returns,strat_returns_sum,strat_returns_erf,strat_returns_sum_erf
-0.3827842035973127,-1.643223950833914,-1.4723817637765555,0.25172818469281366,-1.8739427174692742,-0.5199593970901429,1.0,0.0,0,0.00035509262372292893,2014-10-10 09:00:00,1.2667,-0.0014988367102099498,-1.0,-0.4621171572600098,,,,,,
-0.27511334768063234,-1.6246968247609177,-1.4611427656247125,0.204815882437051,-1.8733958062690923,-0.5211156844923513,1.0,0.0,0,0.0009467829812928807,2014-10-10 10:00:00,1.26705,0.00027627035202859584,-1.0,-0.4621171572600098,,,,,,
-0.28905583692365316,-1.6328418224443397,-1.4663396967297317,0.16177675275055362,-1.8728937535096821,-0.5222778257060413,1.0,0.0,0,0.0014592497314459484,2014-10-10 11:00:00,1.26685,-0.0001578594265087829,-1.0,-0.4621171572600098,,,,,,
-0.2629635707063845,-1.6312648922784811,-1.4655515089201676,0.12604512750348448,-1.8723891021415184,-0.5234377399986374,1.0,0.0,0,0.0031179107646371815,2014-10-10 12:00:00,1.26685,0.0,-1.0,-0.4621171572600098,,,,,,
-0.6395317650028475,-1.7240453534858173,-1.5230008010259966,0.05702185596204486,-1.872339796541088,-0.5246740710859561,0.5,0.5,0,0.00402939630268858,2014-10-10 13:00:00,1.2649,-0.0015404367616105306,-1.0,-0.4621171572600098,,,,,,
-0.9538363385815298,-1.8068460163248656,-1.5744315199635839,-0.0353152483993476,-1.8726948107118897,-0.5259786129325645,0.5,0.5,0,0.004028441466858622,2014-10-10 14:00:00,1.26315,-0.0013844665093851738,-1.0,-0.4621171572600098,,,,,,
-0.8319149921833351,-1.7901847786597074,-1.5645992738177785,-0.10533438980658105,-1.8729691334787824,-0.5272685681840195,0.5,0.5,0,0.0042281690240407385,2014-10-10 15:00:00,1.26345,0.00023747328537149223,-1.0,-0.4621171572600098,,,,,,
-0.9460912138572438,-1.826799987374937,-1.5876245518357426,-0.1790382855405783,-1.8734217851150865,-0.5285883229590538,0.5,0.5,0,0.0039885530218963725,2014-10-10 16:00:00,1.26265,-0.0006333874563518582,-1.0,-0.4621171572600098,,,,,,
-0.6975667481797673,-1.7786165249397674,-1.558368029936822,-0.22031792940502368,-1.8736401955272328,-0.5298672484832917,0.5,0.5,0,0.0020944898881788063,2014-10-10 17:00:00,1.2636,0.0007521029547996605,-1.0,-0.4621171572600098,,,,,,
-0.5998686494671559,-1.762037486647155,-1.548544970437143,-0.24790407768380981,-1.8737790719945309,-0.5311316309404613,0.0,1.0,0,0.0039915479715505395,2014-10-10 18:00:00,1.2639,0.0002373887251503892,-1.0,-0.4621171572600098,,,,,,
-0.8270513716294309,-1.8205097263466579,-1.5850181011310254,-0.29544913500093134,-1.874203112627203,-0.5324440032386795,0.0,1.0,0,0.005218640767620346,2014-10-10 19:00:00,1.26265,-0.0009894916799500495,-1.0,-0.4621171572600098,,,,,,
-1.0415827613421598,-1.878797590769673,-1.6214654477183417,-0.35938271570571156,-1.8749098131118311,-0.5338042787319063,0.0,1.0,0,0.006006973484836857,2014-10-10 20:00:00,1.2614,-0.0009904717435796073,-1.0,-0.4621171572600098,,,,,,
-0.9889370880090618,-1.8764056613934288,-1.6205513752984753,-0.411486314296739,-1.8756030684030054,-0.5351619594361189,0.0,1.0,0,0.009731957584167776,2014-10-10 21:00:00,1.2614,0.0,-1.0,-0.4621171572600098,,,,,,
-0.6448638069986502,-1.8038760510614669,-1.5763435248408788,-0.42446164594261493,-1.8759425383315593,-0.5364585789540419,0.0,1.0,0,0.008947459230605075,2014-10-10 22:00:00,1.26285,0.00114885622223182,-1.0,-0.4621171572600098,,,,,,
-0.6203672963290651,-1.8017394059274343,-1.5754707480915862,-0.434415897183482,-1.87627187263249,-0.537752721023426,0.0,0.0,1,0.007052409900989257,2014-10-10 23:00:00,1.26285,0.0,-1.0,-0.4621171572600098,,,,,,
-0.23940215993109326,-1.714952603004207,-1.5223487209686328,-0.4065220957299951,-1.8761802856724723,-0.5389738234260308,0.0,0.0,1,0.006427086769015897,2014-10-13 00:00:00,1.2646,0.0013847951727300745,-1.0,-0.4621171572600098,,,,,,
-0.3629692511893291,-1.7421393912470349,-1.5394381892511624,-0.39490515197203774,-1.8762233195189875,-0.5402167816219756,0.0,0.0,1,0.005952515851305843,2014-10-13 01:00:00,1.264,-0.0004745709177100543,-1.0,-0.4621171572600098,,,,,,
-0.2322796675205108,-1.7111833432736716,-1.5206846916246208,-0.3725036622643473,-1.8761180205960162,-0.5414331669097832,0.0,0.0,1,0.003186908840934386,2014-10-13 02:00:00,1.2646,0.0004745709177100543,-1.0,-0.4621171572600098,,,,,,
0.628288311138805,-1.5061617690259206,-1.394458173879036,-0.2685442157785583,-1.8750204849850534,-0.5424778652080224,0.0,0.0,1,0.0026357732759924512,2014-10-13 03:00:00,1.2688,0.0033157052560706946,-1.0,-0.4621171572600098,,,,,,
0.6801992775311804,-1.4808157305534995,-1.3788119860818409,-0.17218772218086992,-1.8738083725818102,-0.5435003895004781,0.0,0.0,1,0.002203597476118194,2014-10-13 04:00:00,1.2693,0.00039399551354807327,-1.0,-0.4621171572600098,,,,,,
0.6202488123121518,-1.4821460365962966,-1.3795941836583923,-0.09336872546841371,-1.8726117736843069,-0.5445229545511472,0.0,0.0,1,0.003070143323134703,2014-10-13 05:00:00,1.26925,-3.939256662785495e-05,-1.0,-0.4621171572600098,,,,,,
