spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,LDN,NY,Asia,target,Date,CCY,logret,Predictions,erf_signal,scaled_signal,scaled_signal_erf,strat_returns,strat_returns_sum,strat_returns_erf,strat_returns_sum_erf
0.4422737482266223,1.4838660580440481,1.9386688954745142,1.1404477705492697,1.4969814795603555,2.2994247707530415,0.5,0.5,0,0.7257092069539028,2002-12-18 13:00:00,1.02515,0.0,1.0,0.4621171572600098,,,,,,
0.5687341973154463,1.5090429318476657,1.9546372953460505,1.1178264555114934,1.4986497797928047,2.2999055843794096,0.5,0.5,0,0.7257092069539028,2002-12-18 14:00:00,1.02575,0.0005851089932396129,1.0,0.4621171572600098,,,,,,
0.567555024392892,1.5065392010182728,1.9536145752599978,1.0972565032258719,1.5002962308882286,2.300383915648717,0.5,0.5,0,-1.6269886388264136,2002-12-18 15:00:00,1.02575,0.0,1.0,0.4621171572600098,,,,,,
0.8719485498190748,1.57534258880098,1.9964371573944428,1.1084915416628078,1.502285998598245,2.300929375659205,0.5,0.5,0,-1.6269886388264136,2002-12-18 16:00:00,1.0273,0.0015099488999226855,-1.0,-0.4621171572600098,,,,,,
0.8509432312363884,1.5726276577252731,1.995372964907465,1.1158664572390322,1.5042510068517918,2.3014721938585327,0.5,0.5,0,-0.12231772898977268,2002-12-18 17:00:00,1.0273,0.0,-1.0,-0.4621171572600098,,,,,,
0.1794399154481344,1.418146914047181,1.9009824867733458,1.0560089168518634,1.5054145041833695,2.301864228090856,0.0,1.0,0,-0.12231772898977268,2002-12-18 18:00:00,1.024,-0.0032174746227649764,1.0,0.4621171572600098,,,,,,
0.20081555619684424,1.4159519908653724,1.9000127234807835,1.0048234126870448,1.506560646630751,2.3022539946541007,0.0,1.0,0,0.5734957368120346,2002-12-18 19:00:00,1.024,0.0,1.0,0.4621171572600098,,,,,,
0.6337126735425163,1.510351593515662,1.9584263072025694,1.0016253684903786,1.5081839381566642,2.3027357376415867,0.0,1.0,0,0.5734957368120346,2002-12-18 20:00:00,1.0261,0.00204868126871036,-1.0,-0.4621171572600098,,,,,,
0.6236410516401351,1.5078664270223756,1.957403158445172,0.9972715348922859,1.5097857092859224,2.303214983621466,0.0,1.0,0,0.3839806350673909,2002-12-18 21:00:00,1.0261,0.0,-1.0,-0.4621171572600098,,,,,,
0.8018687833036202,1.549079213692365,1.9832377073442398,1.0104060697563642,1.5115897644497427,2.3037343621261934,0.0,1.0,0,0.3839806350673909,2002-12-18 22:00:00,1.02705,0.0009254073670181516,-1.0,-0.4621171572600098,,,,,,
0.7814556992191851,1.546472702789026,1.9821898352570442,1.0195120793494905,1.5133706565466816,2.304251151129785,0.0,0.0,1,-1.322141004945167,2002-12-18 23:00:00,1.02705,0.0,-1.0,-0.4621171572600098,,,,,,
1.0197716972036919,1.6036552587123096,2.0178869020649346,1.050505617519968,1.5154345535697655,2.3048236661973984,0.0,0.0,1,-1.322141004945167,2002-12-19 00:00:00,1.02835,0.0012649607602870756,-1.0,-0.4621171572600098,,,,,,
0.9871297191727005,1.6008756559198067,2.0168042156997843,1.0742781419193679,1.5174729312606565,2.3053934613185207,0.0,0.0,1,0.45784859370857584,2002-12-19 01:00:00,1.02835,0.0,-1.0,-0.4621171572600098,,,,,,
0.2656823606077987,1.4371811375486476,1.9168160787852395,1.024136021645538,1.5186623354659885,2.305803600361807,0.0,0.0,1,0.45784859370857584,2002-12-19 02:00:00,1.02485,-0.003409315595331492,1.0,0.4621171572600098,,,,,,
0.280450150218224,1.4349534676111335,1.915834631552076,0.9810150506405798,1.5198340529020298,2.306211411510571,0.0,0.0,1,-0.28621934896569,2002-12-19 03:00:00,1.02485,0.0,1.0,0.4621171572600098,,,,,,
0.6483799294483399,1.5154993803072332,1.965714275995033,0.9786893737628743,1.5214117804885405,2.3066975844748225,0.0,0.0,1,-0.28621934896569,2002-12-19 04:00:00,1.02665,0.001754814001370536,-1.0,-0.4621171572600098,,,,,,
0.6367105360993767,1.513024855235604,1.964686723693258,0.9750935671095715,1.5229683115595738,2.30718124009856,0.0,0.0,1,1.0687116953522373,2002-12-19 05:00:00,1.02665,0.0,-1.0,-0.4621171572600098,,,,,,
0.4279285445056684,1.4645832591894166,1.9354098273523603,0.9510479313240358,1.5242685525507544,2.307617572513754,0.0,0.0,1,1.0687116953522373,2002-12-19 06:00:00,1.02565,-0.000974516473361893,1.0,0.4621171572600098,,,,,,
0.429336721964376,1.4622774455657161,1.9344111873874859,0.929577214617312,1.5255500763614818,2.3080515093979836,1.0,0.0,0,1.4586348834995544,2002-12-19 07:00:00,1.02565,0.0,1.0,0.4621171572600098,,,,,,
0.3902356557090602,1.4507863687062126,1.9277645823665308,0.9063844626116051,1.526765994031943,2.3084740962612336,1.0,0.0,0,1.4586348834995544,2002-12-19 08:00:00,1.02545,-0.0001950173084041169,1.0,0.4621171572600098,,,,,,
0.3922664026331039,1.4485294308927241,1.926773430062174,0.8856908501873364,1.5279639380273713,2.308894320100169,1.0,0.0,0,-1.8857224628415938,2002-12-19 09:00:00,1.02545,0.0,1.0,0.4621171572600098,,,,,,
0.6306970023401965,1.5014431484336996,1.959668504903061,0.8903846603038461,1.5294263365549556,2.3093659337340187,1.0,0.0,0,-1.8857224628415938,2002-12-19 10:00:00,1.02665,0.00116953378176601,-1.0,-0.4621171572600098,,,,,,
