data_size,Accuracy_Score,ntree,Info_Ratio,run_time,train_date_st,test_date_st
1000,1.952,150,-0.12236898942725138,0 days 00:00:40.599836000,2010-06-17 23:00:00,2010-06-18 05:00:00
1000,1.664,150,0.31470117025541233,0 days 00:00:42.454305000,2010-08-16 15:00:00,2010-08-16 21:00:00
1000,1.953,150,-0.09157934127890124,0 days 00:00:43.181436000,2010-10-13 07:00:00,2010-10-13 13:00:00
1000,2.004,150,-0.23199705959048433,0 days 00:00:45.017322000,2010-12-09 23:00:00,2010-12-10 05:00:00
1000,1.964,150,0.11654001058713655,0 days 00:00:46.241966000,2011-02-07 15:00:00,2011-02-07 21:00:00
1000,2.192,150,-0.5876500372015516,0 days 00:00:46.699062000,2011-04-06 07:00:00,2011-04-06 13:00:00
1000,2.224,150,-0.8272883852120229,0 days 00:00:47.693071000,2011-06-02 23:00:00,2011-06-03 05:00:00
1000,1.824,150,0.2529698057406043,0 days 00:00:50.806043000,2011-08-01 15:00:00,2011-08-01 21:00:00
1000,2.016,150,-0.07656782317061804,0 days 00:00:51.584086000,2011-09-28 07:00:00,2011-09-28 13:00:00
1000,2.02,150,-0.09578283333892501,0 days 00:00:52.974178000,2011-11-24 23:00:00,2011-11-25 05:00:00
1000,2.16,150,-0.4983175318322793,0 days 00:00:54.580417000,2012-01-23 15:00:00,2012-01-23 21:00:00
1000,2.168,150,-0.4956229408290007,0 days 00:00:56.146520000,2012-03-21 07:00:00,2012-03-21 13:00:00
1000,2.124,150,-0.6255995304505976,0 days 00:00:56.752060000,2012-05-17 23:00:00,2012-05-18 05:00:00
1000,2.228,150,-0.19734312253730865,0 days 00:00:57.811041000,2012-07-16 15:00:00,2012-07-16 21:00:00
1000,2.128,150,-0.43120077336461865,0 days 00:00:59.495083000,2012-09-12 07:00:00,2012-09-12 13:00:00
1000,1.944,150,0.019920706912715136,0 days 00:01:00.903174000,2012-11-08 23:00:00,2012-11-09 05:00:00
1000,1.804,150,0.7456382489121097,0 days 00:01:02.086088000,2013-01-07 15:00:00,2013-01-07 21:00:00
1000,1.92,150,-0.09447362168045743,0 days 00:01:04.117095000,2013-03-06 07:00:00,2013-03-06 13:00:00
1000,1.768,150,0.18101796849619295,0 days 00:01:05.697567000,2013-05-02 23:00:00,2013-05-03 05:00:00
1000,1.564,150,0.7970636983989198,0 days 00:01:08.074324000,2013-07-01 15:00:00,2013-07-01 21:00:00
1000,2.036,150,-0.0448125055480118,0 days 00:01:09.560483000,2013-08-28 07:00:00,2013-08-28 13:00:00
1000,1.852,150,0.13998599803642192,0 days 00:01:10.691664000,2013-10-24 23:00:00,2013-10-25 05:00:00
1000,1.84,150,0.4501415027141798,0 days 00:01:11.388928000,2013-12-23 15:00:00,2013-12-23 21:00:00
1000,2.06,150,-0.38274703675624216,0 days 00:01:12.666635000,2014-02-19 07:00:00,2014-02-19 13:00:00
1000,2.156,150,-0.22998312192676906,0 days 00:01:15.292720000,2014-04-17 23:00:00,2014-04-18 05:00:00
1000,1.708,150,0.428142087123459,0 days 00:01:16.572799000,2014-06-16 15:00:00,2014-06-16 21:00:00
1000,1.592,150,0.9250732241927017,0 days 00:01:17.970999000,2014-08-13 07:00:00,2014-08-13 13:00:00
1000,1.72,150,0.8928105591861282,0 days 00:01:18.141910000,2014-10-09 23:00:00,2014-10-10 05:00:00
1000,2.052,150,-0.41017392562808724,0 days 00:01:19.602158000,2014-12-08 15:00:00,2014-12-08 21:00:00
1000,2.128,150,-0.5218812637495086,0 days 00:01:20.081649000,2015-02-04 07:00:00,2015-02-04 13:00:00
1000,2.432,150,-1.0407058342441526,0 days 00:01:21.728638000,2015-04-02 23:00:00,2015-04-03 05:00:00
1000,1.492,150,1.3046481078004097,0 days 00:01:22.608736000,2015-06-01 15:00:00,2015-06-01 21:00:00
1000,2.064,150,-0.2725965317805869,0 days 00:01:24.496081000,2015-07-29 07:00:00,2015-07-29 13:00:00
1000,2.052,150,-0.7019322800634507,0 days 00:01:24.320732000,2015-09-24 23:00:00,2015-09-25 05:00:00
1000,2.068,150,-0.6390517007526793,0 days 00:01:27.314864000,2015-11-23 15:00:00,2015-11-23 21:00:00
1000,2.292,150,-0.8553857214275731,0 days 00:01:27.041549000,2016-01-20 07:00:00,2016-01-20 13:00:00
1000,1.696,150,0.33258719828921157,0 days 00:01:28.490548000,2016-03-17 23:00:00,2016-03-18 05:00:00
1000,2.132,150,-0.012034386593736074,0 days 00:01:29.186861000,2016-05-16 15:00:00,2016-05-16 21:00:00
1000,1.809,150,0.23467371066642,0 days 00:01:32.743815000,2016-07-13 07:00:00,2016-07-13 13:00:00
1000,1.974,150,-0.39819328142853894,0 days 00:01:34.087550000,2016-09-08 23:00:00,2016-09-09 05:00:00
1000,1.824,150,0.47484510228493604,0 days 00:01:35.286225000,2016-11-07 15:00:00,2016-11-07 21:00:00
1000,2.004,150,0.04143806301100042,0 days 00:01:37.532318000,2017-01-04 07:00:00,2017-01-04 13:00:00
1000,2.213,150,-0.5429359909418369,0 days 00:01:39.658617000,2017-03-02 23:00:00,2017-03-03 05:00:00
1000,2.06,150,0.04808068840512831,0 days 00:01:39.170483000,2017-05-01 15:00:00,2017-05-01 21:00:00
1000,2.228,150,-0.44637846451350915,0 days 00:01:40.601831000,2017-06-28 07:00:00,2017-06-28 13:00:00
1000,2.108,150,0.2677764173288784,0 days 00:01:40.387194000,2017-08-24 23:00:00,2017-08-25 05:00:00
1000,2.036,150,0.23501396551565584,0 days 00:01:42.427041000,2017-10-23 15:00:00,2017-10-23 21:00:00
1000,1.962,150,0.2679571859263734,0 days 00:01:42.657421000,2017-11-02 02:00:00,2017-11-02 08:00:00
