,PC1,PC2,target
11572,1.3851273146887402,-2.0728164211162947,2.2690928850457244
11573,1.3958895341857507,-2.0820152442256616,3.0952990658743866
11574,1.416062770082449,-2.1063644236366774,4.418553189721317
11575,1.5098440252275642,-2.2591858387138517,7.297068359147095
11576,1.7000558873012883,-2.5809492657268773,7.230655361958936
11577,1.6068931578161207,-2.403176855045534,6.345599926767614
11578,1.538049022369745,-2.266850792073272,5.993430685036585
11579,1.5043545078429594,-2.1916896632463136,2.1469236588138467
11580,1.4764523587641536,-2.1264595133451647,0.5282649609170804
11581,1.209986428078712,-1.6413203632714246,2.2051779435662837
11582,1.3107935054979976,-1.8024237913361663,1.7250212269738787
11583,1.3720934491481556,-1.8949894044678843,2.005414010832936
11584,1.3454346309868646,-1.8332542836331225,2.2741844179370503
11585,1.3584803528313227,-1.8416157747722917,2.957990922433788
11586,1.5156610652489135,-2.104004407195011,1.486162922846757
11587,1.5485010804110604,-2.1479275043551946,-0.02299813155942596
11588,1.3528487784847791,-1.7894708148561715,-1.476745874564431
11589,1.2921742129510094,-1.6681292540199046,-1.1297784926434702
11590,1.2709965021311445,-1.6166862982034804,-0.6681032730560139
11591,1.217135054490816,-1.5082341544966467,-0.9780030598727244
11592,1.2125194429640085,-1.4869554060941133,-0.5513243478802144
11593,1.1874391402807856,-1.4302696806477413,-1.8547909138125003
11594,1.1343508846781496,-1.324789505937133,-3.7943559141739645
11595,0.9938756017772985,-1.0659547379158423,-2.406107495176012
11596,0.8518015422582039,-0.8047367147987622,0.8208451761441308
11597,0.9890562389402979,-1.035968353097263,0.9905401960271927
11598,0.9089223440617363,-0.8858638992895318,1.0281887266129206
11599,0.8611878907084621,-0.7932290655338035,-0.11517473313547288
11600,0.8089187897289868,-0.6932237624238697,-3.684093066695795
11601,0.7143714364790327,-0.5194162137593955,-1.3271426791998833
11602,0.7253567865268784,-0.5319797258308622,-1.6873577732819374
11603,0.7237144589713199,-0.5231744482129288,1.582751847326653
11604,1.02721328720691,-1.052188827328576,2.278083254272939
11605,0.9665547928336015,-0.9409873644418693,1.9990270762813593
11606,0.9041043047711025,-0.8260752502306578,2.1979966130860813
11607,1.0194345903388426,-1.0238529419968696,2.1546972361993526
