ESI_EURUSD_spread_madiff,ESI_G10_normalised_madiff,ESI_Global_normalised_madiff,EDI_EURUSD_spread_madiff,EDI_G10_normalised_madiff,EDI_Global_normalised_madiff,Date,RF_erf,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret
-10.755099015001464,-129.61758270549007,-135.915389264183,-17.877676437458643,-43.43314867230745,-55.28394992098762,2009-01-30,-0.004486240000000001,0.010977073000000035,0.004783060831904794,,0,-0.0,-0.0,-0.004486240000000001
-11.45870322554043,-132.38488913156672,-139.63189412041507,-17.843378380547946,-42.72771067783313,-55.24163483121337,2009-02-02,7.213899999999971e-05,-6.927599999996428e-05,0.007304164110476217,,0,0.0,0.0,-0.004414101000000001
-11.594984154424965,-133.21088669709428,-140.84613123652525,-17.89012580552028,-42.465619437437546,-55.2250645550882,2009-02-03,0.007209365,0.006952700000000034,0.0072796249203174864,,0,0.0,0.0,0.0027952639999999987
-11.692183510983538,-133.97911928334247,-141.9972255340789,-18.00614214961011,-42.14491663658772,-55.1425695181811,2009-02-04,-0.006506795999999998,0.011949800000000033,0.0072159532050793925,,0,-0.0,0.0,-0.003711531999999999
-11.749311294097366,-134.75283322736328,-143.12858945656632,-18.182762165152038,-41.93836516254605,-55.151142658494656,2009-02-05,-0.0017495429999999999,0.00510392800000003,0.007317473325079392,,0,-0.0,0.0,-0.005461074999999999
-11.208843995358308,-135.89096768380205,-144.55493309503382,-18.284035855440365,-41.92101754490771,-55.35380763039444,2009-02-06,0.005589014000000001,0.007600395000000029,0.007423508598412724,,0,0.0,0.0,0.0001279390000000014
-9.730611274989966,-138.8108746644338,-148.33348668885824,-18.534290261602518,-41.80192106742006,-55.8327271648721,2009-02-09,0.0016154520000000007,0.01269713500000003,0.006552983436031776,,0,0.0,0.0,0.0017433910000000021
-9.282029635874522,-139.6552200210482,-149.50689254518966,-18.601259785880192,-41.73396372158896,-55.97899203510032,2009-02-10,-0.0013854289999999999,0.01457276000000003,-0.0032215093667618696,,0,-0.0,0.0,0.00035796200000000225
-9.043104778470225,-140.32226413415873,-150.60166499287683,-18.535386156069773,-41.739133163050646,-56.22803866573498,2009-02-11,0.0005149050000000002,0.01515096000000003,-0.002530910161428537,,0,0.0,0.0,0.0008728670000000024
-8.824721515051634,-140.91859234159094,-151.6622466600195,-18.661459410820235,-41.59035518624951,-56.36835552293846,2009-02-12,0.0008359060000000003,0.01640339800000003,-0.0030895015214285368,,0,0.0,0.0,0.0017087730000000028
-8.756466170986611,-141.56626568669418,-152.7701493150201,-18.819830373662434,-41.50356581975374,-56.54614545446425,2009-02-13,0.00042141300000000015,0.01788429100000003,-0.003013558685333299,,0,0.0,0.0,0.002130186000000003
-8.560151401455812,-143.2129072596733,-155.65965015572374,-19.2239954417147,-41.22772983791836,-56.98817910013235,2009-02-16,0.000825946,0.01755770100000003,-0.0028058022203333,,0,0.0,0.0,0.0029561320000000032
-8.319057169010705,-143.648153027071,-156.56508969534696,-19.0918139071018,-40.97468166606684,-57.018232546005116,2009-02-17,-0.007916548,0.011612462000000028,-0.003053555365333299,,0,-0.0,0.0,-0.004960415999999997
-8.032333948830512,-144.06297546681856,-157.4519768210492,-18.93418221775981,-40.745139218662906,-57.05767707956205,2009-02-18,0.0004637559999999999,0.011567773000000026,-0.0030566525519999657,,0,0.0,0.0,-0.004496659999999997
-7.661008321689849,-144.4902630207864,-158.35257478141762,-18.70823033411079,-40.566601092002394,-57.14933041972564,2009-02-19,0.002522068000000001,0.0047848170000000245,-0.0030119600199999654,,0,0.0,0.0,-0.001974591999999996
-7.4334691512407005,-144.93414717799783,-159.31037313392244,-18.604067307692045,-40.39190485372343,-57.24063692399748,2009-02-20,0.005373017,0.004301706000000027,-0.0034339443980952026,,0,0.0,0.0,0.003398425000000004
-6.8075657450339415,-145.96393534925576,-161.7693986815471,-18.297600577153748,-39.887180288873786,-57.46069009624154,2009-02-23,0.0049313829999999975,0.006843342000000027,-0.006080650532777746,,0,0.0,0.0,0.008329808000000001
-6.813155331643827,-146.48772625360633,-162.79423754446998,-18.072897547099977,-39.806553356188886,-57.652088181563386,2009-02-24,-0.00552887,0.008927413000000028,-0.006080650532777746,,0,-0.0,0.0,0.002800938000000001
-6.9569490566928485,-147.0824733709299,-163.8719261060441,-17.855388360354027,-39.7100983798693,-57.81945641550027,2009-02-25,-0.0005672559999999999,0.017859357000000027,-0.005814095960555524,,0,-0.0,0.0,0.002233682000000001
-7.433325291031963,-147.98020707522474,-165.25506731247532,-17.81979338351762,-39.83296551716357,-58.184493386583995,2009-02-26,-0.000420831,0.02205249600000003,-0.0032793214580952032,,0,-0.0,0.0,0.0018128510000000012
-7.542236695468631,-149.19862213041694,-166.94991918538744,-17.862696740847376,-40.11330058309509,-58.72463288680796,2009-02-27,-0.00014210299999999976,0.016586759000000027,-0.0027742748847618703,,0,-0.0,0.0,0.0016707480000000014
-7.743847586329282,-152.3982355577936,-171.58599361797036,-18.009441429216338,-40.792164695235726,-60.02079489634731,2009-03-02,0.004358382,0.016858493000000026,-0.002611407511428537,,0,0.0,0.0,0.0060291300000000015
-7.746817835817722,-153.34997770463872,-173.07640243651954,-18.080607400123206,-40.957684540777954,-60.323022989864114,2009-03-03,0.0005338420000000004,0.02844891900000003,-0.002721263491428537,-0.0001604580586847749,0,0.0,0.0,0.006562972000000002
