ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,RF,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret
66.42453813330158,11.773617631007689,5.731117809660377,17.43722577273593,2017-08-30,0.00246289,0.01024405200000001,1.0,,0,0.0,0.0,0.00246289
66.49221004763653,11.828640124063135,5.009149782052607,17.433223924644892,2017-08-31,-0.0006173010000000003,0.008932192000000009,1.0,,0,-0.0,0.0,0.001845589
66.64048941293257,10.336562262649963,5.437640940518147,17.4784562840221,2017-09-01,0.0002531070000000001,0.00872123500000001,1.0,,0,0.0,0.0,0.002098696
66.974727611338,10.13497667767587,5.232598824877723,17.618316281631433,2017-09-04,-4.701299999999955e-05,0.01034854000000001,1.0,,0,-0.0,0.0,0.0020516830000000008
67.01876725373997,10.353099662149297,3.982551981231437,17.646122617475115,2017-09-05,-0.0007132360000000001,0.01256363000000001,1.0,,0,-0.0,0.0,0.0013384470000000006
67.04999071206684,10.092964145702734,3.60265184339414,17.649270347430104,2017-09-06,-0.0004924639999999999,0.009726927000000008,1.0,,0,-0.0,0.0,0.0008459830000000008
67.05328682483703,11.440601122974186,2.0876332820361085,17.59692524851188,2017-09-07,0.0033940470000000003,0.009449154000000008,1.0,,0,0.0,0.0,0.004240030000000001
67.085299523776,11.165889578978984,2.5359494351083267,17.580882264384993,2017-09-08,0.0005599130000000004,0.008562235000000007,1.0,,0,0.0,0.0,0.004799943000000002
67.08591901153343,10.78868437041049,2.5990286002822067,17.492540509159085,2017-09-11,0.002079234,0.0068464550000000065,1.0,,0,0.0,0.0,0.006879177000000002
67.12728790925144,10.133887229421335,3.1357432815021955,17.45686367243364,2017-09-12,-8.985399999999994e-05,0.008323711000000006,1.0,,0,-0.0,0.0,0.006789323000000002
67.15514048684332,10.007909056446566,2.9860314978040545,17.409790342803333,2017-09-13,-0.001026787,0.009081040000000005,1.0,,0,-0.0,0.0,0.005762536000000002
67.14616701862985,9.292931144708485,3.6999002300807184,17.341355832836996,2017-09-14,-0.000221879,0.007703113000000005,1.0,,0,-0.0,0.0,0.005540657000000002
67.12137779408664,12.210088370973,1.5020809735945022,17.212826496992932,2017-09-15,0.00151977,0.008369689000000005,1.0,,0,0.0,0.0,0.007060427000000002
66.9807250538413,12.720586578851087,0.8717081791496408,16.81328050964082,2017-09-18,5.326099999999992e-05,0.009092695000000005,1.0,,0,0.0,0.0,0.007113688000000002
66.93977476105013,11.993135908153489,1.9455646157865,16.719382436352518,2017-09-19,0.00026427299999999993,0.0072670620000000056,1.0,,0,0.0,0.0,0.0073779610000000015
66.92215879337172,11.865684149066631,3.071461745760121,16.671024530371696,2017-09-20,0.003897763,0.004903696000000005,1.0,,0,0.0,0.0,0.011275724
66.89040562353529,10.03412723978209,4.43099492903694,16.682108326407686,2017-09-21,0.0007859160000000001,0.005127489000000005,1.0,,0,0.0,0.0,0.01206164
66.91153638583296,15.457278223258092,7.5771239676517865,16.80948731606774,2017-09-22,-1.5968000000000115e-05,0.005272534000000005,1.0,,0,-0.0,0.0,0.012045672
66.89035499374047,14.43759910198078,6.8792834996975145,17.11755445151502,2017-09-25,-0.00026455299999999995,0.0010034250000000053,1.0,,0,-0.0,0.0,0.011781119
66.85529758798629,15.15953400638383,6.079824381824388,17.16612068878497,2017-09-26,0.002304045,0.005168239000000005,1.0,,0,0.0,0.0,0.014085163999999999
66.83566311799814,15.89872213752181,7.85403174052203,17.275572409203118,2017-09-27,-0.0008743599999999997,0.008005970000000006,1.0,,0,-0.0,0.0,0.013210804
66.86221772059625,17.151032652920534,8.962716932047877,17.420191713857125,2017-09-28,-0.0010901940000000005,0.009050365000000006,1.0,,0,-0.0,0.0,0.012120609999999999
66.89647659043304,16.131715462979212,8.157559614788198,17.549331152481713,2017-09-29,-3.0969000000000035e-05,0.010367125000000005,-1.0,1.0,1,-3.0969000000000035e-05,-3.0969000000000035e-05,0.012089640999999998
67.08242232433697,13.480040724991452,10.147390485952569,18.022299040803983,2017-10-02,-0.001058753,0.009373979000000005,1.0,1.0,1,-0.001058753,-0.001089722,0.011030887999999999
67.25389625970203,13.331290483522954,9.772839506638428,18.231548262180727,2017-10-03,-0.00025797000000000027,0.009988698000000004,1.0,0.9047619047619048,1,-0.00025797000000000027,-0.0013476920000000002,0.010772918
67.42490678091109,10.853403955006751,10.634555061760869,18.463133190667648,2017-10-04,0.0009140690000000004,0.006299664000000004,1.0,0.9047619047619048,1,0.0009140690000000004,-0.00043362299999999973,0.011686987
67.60152766905134,10.102673062510725,10.808454503539224,18.69871150963085,2017-10-05,0.001722626,0.005841846000000005,1.0,0.9047619047619048,1,0.001722626,0.0012890030000000004,0.013409612999999999
67.72973393761734,13.177534101463161,9.433144761123609,18.88346699941623,2017-10-06,0.000557344,0.004922431000000006,1.0,0.9047619047619048,1,0.000557344,0.0018463470000000004,0.013966956999999999
68.00697713590499,13.667334343682699,9.614452328928444,19.383429474625565,2017-10-09,0.00028213999999999995,0.0037101660000000048,1.0,0.9047619047619048,1,0.00028213999999999995,0.002128487,0.014249096999999999
68.09339951749782,14.99188922003685,9.926989958355358,19.562109639940655,2017-10-10,0.0011923150000000002,0.0074763800000000056,1.0,0.9047619047619048,1,0.0011923150000000002,0.0033208020000000003,0.015441411999999998
68.19271059053543,14.906682388288806,9.906811523138128,19.748329479183184,2017-10-11,-0.001805634,0.006402857000000006,1.0,0.9047619047619048,1,-0.001805634,0.0015151680000000003,0.013635777999999998
