ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,LSTM1_erf,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret
112.58567121415402,5.671314855477448,10.699927585817008,30.82788418385356,2010-11-12,0.0035015140000000003,-0.02428172899999985,-0.032207620260357006,,0,0.0,0.0,0.0035015140000000003
111.2646384933185,7.279486587939957,10.366173343817039,30.56121035762281,2010-11-15,-0.012587260000000005,-0.02179482799999985,-0.024234161567440342,,0,-0.0,0.0,-0.009085746000000004
110.7910984276606,11.722674872366063,13.153795700344677,30.58298651376728,2010-11-16,-0.010254041999999998,-0.02516982199999985,-0.0012658174391665773,,0,-0.0,0.0,-0.019339788000000004
110.3164748155968,12.670742921742045,12.434184238610179,30.58049195405532,2010-11-17,0.004965900999999999,-0.038871320999999855,-0.004731368332916567,,0,0.0,0.0,-0.014373887000000005
109.8766892317342,11.20442448212764,13.307394103819494,30.6203988458236,2010-11-18,0.011904413,-0.047196684999999856,0.0013865834833334228,,0,0.0,0.0,-0.0024694740000000045
109.42998631165337,11.098314569276683,13.140862424267596,30.63595005348048,2010-11-19,0.003070529999999999,-0.042537285999999855,0.003508559982916754,,0,0.0,0.0,0.0006010559999999943
108.19782619701097,11.406712888787984,13.051439154537706,30.6242488088335,2010-11-22,-0.004883646,-0.016273867999999858,0.00016539961625008904,,0,-0.0,0.0,-0.004282590000000006
107.84570300225944,10.382259585431484,13.045365512712143,30.589527578380046,2010-11-23,-0.025566896,-0.01117511499999986,0.0016181345725000856,,0,-0.0,0.0,-0.029849486000000005
107.60516767953727,15.019049266724277,14.8410392063259,30.620883477318074,2010-11-24,-0.004551899,-0.01178088999999986,0.027126236923654866,,0,-0.0,0.0,-0.03440138500000001
107.40068190770563,15.783689715775335,15.221620005886063,30.636067126001038,2010-11-25,0.0009869610000000004,0.001547243000000136,0.02780567214583344,,0,0.0,0.0,-0.033414424000000005
107.17693693344322,14.928382430899632,14.614164673927784,30.630582530763828,2010-11-26,-0.010896029999999996,0.013390516000000135,0.032093833426250135,,0,-0.0,0.0,-0.044310454
106.48760340871564,14.526859855202026,14.420777948072688,30.584118210061924,2010-11-29,-0.014045244999999998,0.03210383400000014,0.027883032683654864,,0,-0.0,0.0,-0.058355699
106.29368644260832,13.54600151383288,15.53389866321098,30.67901004473764,2010-11-30,-0.013327614000000002,0.02002525000000014,0.03355091270276203,,0,-0.0,0.0,-0.071683313
106.08154776387366,12.677916144734073,15.13064172388784,30.77349826872143,2010-12-01,0.014977274,0.013788247000000142,0.037505311367250146,,0,0.0,0.0,-0.056706039
105.83951145602762,12.676295518602235,14.730425650714807,30.846316409068237,2010-12-02,0.008699792999999999,0.004625119000000143,0.04035838246100016,,0,0.0,0.0,-0.048006246
105.57455295133936,19.09897342739978,9.773631695675661,30.72899245877579,2010-12-03,0.011956795,0.010014409000000144,-0.02448843810958319,,0,0.0,0.0,-0.036049451
104.71904383112009,18.346508521948625,9.51108598798897,30.36098938752208,2010-12-06,-0.004534820000000001,0.007337555000000145,-0.0242088662283332,,0,-0.0,0.0,-0.040584271000000005
104.41270229278332,17.934481013649272,9.3718573023281,30.215663098511573,2010-12-07,-0.002064646,-0.006981209999999856,-0.02278777840833321,,0,-0.0,0.0,-0.04264891700000001
104.10600712309584,19.162306891240533,10.075095746264518,30.13600577801678,2010-12-08,0.0005385010000000004,-0.016478913999999855,-0.0258559368208332,,0,0.0,0.0,-0.042110416000000005
103.83677418227957,18.86644630372252,10.579161653760837,30.08018673713403,2010-12-09,-0.0009908329999999996,-0.011506014999999856,-0.028794976419166538,,0,-0.0,0.0,-0.043101249
103.57472385338328,15.130939416392195,12.968765381536098,30.19841533082676,2010-12-10,-0.000750491,-0.019114513999999857,-0.030841074233999937,,0,-0.0,0.0,-0.04385174
102.70297669973385,14.626507925620606,12.51247341187376,30.48697020988871,2010-12-13,0.010515506,-0.009927235999999857,-0.034729871187499935,,0,0.0,0.0,-0.033336234
102.32779700691415,12.52822699283247,13.940473440147214,30.60567409965559,2010-12-14,-3.124100000000045e-05,0.005110335000000141,0.006156573304654823,0.0006469534069179153,1,-3.124100000000045e-05,-3.124100000000045e-05,-0.033367475
102.03147587798996,11.878255391718808,15.317153264810688,30.774656795458103,2010-12-15,-0.007767140999999998,0.002459137000000142,0.014328231401083382,0.0005268462199111092,1,-0.007767140999999998,-0.007798381999999999,-0.041134616
101.76962026341288,10.991466374800147,15.71981497492882,30.950020428764702,2010-12-16,0.0015909069999999995,0.0070954550000001445,0.013849229419011944,0.00197402407096326,1,0.0015909069999999995,-0.006207474999999999,-0.039543708999999996
101.62268403374406,13.1695325708608,16.942690497048766,31.15068552474139,2010-12-17,-0.0017970860000000016,0.009599278000000145,0.01413681727384527,0.0027165978252608773,1,-0.0017970860000000016,-0.008004561,-0.041340795
101.10309525942472,11.954771488521144,15.777736223793351,31.6345698236303,2010-12-20,-0.005254834,0.0077558720000001444,0.03512322598983344,0.00360138819440033,1,-0.005254834,-0.013259395,-0.046595629
100.91246966139984,11.842896706224296,15.475082138375967,31.74947188822847,2010-12-21,-0.000224247,0.006005567000000146,0.043088861590333455,0.004208542184424704,1,-0.000224247,-0.013483642,-0.046819875999999996
100.72580841866258,12.460665329511302,14.560528432436405,31.840272954844227,2010-12-22,0.000696522,0.024056114000000146,0.04791790605266672,0.005714002470468355,1,0.000696522,-0.01278712,-0.046123354
