ESI_EURUSD_spread_madiff,ESI_G10_normalised_madiff,ESI_Global_normalised_madiff,EDI_EURUSD_spread_madiff,EDI_G10_normalised_madiff,EDI_Global_normalised_madiff,Date,LSTM1_erf,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret
-10.755099015001464,-129.61758270549007,-135.915389264183,-17.877676437458643,-43.43314867230745,-55.28394992098762,2009-01-30,-0.013524766999999998,0.00023416100000002004,-0.015540919319333305,,0,-0.0,-0.0,-0.013524766999999998
-11.45870322554043,-132.38488913156672,-139.63189412041507,-17.843378380547946,-42.72771067783313,-55.24163483121337,2009-02-02,0.00012624100000000176,-0.013251751999999981,-0.015549775257777752,,0,0.0,0.0,-0.013398525999999997
-11.594984154424965,-133.21088669709428,-140.84613123652525,-17.89012580552028,-42.465619437437546,-55.2250645550882,2009-02-03,0.020904262,-0.0032833949999999876,-0.015575686137777751,,0,0.0,0.0,0.007505736000000002
-11.692183510983538,-133.97911928334247,-141.9972255340789,-18.00614214961011,-42.14491663658772,-55.1425695181811,2009-02-04,-0.015145877999999996,0.007779418000000012,-0.016063834217777753,,0,-0.0,0.0,-0.007640141999999994
-11.749311294097366,-134.75283322736328,-143.12858945656632,-18.182762165152038,-41.93836516254605,-55.151142658494656,2009-02-05,-0.005078832,-0.010265289999999984,-0.016827228264444417,,0,-0.0,0.0,-0.012718973999999994
-11.208843995358308,-135.89096768380205,-144.55493309503382,-18.284035855440365,-41.92101754490771,-55.35380763039444,2009-02-06,0.015786859999999996,-0.007947644999999984,-0.01700612358444442,,0,0.0,0.0,0.0030678860000000023
-9.730611274989966,-138.8108746644338,-148.33348668885824,-18.534290261602518,-41.80192106742006,-55.8327271648721,2009-02-09,0.003901946,-0.006087840999999983,-0.01716644306444443,,0,0.0,0.0,0.006969832000000002
-9.282029635874522,-139.6552200210482,-149.50689254518966,-18.601259785880192,-41.73396372158896,-55.97899203510032,2009-02-10,-0.003702856000000001,-0.007074120999999984,-0.01850078717822222,,0,-0.0,0.0,0.0032669760000000013
-9.043104778470225,-140.32226413415873,-150.60166499287683,-18.535386156069773,-41.739133163050646,-56.22803866573498,2009-02-11,-0.0009770199999999986,-0.009365714999999985,-0.018115588491111105,,0,-0.0,0.0,0.0022899560000000027
-8.824721515051634,-140.91859234159094,-151.6622466600195,-18.661459410820235,-41.59035518624951,-56.36835552293846,2009-02-12,0.001057496000000002,-0.009270825999999982,-0.019014436584888883,,0,0.0,0.0,0.0033474520000000047
-8.756466170986611,-141.56626568669418,-152.7701493150201,-18.819830373662434,-41.50356581975374,-56.54614545446425,2009-02-13,-0.0014676160000000008,0.004100467000000017,-0.021041645972555544,,0,-0.0,0.0,0.0018798360000000039
-8.560151401455812,-143.2129072596733,-155.65965015572374,-19.2239954417147,-41.22772983791836,-56.98817910013235,2009-02-16,-0.003347801,0.07551346600000002,-0.019219504493777757,,0,-0.0,0.0,-0.0014679649999999962
-8.319057169010705,-143.648153027071,-156.56508969534696,-19.0918139071018,-40.97468166606684,-57.018232546005116,2009-02-17,-0.015311978999999996,0.09671174600000002,-0.02227950477477776,,0,-0.0,0.0,-0.01677994399999999
-8.032333948830512,-144.06297546681856,-157.4519768210492,-18.93418221775981,-40.745139218662906,-57.05767707956205,2009-02-18,-0.0018444020000000008,0.07822822100000001,-0.025243580539222214,,0,-0.0,0.0,-0.018624345999999993
-7.661008321689849,-144.4902630207864,-158.35257478141762,-18.70823033411079,-40.566601092002394,-57.14933041972564,2009-02-19,0.009736663000000001,0.07568780500000002,-0.023824783940444443,,0,0.0,0.0,-0.008887682999999992
-7.4334691512407005,-144.93414717799783,-159.31037313392244,-18.604067307692045,-40.39190485372343,-57.24063692399748,2009-02-20,0.007518764,0.06444197300000003,-0.023824783940444443,,0,0.0,0.0,-0.0013689189999999919
-6.8075657450339415,-145.96393534925576,-161.7693986815471,-18.297600577153748,-39.887180288873786,-57.46069009624154,2009-02-23,-0.0042033980000000006,0.06742950300000003,-0.02438262967333333,,0,-0.0,0.0,-0.0055723169999999924
-6.813155331643827,-146.48772625360633,-162.79423754446998,-18.072897547099977,-39.806553356188886,-57.652088181563386,2009-02-24,0.0073488350000000015,0.06849773300000002,-0.024245109153333326,,0,0.0,0.0,0.001776518000000009
-6.9569490566928485,-147.0824733709299,-163.8719261060441,-17.855388360354027,-39.7100983798693,-57.81945641550027,2009-02-25,-0.006192906999999999,0.039848745000000026,-0.024245109153333326,,0,-0.0,0.0,-0.00441638899999999
-7.433325291031963,-147.98020707522474,-165.25506731247532,-17.81979338351762,-39.83296551716357,-58.184493386583995,2009-02-26,0.0007844879999999997,0.031293322000000026,-0.024245109153333326,,0,0.0,0.0,-0.0036319009999999903
-7.542236695468631,-149.19862213041694,-166.94991918538744,-17.862696740847376,-40.11330058309509,-58.72463288680796,2009-02-27,-0.00272322,0.04436285400000003,-0.022562353033333326,,0,-0.0,0.0,-0.0063551209999999905
-7.743847586329282,-152.3982355577936,-171.58599361797036,-18.009441429216338,-40.792164695235726,-60.02079489634731,2009-03-02,-0.0066386119999999995,0.04421416600000003,-0.022634651799999995,,0,-0.0,0.0,-0.01299373299999999
-7.746817835817722,-153.34997770463872,-173.07640243651954,-18.080607400123206,-40.957684540777954,-60.323022989864114,2009-03-03,-0.00017063199999999912,0.062101844000000024,-0.02006461319333332,-0.0202130921870529,0,-0.0,0.0,-0.013164364999999989
-7.708371935414476,-154.2604482135119,-174.4865406122146,-18.155799884060247,-41.10050147728245,-60.591905460142975,2009-03-04,0.0074183489999999986,0.07007457200000003,-0.020122361833333324,-0.02055088897184655,0,0.0,0.0,-0.00574601599999999
-7.6044457577544335,-155.1313265301911,-175.85507654499332,-18.241665291948053,-41.21796679088773,-60.8305091018233,2009-03-05,-0.005177521,0.05474538800000003,-0.01901892337777777,-0.020765881254492052,0,-0.0,0.0,-0.01092353699999999
-6.804635405381646,-156.35828935293543,-177.55703217375478,-18.181896812354964,-41.415937150123504,-61.15707140157339,2009-03-06,0.005983980999999999,0.04351080700000002,-0.0185402587711111,-0.02098238962094708,0,0.0,0.0,-0.004939555999999991
-4.629905840465284,-159.49505172604358,-182.03568882716885,-17.99619969848089,-41.90685626579933,-62.004675483039854,2009-03-09,-0.002257848,0.03380408600000002,-0.016281221244444425,-0.021123108152375652,0,-0.0,0.0,-0.007197403999999991
-3.9742725096176335,-160.3818418752195,-183.4169056783406,-17.932391226085812,-42.04833812130464,-62.28177480803972,2009-03-10,0.006219591,0.025269252000000013,-0.01356319360111109,-0.021204681033645496,0,0.0,0.0,-0.0009778129999999906
-3.3909995909154422,-161.22429417775683,-184.79917334759904,-18.020916720730728,-42.28983170697627,-62.78076071117471,2009-03-11,-0.001843052,0.030947187000000015,-0.013448487021111092,-0.021170161874597877,0,-0.0,0.0,-0.0028208649999999906
-2.89081487171228,-162.12262688474596,-186.34950492561114,-18.36083130229681,-42.48121004296705,-63.342492357336816,2009-03-12,-0.0019633,0.05188662700000002,-0.01350476633888887,-0.020998578566820098,0,-0.0,0.0,-0.00478416499999999
-2.618707488372877,-162.89591330286956,-187.7869483441606,-18.747811965360093,-42.62302034558837,-63.804349387693215,2009-03-13,-0.0012340979999999994,0.042961627000000016,-0.01656019194199999,-0.0207579928450529,0,-0.0,0.0,-0.00601826299999999
-1.8294745886103383,-164.84054469397853,-191.5070150564044,-19.54760941818771,-42.989450931426404,-65.02010704054457,2009-03-16,-0.0013727269999999994,0.027626179000000015,-0.008781355334666658,-0.020538429885423266,0,-0.0,0.0,-0.00739098999999999
-1.3904210357459306,-165.30988708766125,-192.5585010325579,-19.605616666576832,-43.01313275666975,-65.30935207419577,2009-03-17,0.010023492,-0.033569714999999986,-0.008804020074666656,-0.020421561092904748,0,0.0,0.0,0.0026325020000000105
-0.9836758855574032,-165.7367410794046,-193.62017348237853,-19.69516708934898,-43.04632518745732,-65.5502269466596,2009-03-18,0.05610102,-0.06911503499999999,-0.009763782454666659,-0.019837737729195754,0,0.0,0.0,0.05873352200000001
-0.5122273994254556,-166.15238806087945,-194.62808483124738,-19.800458614123094,-43.03547350805397,-65.7356800126923,2009-03-19,0.019353878,-0.06970283099999998,-0.009852880774666659,-0.019341762280666655,0,0.0,0.0,0.07808740000000002
-0.0643314543457052,-166.50189291051632,-195.53508212853282,-19.895986417246398,-42.999476594513254,-65.88286474814026,2009-03-20,-0.008746862000000001,-0.07427713199999997,-0.01035795207466666,-0.018745775503518507,0,-0.0,0.0,0.06934053800000001
1.1486087218547991,-167.2299054544423,-197.8343100761509,-20.128567065940192,-42.84559573341196,-66.21793565368152,2009-03-23,0.0049783480000000005,-0.05110463099999997,-0.010588588741333328,-0.01801288503853967,0,0.0,0.0,0.074318886
1.391274352345533,-167.46279361486597,-198.63215911334729,-20.21996314460443,-42.7541066494812,-66.27360254737505,2009-03-24,-0.01544923,-0.05019783799999997,-0.011102714241333328,-0.01737160733064549,0,-0.0,0.0,0.058869656
1.3196011740865288,-167.8340133942167,-199.4987366606381,-20.40153233541345,-42.59602801485365,-66.25716472969829,2009-03-25,0.010336364999999998,-0.035582623999999966,-0.011306091347999994,-0.01674131232116401,0,0.0,0.0,0.06920602099999999
1.4441343106362297,-168.52984265489238,-200.7055261022685,-20.635840492461828,-42.45739566385221,-66.25428733784258,2009-03-26,-0.005124677000000001,-0.03236220699999996,-0.012278754410222217,-0.016108935395830675,0,-0.0,0.0,0.06408134399999998
1.570245739349815,-169.2114684091863,-201.8544763095559,-20.856797376243268,-42.31570563678334,-66.2362040602128,2009-03-27,-0.027864499999999997,-0.009958036999999965,-0.012565599156888884,-0.0154927916908148,0,-0.0,0.0,0.036216843999999984
1.667343322321727,-171.04628481849898,-204.87654582669037,-21.47134159674848,-41.91003966755147,-66.13322952096128,2009-03-30,-0.011278643,-0.008352714999999967,-0.018361954220222233,-0.014922965274476174,0,-0.0,0.0,0.024938200999999986
1.6737906828369091,-171.8065888042207,-206.02036524920436,-21.626994437075105,-41.85739995432433,-66.10168229135479,2009-03-31,0.0064309200000000006,-0.010498767999999969,-0.018589159704666677,-0.014366798131788342,0,0.0,0.0,0.031369120999999986
1.7331991338236603,-172.81262931155743,-207.42976546895912,-21.8320726541336,-41.888915864840214,-66.14811263203603,2009-04-01,-0.00031932,-0.03190092899999997,-0.018949611958000007,-0.014166779140687816,0,-0.0,0.0,0.031049800999999985
1.8574344508531908,-173.76763450724098,-208.77120026095108,-22.003665277229963,-41.9161658804789,-66.20555900783471,2009-04-02,0.025306027,-0.017316170999999964,-0.0188734989868889,-0.013974136659957656,0,0.0,0.0,0.05635582799999998
2.733970667652045,-175.11011245438004,-210.39731177308695,-22.13492641863079,-41.93835845705522,-66.23735015752007,2009-04-03,0.0027952070000000005,-0.01986370599999997,-0.019387866380222236,-0.013921041363037023,0,0.0,0.0,0.059151034999999984
