ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,LSTM,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret
45.629309061792505,3.482773516655183,14.195666305593393,28.21354759293561,2017-04-12,0.006890842000000001,0.04639983300000002,1.0,,0,0.0,0.0,0.006890842000000001
45.943295156277635,3.027664041309876,14.663934337132584,28.27373262537202,2017-04-13,-0.006443624,0.052693670000000026,1.0,,0,-0.0,0.0,0.00044721800000000096
46.23112833169175,2.996530320369234,14.495836328365385,28.324502277929117,2017-04-14,7.677999999999678e-06,0.06460319800000003,1.0,,0,0.0,0.0,0.00045489600000000064
46.971405142867134,8.572633728564684,9.917076231190062,28.41392795388835,2017-04-17,0.0032979999999999997,0.06487463000000002,-1.0,,0,0.0,0.0,0.0037528960000000004
47.219944805948565,9.037640624741314,9.405212939089157,28.41312429271389,2017-04-18,0.01219733,0.05826292100000001,-1.0,,0,0.0,0.0,0.015950225999999998
47.44103076213602,8.892049090507882,9.338025813851985,28.40504398201185,2017-04-19,-0.002866686999999999,0.07301700500000001,-1.0,,0,-0.0,0.0,0.013083538999999998
47.702753095531165,8.813100773657766,10.780143513056133,28.453208517563496,2017-04-20,0.0007850229999999999,0.07594179100000001,-1.0,,0,0.0,0.0,0.013868561999999997
48.03251463607982,11.451105461093027,10.894705633989227,28.508583536730686,2017-04-21,0.0013654,0.047304650000000004,-1.0,,0,0.0,0.0,0.015233961999999997
48.882643447097905,11.677977098451866,10.492514168418051,28.618270734300125,2017-04-24,0.021084815000000003,0.04214120100000001,-1.0,,0,0.0,0.0,0.036318777
49.15100023982855,10.233372525191172,11.244068883122273,28.676915800131606,2017-04-25,0.009433541,0.044906220000000004,-1.0,,0,0.0,0.0,0.045752318
49.403565058867606,10.075921761145763,11.395250967433267,28.74211185889419,2017-04-26,-0.003432832,0.045940716,-1.0,,0,-0.0,0.0,0.042319486
49.68182357644977,12.534012186593339,12.30275475478853,28.83941361174086,2017-04-27,-0.004533511999999999,0.038567558,-1.0,,0,-0.0,0.0,0.03778597400000001
49.94086656111884,15.93227542815058,11.454432931222641,28.90685049335423,2017-04-28,0.0031132839999999983,0.041848090000000004,-1.0,,0,0.0,0.0,0.04089925800000001
50.60484596344834,17.675196554245414,9.307752851350562,29.001933149107785,2017-05-01,0.000379593,0.04631329600000001,-1.0,,0,0.0,0.0,0.041278851000000005
50.86273297010194,16.877666237357108,9.168121962493801,28.93846356379251,2017-05-02,0.004512440999999999,0.04844867100000001,-1.0,,0,0.0,0.0,0.045791292000000004
51.11956971786178,15.97327642892822,9.821244271301778,28.87534333477397,2017-05-03,-0.006261294000000001,0.04420629900000002,-1.0,,0,-0.0,0.0,0.039529998000000004
51.41349236364069,16.419735788021285,10.180802651565568,28.821462171642228,2017-05-04,0.013615891,0.03760177400000002,-1.0,,0,0.0,0.0,0.053145889
51.706019582166654,15.649901485878852,10.392543261416924,28.79250798485955,2017-05-05,0.0028711940000000005,0.05169561100000002,-1.0,,0,0.0,0.0,0.056017083
52.45680214643461,15.15554669247571,10.108740347638644,28.66429816852425,2017-05-08,-0.010876083000000005,0.055170606000000025,-1.0,,0,-0.0,0.0,0.045141
52.697114634202855,14.94350368531985,10.182995719636146,28.616007618452787,2017-05-09,-0.005909828999999999,0.04958811600000002,-1.0,,0,-0.0,0.0,0.039231171
52.922896282582634,15.044065871650233,10.2187784853806,28.57032405275432,2017-05-10,-0.0013817300000000005,0.04913152100000002,-1.0,,0,-0.0,0.0,0.037849441000000004
53.16226567529961,14.49673297747314,10.1325407646553,28.509183970240684,2017-05-11,-0.0007128049999999992,0.04067105600000002,-1.0,,0,-0.0,0.0,0.03713663600000001
53.421058600368355,16.47191727958803,8.5803208625966,28.429484629298702,2017-05-12,0.009710415000000002,0.034772377000000014,-1.0,-0.7142857142857143,0,0.0,0.0,0.04684705100000001
54.09083819243114,15.267215332254882,8.763047937552287,28.165701322445912,2017-05-15,0.006301515,0.020827351000000015,-1.0,-0.8095238095238095,0,0.0,0.0,0.05314856600000001
54.35547378905729,15.856935108187391,8.040628131162551,28.066716668383236,2017-05-16,0.015207528,-0.00023921599999998742,-1.0,-0.9047619047619048,0,0.0,0.0,0.068356094
54.60954534818839,15.63037894920954,7.955596314629239,27.95330625927028,2017-05-17,0.012468762,0.014982743000000012,-1.0,-1.0,0,0.0,0.0,0.080824856
54.85681726775474,14.600266032870787,8.911902878104758,27.874124758061114,2017-05-18,-0.009478396,-0.0042835219999999875,-1.0,-1.0,0,-0.0,0.0,0.07134646
55.09265514239336,14.383450414714586,8.534058681608673,27.78809627026295,2017-05-19,0.015539107,-0.009579153999999986,-1.0,-1.0,0,0.0,0.0,0.086885567
55.70250724834068,13.409349993843696,8.501367516307424,27.52173310974743,2017-05-22,0.004290185999999998,0.0023705960000000134,-1.0,-1.0,0,0.0,0.0,0.091175753
55.986006886823255,17.014883158713175,8.134268269387395,27.41017089387975,2017-05-23,-0.007552326,-0.003788159999999988,-1.0,-1.0,0,-0.0,0.0,0.083623427
56.24398127605978,16.893986886727053,8.130853943544318,27.29367623721535,2017-05-24,0.0042700920000000005,0.001839123000000013,-1.0,-1.0,0,0.0,0.0,0.087893519
56.48279983228488,16.46847120457135,7.7609830855389905,27.152192706957607,2017-05-25,-0.0006678130000000004,0.004224011000000014,-1.0,-1.0,0,-0.0,0.0,0.087225706
