ESI_EURUSD_spread_madiff,ESI_G10_normalised_madiff,ESI_Global_normalised_madiff,EDI_EURUSD_spread_madiff,EDI_G10_normalised_madiff,EDI_Global_normalised_madiff,Date,SVM_erf,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret
-10.755099015001464,-129.61758270549007,-135.915389264183,-17.877676437458643,-43.43314867230745,-55.28394992098762,2009-01-30,-0.004486240000000001,-0.0009586720000000291,-0.0007849366686666988,,0,-0.0,-0.0,-0.004486240000000001
-11.45870322554043,-132.38488913156672,-139.63189412041507,-17.843378380547946,-42.72771067783313,-55.24163483121337,2009-02-02,7.213899999999971e-05,-0.008578813000000029,-0.0009817642370000324,,0,0.0,0.0,-0.004414101000000001
-11.594984154424965,-133.21088669709428,-140.84613123652525,-17.89012580552028,-42.465619437437546,-55.2250645550882,2009-02-03,0.007209365,-0.001182708000000031,-0.0009700621186666997,,0,0.0,0.0,0.0027952639999999987
-11.692183510983538,-133.97911928334247,-141.9972255340789,-18.00614214961011,-42.14491663658772,-55.1425695181811,2009-02-04,-0.006506795999999998,-0.0018039400000000301,-0.0009917379693333657,,0,-0.0,0.0,-0.003711531999999999
-11.749311294097366,-134.75283322736328,-143.12858945656632,-18.182762165152038,-41.93836516254605,-55.151142658494656,2009-02-05,-0.0017495429999999999,-0.006211986000000031,-0.0011327082665555876,,0,-0.0,0.0,-0.005461074999999999
-11.208843995358308,-135.89096768380205,-144.55493309503382,-18.284035855440365,-41.92101754490771,-55.35380763039444,2009-02-06,0.005586038000000001,-0.009311840000000031,-0.0011327082665555876,,0,0.0,0.0,0.00012496300000000137
-9.730611274989966,-138.8108746644338,-148.33348668885824,-18.534290261602518,-41.80192106742006,-55.8327271648721,2009-02-09,0.0016724999999999995,-0.005396185000000032,-0.0030533690386666964,,0,0.0,0.0,0.0017974630000000009
-9.282029635874522,-139.6552200210482,-149.50689254518966,-18.601259785880192,-41.73396372158896,-55.97899203510032,2009-02-10,-0.002731518,-0.0034852600000000317,-0.006803340413317502,,0,-0.0,0.0,-0.0009340549999999992
-9.043104778470225,-140.32226413415873,-150.60166499287683,-18.535386156069773,-41.739133163050646,-56.22803866573498,2009-02-11,-3.472599999999975e-05,-0.0016765970000000314,-0.007356298426650832,,0,-0.0,0.0,-0.000968780999999999
-8.824721515051634,-140.91859234159094,-151.6622466600195,-18.661459410820235,-41.59035518624951,-56.36835552293846,2009-02-12,-0.0005437770000000001,-0.000801333000000031,-0.008055932325539717,,0,-0.0,0.0,-0.001512557999999999
-8.756466170986611,-141.56626568669418,-152.7701493150201,-18.819830373662434,-41.50356581975374,-56.54614545446425,2009-02-13,0.0007087510000000003,-0.0009190340000000317,-0.007959734145873051,,0,0.0,0.0,-0.0008038069999999986
-8.560151401455812,-143.2129072596733,-155.65965015572374,-19.2239954417147,-41.22772983791836,-56.98817910013235,2009-02-16,0.0015693480000000006,-0.005467728000000033,-0.00797559208365083,,0,0.0,0.0,0.000765541000000002
-8.319057169010705,-143.648153027071,-156.56508969534696,-19.0918139071018,-40.97468166606684,-57.018232546005116,2009-02-17,0.007666194000000001,-0.006972532000000033,-0.008710144970873046,,0,0.0,0.0,0.008431735000000003
-8.032333948830512,-144.06297546681856,-157.4519768210492,-18.93418221775981,-40.745139218662906,-57.05767707956205,2009-02-18,0.0008273969999999997,-0.0008997840000000358,-0.01008277800365082,,0,0.0,0.0,0.009259132000000003
-7.661008321689849,-144.4902630207864,-158.35257478141762,-18.70823033411079,-40.566601092002394,-57.14933041972564,2009-02-19,-0.0048512969999999975,0.0032177449999999637,-0.010359271621095269,,0,-0.0,0.0,0.004407835000000006
-7.4334691512407005,-144.93414717799783,-159.31037313392244,-18.604067307692045,-40.39190485372343,-57.24063692399748,2009-02-20,-0.005065355999999999,0.005279385999999962,-0.010359271621095269,,0,-0.0,0.0,-0.0006575209999999934
-6.8075657450339415,-145.96393534925576,-161.7693986815471,-18.297600577153748,-39.887180288873786,-57.46069009624154,2009-02-23,0.002386631000000001,0.004591206999999962,-0.011172760868873043,,0,0.0,0.0,0.0017291100000000077
-6.813155331643827,-146.48772625360633,-162.79423754446998,-18.072897547099977,-39.806553356188886,-57.652088181563386,2009-02-24,-0.001535968,0.005527084999999962,-0.011297049628873042,,0,-0.0,0.0,0.00019314200000000769
-6.9569490566928485,-147.0824733709299,-163.8719261060441,-17.855388360354027,-39.7100983798693,-57.81945641550027,2009-02-25,-0.0003670230000000001,0.005748235999999962,-0.0109376877854286,,0,-0.0,0.0,-0.00017388099999999244
-7.433325291031963,-147.98020707522474,-165.25506731247532,-17.81979338351762,-39.83296551716357,-58.184493386583995,2009-02-26,-5.2955000000000315e-05,0.006496632999999963,-0.010557887352095268,,0,-0.0,0.0,-0.00022683599999999274
-7.542236695468631,-149.19862213041694,-166.94991918538744,-17.862696740847376,-40.11330058309509,-58.72463288680796,2009-02-27,-0.0015824700000000005,0.011394445999999961,-0.010217406539428603,,0,-0.0,0.0,-0.0018093059999999932
-7.743847586329282,-152.3982355577936,-171.58599361797036,-18.009441429216338,-40.792164695235726,-60.02079489634731,2009-03-02,-0.0039951349999999995,0.01086887699999996,-0.010260611211095266,,0,-0.0,0.0,-0.005804440999999993
-7.746817835817722,-153.34997770463872,-173.07640243651954,-18.080607400123206,-40.957684540777954,-60.323022989864114,2009-03-03,0.00043166800000000034,0.019033094999999965,-0.008900986678873048,-0.0067091639215185505,0,0.0,0.0,-0.005372772999999992
