ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,SVM_erf,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret
95.557165567218,9.415093158610444,16.488760759041142,34.07806596488834,2011-01-12,-0.003056284,-0.011148790000000039,1.0,0.9047619047619048,1,-0.003056284,-0.016763301999999997,-0.020675887
95.23616498576493,8.464996735353491,16.374755424584215,34.1525724551193,2011-01-13,-0.005011498999999999,-0.01285220600000004,1.0,1.0,1,-0.005011498999999999,-0.021774800999999996,-0.025687386
94.9508056643634,9.261171410043037,15.578297510895581,34.193803466525225,2011-01-14,-0.00031332900000000005,-0.01310217800000004,1.0,1.0,1,-0.00031332900000000005,-0.022088129999999997,-0.026000715
94.05633268973068,9.05791632978282,15.043044005190588,34.27493685340072,2011-01-17,0.00021578900000000008,-0.010813851000000041,1.0,1.0,1,0.00021578900000000008,-0.021872340999999997,-0.025784926
93.75037933924006,10.307738747350061,17.9364865505126,34.40826789385619,2011-01-18,0.00015464199999999995,-0.009467944000000042,1.0,1.0,1,0.00015464199999999995,-0.021717698999999997,-0.025630284
93.43884158395315,10.319945663841413,17.561647802178335,34.523961854421,2011-01-19,0.00020207399999999992,-0.006505925000000043,1.0,1.0,1,0.00020207399999999992,-0.021515624999999997,-0.02542821
93.11692737095983,9.999669706849524,17.25257959881854,34.650023561299726,2011-01-20,3.100000000000021e-07,-0.005323292000000043,1.0,1.0,1,3.100000000000021e-07,-0.021515314999999997,-0.0254279
92.91521702659227,10.800513388234467,17.874490494969283,34.796662188308765,2011-01-21,-0.0018073370000000002,-0.005409948000000043,1.0,1.0,1,-0.0018073370000000002,-0.023322651999999996,-0.027235237
92.25835339732748,10.498152745928536,17.220712692225533,35.163091612024445,2011-01-24,-0.0006235009999999999,-0.001045392000000042,1.0,1.0,1,-0.0006235009999999999,-0.023946152999999994,-0.027858737999999997
92.01607907619837,8.955019538352705,16.503657650107314,35.23537745421332,2011-01-25,-0.0011268400000000005,0.0011909129999999588,1.0,1.0,1,-0.0011268400000000005,-0.025072992999999995,-0.028985577999999998
91.7414446862742,8.515247951382829,16.57857997721265,35.306975007493136,2011-01-26,-0.0004751960000000002,0.000586648999999958,1.0,1.0,1,-0.0004751960000000002,-0.025548188999999995,-0.029460774
91.50900177239625,10.479410023431964,15.158369231367853,35.31866613449706,2011-01-27,-0.0010224389999999998,0.00011552699999995818,1.0,1.0,1,-0.0010224389999999998,-0.026570627999999995,-0.030483213
91.27047910887087,10.92678898578792,13.93106189376302,35.272261042023224,2011-01-28,0.00234888,-0.00033851200000004165,1.0,1.0,1,0.00234888,-0.024221747999999994,-0.028134332999999997
90.53819372795178,8.981616345782314,13.94727093023164,35.124343254924604,2011-01-31,-0.000617949,0.001766600999999957,1.0,1.0,1,-0.000617949,-0.024839696999999994,-0.028752281999999997
90.32677667414123,7.427487327001419,15.083466489704067,35.16987994092966,2011-02-01,0.00075371,0.005404802999999958,1.0,1.0,1,0.00075371,-0.024085986999999993,-0.027998571999999996
90.09480067736479,6.612233567830764,15.476288371942386,35.21150885001779,2011-02-02,-0.00043269800000000013,0.012083938999999959,1.0,1.0,1,-0.00043269800000000013,-0.02451868499999999,-0.028431269999999995
89.88008961459154,5.503853240432821,16.472096492003722,35.285732299816004,2011-02-03,-0.0057860640000000005,0.01299870199999996,1.0,1.0,1,-0.0057860640000000005,-0.030304748999999992,-0.034217333999999995
89.73022114173305,1.6230529460288992,19.41230466735661,35.46754320924215,2011-02-04,-0.0014437080000000006,0.01089773099999996,1.0,1.0,1,-0.0014437080000000006,-0.031748456999999994,-0.035661042
89.20596857483031,0.7199272838418711,17.93428052273579,35.88855302546274,2011-02-07,-0.00018709099999999955,0.00921444199999996,1.0,1.0,1,-0.00018709099999999955,-0.031935547999999994,-0.035848133
89.0022369182243,-0.5018396760350505,16.91807426734426,35.97110750094559,2011-02-08,0.00176634,0.00255213399999996,1.0,1.0,1,0.00176634,-0.030169207999999996,-0.034081793
88.78415477406223,-0.4024481226461623,16.446699386375574,36.03139435856246,2011-02-09,0.003209627,0.01026745599999996,1.0,1.0,1,0.003209627,-0.026959580999999996,-0.030872166
88.55921655346278,-0.27942752027553786,16.307443689201044,36.064423432106366,2011-02-10,-0.004295879,0.014933921999999962,1.0,1.0,1,-0.004295879,-0.03125546,-0.035168045
88.27655593782431,-0.164541162537597,16.10467388796438,36.090868884440816,2011-02-11,-0.0016681310000000006,0.016223548999999962,1.0,1.0,1,-0.0016681310000000006,-0.032923591,-0.036836176000000005
87.36517813412834,0.08149668507552432,16.133830558708354,36.22599371857555,2011-02-14,-0.0020167450000000003,0.014302202999999963,1.0,1.0,1,-0.0020167450000000003,-0.034940336,-0.038852921000000006
87.0580060877781,-1.7377053211503959,14.796442977672648,36.26781425831146,2011-02-15,-3.418299999999978e-05,0.014976476999999964,-1.0,1.0,1,-3.418299999999978e-05,-0.034974519,-0.038887104000000006
86.73488159006091,-0.8714452095562022,13.542343859341848,36.26129517211695,2011-02-16,0.002442969,0.018237376999999964,-1.0,1.0,1,0.002442969,-0.03253155,-0.036444135
86.43509960072711,-2.174385515903135,14.742730581079917,36.31095695765976,2011-02-17,0.0015479809999999995,0.016329668999999963,-1.0,0.9047619047619048,1,0.0015479809999999995,-0.030983569,-0.034896154000000006
86.14235415526116,-2.87577973841137,14.746693661296565,36.362145112438434,2011-02-18,0.002962329,0.016192822999999964,-1.0,0.8095238095238095,1,0.002962329,-0.02802124,-0.031933825000000006
85.31444862584324,-1.1445694102456019,15.154222993673985,36.5105536454104,2011-02-21,-0.0006247039999999999,0.014286058999999962,1.0,0.7142857142857143,1,-0.0006247039999999999,-0.028645944,-0.032558529
85.12074216372336,-2.0913388268662048,15.786246336054303,36.61111746893647,2011-02-22,-0.0007101570000000003,0.013501944999999963,1.0,0.6190476190476191,1,-0.0007101570000000003,-0.029356101,-0.033268686000000006
84.90396083159841,-2.12085726746384,15.744165839027493,36.693793426976576,2011-02-23,0.003237716,0.008829842999999962,1.0,0.6190476190476191,1,0.003237716,-0.026118385,-0.030030970000000004
84.77519986304922,-1.7958484321503962,15.713595143176839,36.802965580043775,2011-02-24,0.0017611090000000007,0.010374513999999963,1.0,0.6190476190476191,1,0.0017611090000000007,-0.024357276,-0.028269861000000004
84.60266293882272,-1.0789120541498218,13.746126014347414,36.84111060291855,2011-02-25,-0.0016267030000000006,0.009414622999999962,-1.0,0.6190476190476191,1,-0.0016267030000000006,-0.025983979,-0.029896564000000004
84.08109512955461,-3.2575493469118686,11.659798922935655,36.81783423486823,2011-02-28,0.001877758,0.011075724999999963,-1.0,0.6190476190476191,1,0.001877758,-0.024106221,-0.028018806000000004
83.93510359297694,-3.3567115575914888,12.655252298318773,36.78977707797122,2011-03-01,-0.0010719879999999998,0.009768106999999965,-1.0,0.5238095238095238,1,-0.0010719879999999998,-0.025178209,-0.029090794000000003
83.79164114241576,-3.856668368773005,12.957728363521365,36.778032323458746,2011-03-02,0.0028588229999999986,0.008498283999999965,-1.0,0.42857142857142855,1,0.0028588229999999986,-0.022319386,-0.026231971000000003
83.64554083031351,-4.308157329941063,13.368974044836571,36.79962924173782,2011-03-03,0.0032055040000000005,0.007069229999999964,-1.0,0.3333333333333333,1,0.0032055040000000005,-0.019113882,-0.023026467000000002
83.59554941792959,-6.949312670800313,15.684979044124994,36.902456479766606,2011-03-04,0.0008930720000000002,0.0076306469999999635,1.0,0.23809523809523808,1,0.0008930720000000002,-0.018220809999999997,-0.022133395
83.35168526458516,-6.437519740891411,15.086353501669185,37.16023857913868,2011-03-07,-0.0005289449999999998,0.013576915999999963,1.0,0.14285714285714285,1,-0.0005289449999999998,-0.018749754999999996,-0.02266234
83.25949045942247,-6.046699476924209,15.003906896945672,37.30019874610056,2011-03-08,-0.002288062,0.012638572999999962,1.0,0.14285714285714285,1,-0.002288062,-0.021037816999999997,-0.024950402
83.1641537103043,-5.820440848354073,15.416679982950859,37.445673039974885,2011-03-09,8.305100000000014e-05,0.021821737999999962,1.0,0.14285714285714285,1,8.305100000000014e-05,-0.020954765999999996,-0.024867351
82.95148331852134,-2.8666782597992704,13.16731257992859,37.35241420322188,2011-03-10,-0.003452681,0.01669211599999996,-1.0,0.14285714285714285,1,-0.003452681,-0.024407446999999995,-0.028320032
82.6737001389247,-1.5851457956156159,12.058950937320404,37.209163196533495,2011-03-11,0.003419443,0.015196372999999961,-1.0,0.14285714285714285,1,0.003419443,-0.020988003999999994,-0.024900588999999997
81.82413228481569,-1.415214418741367,11.745401502264686,36.788983174645956,2011-03-14,0.0029983350000000013,0.014820902999999962,-1.0,0.047619047619047616,1,0.0029983350000000013,-0.017989668999999993,-0.021902253999999996
81.53025088033088,-1.8081522960884684,11.3756848055233,36.66167155749767,2011-03-15,-0.0007271180000000003,0.018182127999999964,-1.0,-0.047619047619047616,0,-0.0,-0.017989668999999993,-0.022629371999999995
81.24074398926442,-2.9673483571813017,10.630095500305146,36.51575326483254,2011-03-16,-0.001955529000000001,0.013274958999999965,-1.0,-0.14285714285714285,0,-0.0,-0.017989668999999993,-0.024584900999999996
80.99446355282187,-3.7714685493500486,11.40968269017317,36.40953425480515,2011-03-17,0.003117243,0.0019867229999999654,-1.0,-0.23809523809523808,0,0.0,-0.017989668999999993,-0.021467657999999997
80.74988802241461,-3.675437479051311,11.217573024237533,36.29977236988052,2011-03-18,0.004808881,0.003096841999999966,-1.0,-0.23809523809523808,0,0.0,-0.017989668999999993,-0.016658776999999996
79.98172566970315,-3.1820415744476147,10.776191078797185,35.950736963066895,2011-03-21,0.0010546209999999995,0.007845954999999967,-1.0,-0.23809523809523808,0,0.0,-0.017989668999999993,-0.015604155999999998
79.75980103897348,-3.1017741031106536,10.749201038570723,35.845467569739135,2011-03-22,-0.0007615500000000003,0.011268170999999967,-1.0,-0.23809523809523808,0,-0.0,-0.017989668999999993,-0.016365705999999997
79.51890970856675,-2.343096664316639,10.438096661336406,35.72775899623633,2011-03-23,-0.0026169210000000012,0.009015208999999967,-1.0,-0.23809523809523808,0,-0.0,-0.017989668999999993,-0.018982627
79.29120480626021,-0.5264197609305454,10.362393019071446,35.65289082089018,2011-03-24,0.002453602,0.012204422999999968,-1.0,-0.3333333333333333,0,0.0,-0.017989668999999993,-0.016529025
79.12325078688205,0.6567491520446644,11.39986607544491,35.61342703181202,2011-03-25,-0.0029109929999999997,0.014423012999999967,-1.0,-0.42857142857142855,0,-0.0,-0.017989668999999993,-0.019440018
78.54635091060909,0.6674176108785004,11.078148071717685,35.434429127653715,2011-03-28,-8.203199999999991e-05,0.017005816999999968,-1.0,-0.5238095238095238,0,-0.0,-0.017989668999999993,-0.01952205
78.36290471233933,1.7830091378443969,12.064692800159447,35.38635337099924,2011-03-29,0.0009178669999999998,0.017885759999999966,-1.0,-0.6190476190476191,0,0.0,-0.017989668999999993,-0.018604183
78.21156385241885,2.000042205454582,12.385271144125932,35.34378299479141,2011-03-30,0.0005891140000000008,0.015783447999999964,-1.0,-0.6190476190476191,0,0.0,-0.017989668999999993,-0.018015068999999998
78.0571910159178,1.9198075448042664,12.321559889848784,35.29023897127521,2011-03-31,0.001551205,0.014343832999999962,-1.0,-0.6190476190476191,0,0.0,-0.017989668999999993,-0.016463863999999998
78.03901170900116,-0.3799080251068794,14.05272604356374,35.358687958270075,2011-04-01,0.001935681,0.014866044999999963,-1.0,-0.6190476190476191,0,0.0,-0.017989668999999993,-0.014528182999999998
77.89040246466655,-0.3074956811950569,13.592366067783171,35.50391329940629,2011-04-04,-0.0005359820000000003,0.015026779999999962,-1.0,-0.6190476190476191,0,-0.0,-0.017989668999999993,-0.015064165
77.83093093528562,0.6849905964384189,13.08782538384266,35.52253073961711,2011-04-05,3.247199999999989e-05,0.0023858109999999617,-1.0,-0.6190476190476191,0,0.0,-0.017989668999999993,-0.015031692999999999
77.7663658050232,1.7856992614436404,13.831798927473875,35.56085060249305,2011-04-06,0.0036582069999999993,-0.0006416270000000385,-1.0,-0.7142857142857143,0,0.0,-0.017989668999999993,-0.011373485999999999
77.7086576423939,2.547172486242704,14.451223488133893,35.64262528735364,2011-04-07,-0.0008552920000000001,-0.005721752000000038,-1.0,-0.8095238095238095,0,-0.0,-0.017989668999999993,-0.012228778
77.62990635316046,2.5149353842544357,13.863353153179176,35.692708244747195,2011-04-08,0.005730484,-0.004637034000000038,-1.0,-0.9047619047619048,0,0.0,-0.017989668999999993,-0.006498293999999999
77.2844141408677,2.283089322303589,13.105791096774668,35.87635070826101,2011-04-11,-0.001710179,-0.003309845000000039,-1.0,-1.0,0,-0.0,-0.017989668999999993,-0.008208472999999999
77.09794996524705,2.2028541618683395,11.42586017945194,35.850312361867765,2011-04-12,0.001502592,-0.003165734000000039,-1.0,-1.0,0,0.0,-0.017989668999999993,-0.006705880999999999
76.90960515650434,1.8768880919887576,11.138350308920602,35.80409869221188,2011-04-13,-0.0011025879999999998,-0.0020936780000000385,-1.0,-1.0,0,-0.0,-0.017989668999999993,-0.0078084689999999984
76.71952772104301,2.563274815279755,10.432444190863418,35.72999057912042,2011-04-14,0.0014056960000000005,-0.0009673290000000382,-1.0,-1.0,0,0.0,-0.017989668999999993,-0.006402772999999998
76.54461266576848,6.204602310134848,12.062520689797836,35.77051349683862,2011-04-15,-0.001789926,0.004355906999999962,1.0,-1.0,0,-0.0,-0.017989668999999993,-0.008192698999999998
75.96514569571605,5.91395764181497,11.648599301406472,35.83783140645275,2011-04-18,-0.006479355,0.001944686999999962,1.0,-1.0,0,-0.0,-0.017989668999999993,-0.014672053999999997
75.77587402372677,5.512411631417597,11.997643772679574,35.84813312872652,2011-04-19,0.00216474,-0.0022812040000000384,1.0,-0.9047619047619048,0,0.0,-0.017989668999999993,-0.012507313999999997
75.59070450123198,5.3372863091866884,12.169475933565506,35.8750751461975,2011-04-20,0.003987563,-0.004226110000000038,1.0,-0.8095238095238095,0,0.0,-0.017989668999999993,-0.008519750999999996
75.44041617886117,6.79501517578499,11.133181539191833,35.85919968703658,2011-04-21,0.0008052949999999997,-0.005294672000000038,1.0,-0.7142857142857143,0,0.0,-0.017989668999999993,-0.007714455999999996
75.30901330790738,6.689805930561466,11.031488856921614,35.850538385472596,2011-04-22,0.00020064000000000006,-0.005117696000000039,1.0,-0.6190476190476191,0,0.0,-0.017989668999999993,-0.007513815999999996
74.84359392449001,6.134030694811896,10.922522304962524,35.78979246388195,2011-04-25,0.000278221,-0.007556653000000039,1.0,-0.5238095238095238,0,0.0,-0.017989668999999993,-0.007235594999999996
74.67683733175231,5.852383607283136,10.919393553388117,35.7619160111106,2011-04-26,0.002136558,-0.010283515000000038,1.0,-0.42857142857142855,0,0.0,-0.017989668999999993,-0.0050990369999999955
74.47265856538519,5.703162386101421,10.74824504726364,35.72869803300188,2011-04-27,0.0035006709999999995,-0.009608848000000038,1.0,-0.3333333333333333,0,0.0,-0.017989668999999993,-0.001598365999999996
74.1372848322936,6.298864527609501,6.267613013276452,35.53975837685033,2011-04-28,0.0014690569999999993,-0.009219431000000038,1.0,-0.23809523809523808,0,0.0,-0.017989668999999993,-0.00012930899999999673
73.80294010249108,3.2126978090401233,4.058227194119467,35.2655214010849,2011-04-29,-0.0005511070000000003,-0.009213558000000038,-1.0,-0.14285714285714285,0,-0.0,-0.017989668999999993,-0.0006804159999999971
72.7922976404028,2.6496844657843828,4.46136926565574,34.47774090906563,2011-05-02,0.0004960660000000001,-0.008327152000000039,-1.0,-0.047619047619047616,0,0.0,-0.017989668999999993,-0.00018434999999999697
72.43438975593287,2.631648343752666,4.303981950090701,34.247407073889754,2011-05-03,-1.3770000000000107e-05,-0.011213467000000038,-1.0,-0.047619047619047616,0,-0.0,-0.017989668999999993,-0.00019811999999999708
72.08193810379666,4.9843184547657735,2.39054023392827,33.936818189115854,2011-05-04,0.0001932069999999993,-0.004876742000000038,-1.0,-0.047619047619047616,0,0.0,-0.017989668999999993,-4.912999999997776e-06
71.736203436017,3.777332987483084,-0.3466540726723739,33.53002540643729,2011-05-05,-0.008982762,-0.0005925410000000381,-1.0,-0.047619047619047616,0,-0.0,-0.017989668999999993,-0.008987674999999997
71.47218894459428,4.877176689359133,-0.4036810019343502,33.12246962307233,2011-05-06,-0.00388273,-0.0020536910000000384,-1.0,-0.047619047619047616,0,-0.0,-0.017989668999999993,-0.012870404999999998
70.65127966536339,4.699700352830567,-0.10547874461054008,31.973159688759665,2011-05-09,0.0006503590000000003,-0.0017536860000000386,-1.0,-0.047619047619047616,0,0.0,-0.017989668999999993,-0.012220045999999998
70.3461049524425,3.5065724369953704,-0.4936843845813588,31.594588254946448,2011-05-10,-0.0006254609999999999,-0.004708609000000037,-1.0,-0.047619047619047616,0,-0.0,-0.017989668999999993,-0.012845506999999999
70.0093770503762,4.045843287692411,-1.0762569024156363,31.18436235852843,2011-05-11,0.0028297809999999987,-0.0029225540000000372,-1.0,-0.047619047619047616,0,0.0,-0.017989668999999993,-0.010015726
69.63659912379552,4.089815997149774,-1.5645330724009678,30.803680966245107,2011-05-12,-0.0009584769999999996,-0.006610472000000038,-1.0,-0.047619047619047616,0,-0.0,-0.017989668999999993,-0.010974203
69.32130583931928,8.925814446624008,2.0818051308112167,30.590851053447036,2011-05-13,0.002477752000000001,-0.006341171000000038,-1.0,-0.047619047619047616,0,0.0,-0.017989668999999993,-0.008496450999999999
68.42207682225848,10.848655648604613,3.896075787099417,30.016983868029232,2011-05-16,-0.0006635769999999999,0.0030954269999999623,-1.0,-0.047619047619047616,0,-0.0,-0.017989668999999993,-0.009160027999999999
68.1473089922488,11.250559006893608,3.8175261475871984,29.839739978129586,2011-05-17,-0.001156119,0.0024506109999999624,-1.0,-0.047619047619047616,0,-0.0,-0.017989668999999993,-0.010316147
67.85587292318954,11.073883318631713,3.655776876789736,29.655217854037122,2011-05-18,-0.0002464799999999998,0.0018260039999999627,-1.0,-0.14285714285714285,0,-0.0,-0.017989668999999993,-0.010562627
