ESI_EURUSD_spread_madiff,ESI_G10_normalised_madiff,ESI_Global_normalised_madiff,EDI_EURUSD_spread_madiff,EDI_G10_normalised_madiff,EDI_Global_normalised_madiff,Date,LSTM2_erf,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret
-10.755099015001464,-129.61758270549007,-135.915389264183,-17.877676437458643,-43.43314867230745,-55.28394992098762,2009-01-30,-0.009331824999999995,0.00682940399999999,-0.00023971827333334412,,0,-0.0,-0.0,-0.009331824999999995
-11.45870322554043,-132.38488913156672,-139.63189412041507,-17.843378380547946,-42.72771067783313,-55.24163483121337,2009-02-02,0.005606356000000001,0.02122242799999999,-0.0009912424433333453,,0,0.0,0.0,-0.0037254689999999943
-11.594984154424965,-133.21088669709428,-140.84613123652525,-17.89012580552028,-42.465619437437546,-55.2250645550882,2009-02-03,-0.006038471,0.00616618999999999,-0.0009727167233333454,,0,-0.0,0.0,-0.009763939999999995
-11.692183510983538,-133.97911928334247,-141.9972255340789,-18.00614214961011,-42.14491663658772,-55.1425695181811,2009-02-04,0.00976367,0.017013397999999996,-0.001331142843333346,,0,0.0,0.0,-2.699999999949271e-07
-11.749311294097366,-134.75283322736328,-143.12858945656632,-18.182762165152038,-41.93836516254605,-55.151142658494656,2009-02-05,-0.002434405,0.023339406999999996,-0.000922960010000012,,0,-0.0,0.0,-0.002434674999999995
-11.208843995358308,-135.89096768380205,-144.55493309503382,-18.284035855440365,-41.92101754490771,-55.35380763039444,2009-02-06,0.0014514830000000002,0.020647007999999998,-0.000922960010000012,,0,0.0,0.0,-0.000983191999999995
-9.730611274989966,-138.8108746644338,-148.33348668885824,-18.534290261602518,-41.80192106742006,-55.8327271648721,2009-02-09,-0.0020976910000000005,0.003149478999999996,0.0041820154833333255,,0,-0.0,0.0,-0.003080882999999995
-9.282029635874522,-139.6552200210482,-149.50689254518966,-18.601259785880192,-41.73396372158896,-55.97899203510032,2009-02-10,0.009057022,-0.0007170300000000039,0.0029929843866666615,,0,0.0,0.0,0.0059761390000000044
-9.043104778470225,-140.32226413415873,-150.60166499287683,-18.535386156069773,-41.739133163050646,-56.22803866573498,2009-02-11,-0.0013032509999999994,-0.002891049000000001,0.003247845906666662,,0,-0.0,0.0,0.004672888000000005
-8.824721515051634,-140.91859234159094,-151.6622466600195,-18.661459410820235,-41.59035518624951,-56.36835552293846,2009-02-12,-0.0008853250000000026,-0.004572666000000003,0.003146945833333329,,0,-0.0,0.0,0.0037875630000000025
-8.756466170986611,-141.56626568669418,-152.7701493150201,-18.819830373662434,-41.50356581975374,-56.54614545446425,2009-02-13,-0.0017147319999999994,-0.004159708000000005,0.001972915019999991,,0,-0.0,0.0,0.0020728310000000033
-8.560151401455812,-143.2129072596733,-155.65965015572374,-19.2239954417147,-41.22772983791836,-56.98817910013235,2009-02-16,-0.003406896999999997,-0.021769231000000003,-0.006341532620000019,,0,-0.0,0.0,-0.0013340659999999936
-8.319057169010705,-143.648153027071,-156.56508969534696,-19.0918139071018,-40.97468166606684,-57.018232546005116,2009-02-17,-0.016807841,-0.020116507000000006,-0.005816498513333351,,0,-0.0,0.0,-0.018141906999999995
-8.032333948830512,-144.06297546681856,-157.4519768210492,-18.93418221775981,-40.745139218662906,-57.05767707956205,2009-02-18,-0.0017178149999999988,-0.035337360000000005,0.0001298069866666588,,0,-0.0,0.0,-0.019859721999999993
-7.661008321689849,-144.4902630207864,-158.35257478141762,-18.70823033411079,-40.566601092002394,-57.14933041972564,2009-02-19,0.010177863999999998,-0.04272841100000001,0.003414662559999997,,0,0.0,0.0,-0.009681857999999995
-7.4334691512407005,-144.93414717799783,-159.31037313392244,-18.604067307692045,-40.39190485372343,-57.24063692399748,2009-02-20,0.010478919,-0.058145100000000005,0.003414662559999997,,0,0.0,0.0,0.0007970610000000052
-6.8075657450339415,-145.96393534925576,-161.7693986815471,-18.297600577153748,-39.887180288873786,-57.46069009624154,2009-02-23,0.0177767,-0.042490904,0.006358129013333317,,0,0.0,0.0,0.018573761000000005
-6.813155331643827,-146.48772625360633,-162.79423754446998,-18.072897547099977,-39.806553356188886,-57.652088181563386,2009-02-24,-0.009184466,-0.055396264,0.0062834685466666524,,0,-0.0,0.0,0.009389295000000004
-6.9569490566928485,-147.0824733709299,-163.8719261060441,-17.855388360354027,-39.7100983798693,-57.81945641550027,2009-02-25,0.009694639,-0.07126256,0.006388355893333316,,0,0.0,0.0,0.019083934000000004
-7.433325291031963,-147.98020707522474,-165.25506731247532,-17.81979338351762,-39.83296551716357,-58.184493386583995,2009-02-26,-0.0025249760000000013,-0.076501965,0.005862600733333318,,0,-0.0,0.0,0.016558958000000002
-7.542236695468631,-149.19862213041694,-166.94991918538744,-17.862696740847376,-40.11330058309509,-58.72463288680796,2009-02-27,-0.0029087310000000003,-0.06146194900000001,0.0047122930599999896,,0,-0.0,0.0,0.013650227000000001
-7.743847586329282,-152.3982355577936,-171.58599361797036,-18.009441429216338,-40.792164695235726,-60.02079489634731,2009-03-02,-0.009428404,-0.06046758400000001,0.004603244519999991,,0,-0.0,0.0,0.004221823000000001
-7.746817835817722,-153.34997770463872,-173.07640243651954,-18.080607400123206,-40.957684540777954,-60.323022989864114,2009-03-03,-0.0011178879999999987,-0.05627200100000001,0.004603244519999991,0.001646091168888878,1,-0.0011178879999999987,-0.0011178879999999987,0.0031039350000000025
