ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,RF_erf,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret
112.58567121415402,5.671314855477448,10.699927585817008,30.82788418385356,2010-11-12,0.0012167940000000002,-0.005377147999999976,-1.0,,0,0.0,0.0,0.0012167940000000002
111.2646384933185,7.279486587939957,10.366173343817039,30.56121035762281,2010-11-15,-0.003480975,-0.006607841999999976,-1.0,,0,-0.0,0.0,-0.0022641809999999997
110.7910984276606,11.722674872366063,13.153795700344677,30.58298651376728,2010-11-16,-0.0032444440000000004,-0.007798858999999976,-1.0,,0,-0.0,0.0,-0.005508625
110.3164748155968,12.670742921742045,12.434184238610179,30.58049195405532,2010-11-17,0.0015737319999999993,-0.008427700999999975,-1.0,,0,0.0,0.0,-0.003934893
109.8766892317342,11.20442448212764,13.307394103819494,30.6203988458236,2010-11-18,0.003877315,-0.007001340999999975,-1.0,,0,0.0,0.0,-5.757799999999997e-05
109.42998631165337,11.098314569276683,13.140862424267596,30.63595005348048,2010-11-19,0.0010150019999999999,-0.007251021999999975,-1.0,,0,0.0,0.0,0.0009574239999999999
108.19782619701097,11.406712888787984,13.051439154537706,30.6242488088335,2010-11-22,-0.001675858,0.0005430690000000232,-1.0,,0,-0.0,0.0,-0.000718434
107.84570300225944,10.382259585431484,13.045365512712143,30.589527578380046,2010-11-23,-0.007801363999999998,0.0019170580000000238,-1.0,,0,-0.0,0.0,-0.008519797999999999
107.60516767953727,15.019049266724277,14.8410392063259,30.620883477318074,2010-11-24,-0.0011933480000000005,0.0017996160000000236,-1.0,,0,-0.0,0.0,-0.009713145999999999
107.40068190770563,15.783689715775335,15.221620005886063,30.636067126001038,2010-11-25,0.0003289470000000001,0.007085120000000024,-1.0,,0,0.0,0.0,-0.009384199
107.17693693344322,14.928382430899632,14.614164673927784,30.630582530763828,2010-11-26,-0.003632562,0.014151142000000023,-1.0,,0,-0.0,0.0,-0.013016761
106.48760340871564,14.526859855202026,14.420777948072688,30.584118210061924,2010-11-29,-0.004766540999999999,0.012943987000000023,-1.0,,0,-0.0,0.0,-0.017783302
106.29368644260832,13.54600151383288,15.53389866321098,30.67901004473764,2010-11-30,0.002526903,0.017002973000000025,-1.0,,0,0.0,0.0,-0.015256399
106.08154776387366,12.677916144734073,15.13064172388784,30.77349826872143,2010-12-01,-0.004747843000000001,0.015263252000000022,-1.0,,0,-0.0,0.0,-0.020004242000000002
105.83951145602762,12.676295518602235,14.730425650714807,30.846316409068237,2010-12-02,0.0028097540000000002,0.008510584000000022,-1.0,,0,0.0,0.0,-0.017194488
105.57455295133936,19.09897342739978,9.773631695675661,30.72899245877579,2010-12-03,0.006906737999999999,0.010691811000000022,-1.0,,0,0.0,0.0,-0.010287750000000002
104.71904383112009,18.346508521948625,9.51108598798897,30.36098938752208,2010-12-06,-0.003523835,0.00369465000000002,-1.0,,0,-0.0,0.0,-0.013811585000000001
104.41270229278332,17.934481013649272,9.3718573023281,30.215663098511573,2010-12-07,0.0013911950000000009,-0.0015355979999999774,1.0,,0,0.0,0.0,-0.01242039
104.10600712309584,19.162306891240533,10.075095746264518,30.13600577801678,2010-12-08,7.835100000000013e-05,-0.004300503999999978,1.0,,0,0.0,0.0,-0.012342038999999999
103.83677418227957,18.86644630372252,10.579161653760837,30.08018673713403,2010-12-09,-0.000432453,-0.002469632999999977,-1.0,,0,-0.0,0.0,-0.012774491999999998
103.57472385338328,15.130939416392195,12.968765381536098,30.19841533082676,2010-12-10,-0.00043661599999999986,-0.007445831999999978,-1.0,,0,-0.0,0.0,-0.013211107999999997
102.70297669973385,14.626507925620606,12.51247341187376,30.48697020988871,2010-12-13,0.0056178420000000005,-0.007130381999999978,-1.0,,0,0.0,0.0,-0.007593265999999997
102.32779700691415,12.52822699283247,13.940473440147214,30.60567409965559,2010-12-14,-4.8062999999999794e-05,-0.0021792099999999774,-1.0,-0.8095238095238095,0,-0.0,0.0,-0.007641328999999997
102.03147587798996,11.878255391718808,15.317153264810688,30.774656795458103,2010-12-15,-0.004475138,-0.003834121999999977,-1.0,-0.8095238095238095,0,-0.0,0.0,-0.012116466999999997
101.76962026341288,10.991466374800147,15.71981497492882,30.950020428764702,2010-12-16,0.00038271499999999983,-0.0057690339999999785,-1.0,-0.8095238095238095,0,0.0,0.0,-0.011733751999999997
101.62268403374406,13.1695325708608,16.942690497048766,31.15068552474139,2010-12-17,0.0032484730000000013,-0.006617117999999977,-1.0,-0.8095238095238095,0,0.0,0.0,-0.008485278999999995
101.10309525942472,11.954771488521144,15.777736223793351,31.6345698236303,2010-12-20,0.0024413619999999994,-0.0015445309999999775,-1.0,-0.8095238095238095,0,0.0,0.0,-0.006043916999999996
100.91246966139984,11.842896706224296,15.475082138375967,31.74947188822847,2010-12-21,-0.001925539,-0.0019521249999999773,-1.0,-0.8095238095238095,0,-0.0,0.0,-0.007969455999999996
100.72580841866258,12.460665329511302,14.560528432436405,31.840272954844227,2010-12-22,-7.2730000000000225e-06,-0.006884590999999977,-1.0,-0.8095238095238095,0,-0.0,0.0,-0.007976728999999997
100.52990167248669,14.02277153016083,14.750149085800693,31.951804931912665,2010-12-23,0.000180641,-0.007774143999999978,-1.0,-0.8095238095238095,0,0.0,0.0,-0.007796087999999997
100.32405353460271,13.869796857061214,14.572438063227574,32.05604582858245,2010-12-24,0.000211505,-0.008739068999999978,-1.0,-0.8095238095238095,0,0.0,0.0,-0.007584582999999997
