ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,RF,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
3.384758258,7.074903371,-1.439483541,-11.15814474,20/07/2015,-0.000341439,0.003741796,-1,0.238095238,1,-0.000341439,-0.014617842,-0.00587527,
3.358465093,7.007466783,-1.431817798,-11.0814711,21/07/2015,0.004949924,0.004902207,-1,0.238095238,1,0.004949924,-0.009667918,-0.000925346,
3.328028743,6.915895637,-1.34515146,-11.00367324,22/07/2015,1.64E-05,-0.002880362,-1,0.238095238,1,1.64E-05,-0.009651527,-0.000908955,
3.292537152,5.876003156,-0.660931834,-10.89769981,23/07/2015,0.002584496,-0.010430683,1,0.238095238,1,0.002584496,-0.007067031,0.001675541,
3.258228186,5.05014932,-3.627937947,-10.95587964,24/07/2015,-0.000217593,-0.008933673,-1,0.142857143,1,-0.000217593,-0.007284624,0.001457948,
3.177043515,5.651456007,-3.303985106,-11.09397796,27/07/2015,0.000823715,0.000676653,-1,0.142857143,1,0.000823715,-0.006460909,0.002281663,
3.159134839,6.78091656,-4.277273264,-11.16908999,28/07/2015,-0.001272382,0.006942854,-1,0.047619048,1,-0.001272382,-0.007733291,0.001009281,
3.143498235,6.715133217,-4.120002914,-11.23496988,29/07/2015,-0.003480539,0.01141718,-1,-0.047619048,0,0,-0.007733291,-0.002471258,
3.161211578,8.490915963,-3.004246117,-11.25145178,30/07/2015,-0.001940361,0.008074401,-1,-0.142857143,0,0,-0.007733291,-0.004411619,
3.224271768,9.232579519,-2.849098003,-11.25081336,31/07/2015,0.002192809,0.007669247,-1,-0.142857143,0,0,-0.007733291,-0.00221881,
3.367335762,9.847007535,-2.854735353,-11.23614467,03/08/2015,-0.001327062,0.00816934,-1,-0.238095238,0,0,-0.007733291,-0.003545872,
3.426082712,9.72289165,-2.803700849,-11.21338784,04/08/2015,-0.002644438,0.010114784,-1,-0.333333333,0,0,-0.007733291,-0.00619031,
3.509218105,10.54116339,-0.803618852,-11.0895578,05/08/2015,0.000402966,0.008708324,1,-0.333333333,0,0,-0.007733291,-0.005787344,
3.598211939,10.96701957,-0.154248207,-10.95233206,06/08/2015,0.00088056,0.007609581,1,-0.428571429,0,0,-0.007733291,-0.004906784,
3.699350743,9.782706712,-0.885053719,-10.82949566,07/08/2015,0.001778562,0.005940147,1,-0.428571429,0,0,-0.007733291,-0.003128222,
3.920444498,9.316840591,-1.236104824,-10.53535333,10/08/2015,0.002144246,0.00551945,1,-0.428571429,0,0,-0.007733291,-0.000983976,
3.947384324,8.443565193,-1.718146297,-10.48274793,11/08/2015,0.001068446,0.003291403,-1,-0.428571429,0,0,-0.007733291,8.45E-05,
3.915701703,8.35024353,-1.743748675,-10.45378369,12/08/2015,0.004767037,0.004974205,-1,-0.428571429,0,0,-0.007733291,0.004851507,
3.872206733,8.496535596,-2.129011521,-10.43687518,13/08/2015,-0.000151908,0.006902127,-1,-0.523809524,0,0,-0.007733291,0.004699599,
3.853225307,7.421771517,-2.472720675,-10.42185081,14/08/2015,-0.001713909,0.006400815,-1,-0.523809524,0,0,-0.007733291,0.00298569,
3.79996327,7.869622372,-2.582285448,-10.36732168,17/08/2015,-0.00139521,0.006825135,-1,-0.523809524,0,0,-0.007733291,0.00159048,
3.791488373,7.525409509,-2.256233227,-10.35555401,18/08/2015,-0.000408676,0.010164523,-1,-0.523809524,0,0,-0.007733291,0.001181804,
3.767392803,8.978562867,-3.436261827,-10.38303562,19/08/2015,0.001634646,0.012053078,-1,-0.523809524,0,0,-0.007733291,0.00281645,
3.733734849,9.120047781,-3.474074353,-10.41043541,20/08/2015,0.001176802,0.020060524,-1,-0.523809524,0,0,-0.007733291,0.003993252,
3.720885855,10.50358982,-2.59899926,-10.43700979,21/08/2015,-0.005198073,0.030289133,-1,-0.523809524,0,0,-0.007733291,-0.001204821,
3.671077528,9.961479281,-2.406866907,-10.50198752,24/08/2015,-0.007767914,0.030280717,-1,-0.523809524,0,0,-0.007733291,-0.008972735,
3.674864383,9.627377871,-1.534785992,-10.48941365,25/08/2015,0.002320725,0.024392154,1,-0.619047619,0,0,-0.007733291,-0.00665201,
3.68744081,8.100913295,-0.506364431,-10.43974279,26/08/2015,0.008337944,0.021479091,1,-0.619047619,0,0,-0.007733291,0.001685934,
3.737248401,6.815416604,0.716730386,-10.34543345,27/08/2015,0.002785662,0.021030284,1,-0.523809524,0,0,-0.007733291,0.004471596,
3.804431516,7.342032637,0.237753654,-10.28586807,28/08/2015,0.002533965,0.022423147,1,-0.428571429,0,0,-0.007733291,0.007005561,
4.002301223,8.448360311,0.542257607,-10.1336097,31/08/2015,-0.00114997,0.022525164,1,-0.333333333,0,0,-0.007733291,0.005855591,
4.041980931,10.91109907,1.040095176,-10.12797109,01/09/2015,-0.001732216,0.025818736,1,-0.238095238,0,0,-0.007733291,0.004123375,
4.078834292,11.44160447,0.384743209,-10.19052855,02/09/2015,-0.002144345,0.022188513,1,-0.142857143,0,0,-0.007733291,0.00197903,
4.144095587,11.49577042,0.701185361,-10.2324899,03/09/2015,0.00234841,0.023808088,1,-0.047619048,0,0,-0.007733291,0.00432744,
4.215034815,11.22771348,0.531180282,-10.28046928,04/09/2015,-0.0005259,0.019629437,1,0.047619048,1,-0.0005259,-0.008259191,0.00380154,
4.400539133,10.38959422,0.171658939,-10.40789181,07/09/2015,0.000679819,0.02042756,1,0.047619048,1,0.000679819,-0.007579372,0.004481359,
4.401030608,10.26334616,0.789109828,-10.44772536,08/09/2015,0.000474812,0.018683678,1,0.047619048,1,0.000474812,-0.00710456,0.004956171,
4.398477431,10.1399218,0.405845445,-10.49273606,09/09/2015,0.000647749,0.013033691,1,0.047619048,1,0.000647749,-0.006456811,0.00560392,
4.403879721,10.07616751,-0.105790852,-10.53390297,10/09/2015,0.00253899,0.011543441,1,0.047619048,1,0.00253899,-0.003917821,0.00814291,
4.397417332,11.56247824,-0.81453706,-10.59424975,11/09/2015,0.001530894,0.010345498,1,0.142857143,1,0.001530894,-0.002386927,0.009673804,
4.31775463,11.03876236,-0.748941268,-10.7658619,14/09/2015,0.000214013,0.015529134,1,0.238095238,1,0.000214013,-0.002172914,0.009887817,
4.217466169,11.29903332,-1.964389658,-10.86851308,15/09/2015,-0.001896522,0.011626352,-1,0.333333333,1,-0.001896522,-0.004069436,0.007991295,
4.133056384,10.14208561,-2.121301228,-10.96302044,16/09/2015,1.56E-05,0.006792738,-1,0.428571429,1,1.56E-05,-0.004053792,0.008006939,
4.037609179,10.87800522,-2.753296122,-11.08651336,17/09/2015,0.004974034,0.004845977,-1,0.428571429,1,0.004974034,0.000920242,0.012980973,
3.946842164,10.78982416,-2.745038662,-11.20056756,18/09/2015,0.003065357,0.001302962,-1,0.428571429,1,0.003065357,0.003985599,0.01604633,
3.687115856,10.41006904,-2.658174027,-11.49507366,21/09/2015,0.002809373,-0.000790964,-1,0.428571429,1,0.002809373,0.006794972,0.018855703,
3.599943695,10.32535652,-2.768301045,-11.57799956,22/09/2015,0.002460695,0.00643002,-1,0.428571429,1,0.002460695,0.009255667,0.021316398,
3.513525652,10.41447727,-2.733652631,-11.67274509,23/09/2015,0.002312309,0.007866524,-1,0.428571429,1,0.002312309,0.011567976,0.023628707,
3.438804602,10.4782422,-2.135714714,-11.75039587,24/09/2015,0.002449381,0.006177702,-1,0.428571429,1,0.002449381,0.014017357,0.026078088,
3.386922205,9.461243519,-1.966884866,-11.81777425,25/09/2015,-0.000127401,0.003524138,-1,0.333333333,1,-0.000127401,0.013889956,0.025950687,
3.250179732,9.319611016,-1.5129701,-11.97566523,28/09/2015,0.002085158,0.004333683,-1,0.238095238,1,0.002085158,0.015975114,0.028035845,
3.253055642,11.22842905,0.665147768,-11.93336684,29/09/2015,0.000242893,0.006625714,1,0.142857143,1,0.000242893,0.016218007,0.028278738,
3.250947554,10.49215751,-0.599678656,-11.93274977,30/09/2015,-0.001630199,0.006071963,1,0.047619048,1,-0.001630199,0.014587808,0.026648539,
3.225496712,10.63729877,0.155924144,-11.85986054,01/10/2015,0.001149227,0.006801425,1,0.047619048,1,0.001149227,0.015737035,0.027797766,
3.220732145,12.24769952,-0.654452607,-11.81534165,02/10/2015,-0.001281813,0.007982615,1,0.047619048,1,-0.001281813,0.014455222,0.026515953,
3.205526992,9.907987434,-2.390207533,-11.74788147,05/10/2015,0.001093675,0.008518994,-1,0.047619048,1,0.001093675,0.015548897,0.027609628,
3.175104311,9.059936799,-3.005525855,-11.79309585,06/10/2015,-0.003498832,0.007917073,-1,0.047619048,1,-0.003498832,0.012050065,0.024110796,
3.137519112,8.026721462,-3.554117077,-11.87148868,07/10/2015,0.001272935,0.002991851,-1,-0.047619048,0,0,0.012050065,0.025383731,
3.12477003,7.602821068,-3.347699727,-11.9072346,08/10/2015,-0.001096133,0.00631219,-1,-0.142857143,0,0,0.012050065,0.024287598,
3.114492918,7.665278224,-3.271380708,-11.93917933,09/10/2015,-0.003110997,0.005689567,-1,-0.238095238,0,0,0.012050065,0.021176601,
3.082159879,7.469511724,-3.133573074,-11.99484784,12/10/2015,4.06E-05,0.008260111,-1,-0.333333333,0,0,0.012050065,0.021217245,
3.030026123,6.894172147,-3.506650804,-11.99889012,13/10/2015,-0.00098393,0.00678553,-1,-0.428571429,0,0,0.012050065,0.020233315,
2.95600048,7.405709138,-4.007650265,-12.02503324,14/10/2015,0.003287114,0.009085966,-1,-0.523809524,0,0,0.012050065,0.023520429,
2.87225781,5.601218237,-2.798670566,-12.00392431,15/10/2015,-0.003887138,0.012597884,-1,-0.619047619,0,0,0.012050065,0.019633291,
2.798412511,4.823984677,-2.127464388,-11.95699043,16/10/2015,0.00014042,0.013125764,-1,-0.619047619,0,0,0.012050065,0.019773711,
2.538310973,4.242483498,-1.675071262,-11.82378464,19/10/2015,0.001118596,0.01323038,-1,-0.619047619,0,0,0.012050065,0.020892307,
2.442419746,3.42489314,-1.085477644,-11.76215217,20/10/2015,-0.000733642,0.01178452,1,-0.619047619,0,0,0.012050065,0.020158665,
2.349668942,3.432729209,-1.048462988,-11.69124686,21/10/2015,0.000366769,-0.00120181,1,-0.619047619,0,0,0.012050065,0.020525434,
2.260188542,3.560954017,-0.789037194,-11.61039361,22/10/2015,0.009533293,-0.005243019,1,-0.523809524,0,0,0.012050065,0.030058727,
2.193608762,5.227412981,1.512371535,-11.429365,23/10/2015,0.003885885,-0.002981779,1,-0.428571429,0,0,0.012050065,0.033944612,
2.009896718,7.533229059,-0.041001945,-10.97543225,26/10/2015,-0.001816223,-0.002978131,1,-0.333333333,0,0,0.012050065,0.032128389,
1.955411965,8.031702286,-0.709841305,-10.89322001,27/10/2015,-0.000568406,-0.004792663,1,-0.238095238,0,0,0.012050065,0.031559983,
1.909409002,8.502991566,-0.682418713,-10.81082652,28/10/2015,0.001052438,-0.005955844,1,-0.142857143,0,0,0.012050065,0.032612421,
1.888924789,9.709412295,0.760612056,-10.66737829,29/10/2015,0.000661832,-0.007446614,1,-0.047619048,0,0,0.012050065,0.033274253,
