ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,LSTM,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
59.91229397,9.724758706,4.84747256,23.72680081,12/06/2017,0.00124995,0.031751405,-1,-1,0,0,0,0.087518107,
60.06743442,9.33174977,4.925980066,23.55659606,13/06/2017,0.000402836,0.028880532,-1,-1,0,0,0,0.087920943,
60.19871935,12.03506143,2.743944455,23.30621276,14/06/2017,0.001262502,0.046689653,-1,-1,0,0,0,0.089183445,
60.33239858,12.93071871,2.053640731,23.04608422,15/06/2017,-0.008597805,0.042240455,-1,-1,0,0,0,0.08058564,
60.43381903,16.57428393,-0.658197166,22.6989308,16/06/2017,0.005743563,0.056466187,-1,-1,0,0,0,0.086329203,
60.67380324,15.90909855,-0.679949288,21.71931147,19/06/2017,-0.003727158,0.052471581,-1,-1,0,0,0,0.082602045,
60.76507653,15.69816061,-0.59609642,21.4073864,20/06/2017,-0.001005446,0.064302516,-1,-1,0,0,0,0.081596599,
60.85566342,15.49229877,-0.119052546,21.12278082,21/06/2017,0.004397424,0.070183285,-1,-1,0,0,0,0.085994023,
60.9432662,15.42230692,0.362304755,20.87605306,22/06/2017,-0.001888664,0.061803419,-1,-1,0,0,0,0.084105359,
61.06834471,12.50312572,-1.16045824,20.58049935,23/06/2017,0.00495947,0.064481724,-1,-1,0,0,0,0.089064829,
61.34060329,13.76493248,-1.611990282,19.72045265,26/06/2017,-0.001114128,0.057817304,-1,-1,0,0,0,0.087950701,
61.40766381,13.90052853,-1.343321913,19.43844073,27/06/2017,0.02046996,0.041918144,-1,-1,0,0,0,0.108420661,
61.46162563,13.91287581,-1.000188833,19.17580455,28/06/2017,0.005920643,0.043040805,-1,-1,0,0,0,0.114341304,
61.53527679,15.72320168,0.946224073,18.98913105,29/06/2017,0.009296239,0.056947022,-1,-1,0,0,0,0.123637543,
61.58758982,16.70953852,1.067262248,18.83605977,30/06/2017,-0.002219567,0.061347344,-1,-1,0,0,0,0.121417976,
61.76867762,14.31742936,2.76280726,18.451748,03/07/2017,-0.00846494,0.070230456,-1,-1,0,0,0,0.112953036,
61.89463203,14.14579972,2.827198118,18.37601668,04/07/2017,-0.002132878,0.071908651,-1,-1,0,0,0,0.110820158,
62.03899818,16.69260009,3.693442656,18.36893758,05/07/2017,0.000461601,0.049801386,-1,-1,0,0,0,0.111281759,
62.1714409,16.44012911,3.472883181,18.35917086,06/07/2017,0.009398896,0.055126476,-1,-1,0,0,0,0.120680655,
62.31731595,16.13911424,4.626829952,18.41809664,07/07/2017,-0.00250419,0.050277979,-1,-1,0,0,0,0.118176465,
62.63216325,15.46882836,3.733897953,18.51800905,10/07/2017,-0.000696132,0.0425382,-1,-1,0,0,0,0.117480333,
62.71278346,16.34725038,3.15140934,18.49681553,11/07/2017,0.009012575,0.050820927,-1,-1,0,0,0,0.126492908,
62.80927626,16.31810912,3.310617053,18.4804045,12/07/2017,-0.00682056,0.058614334,-1,-1,0,0,0,0.119672348,
62.90528597,16.17872844,3.30289994,18.47533562,13/07/2017,-0.001608371,0.043836755,-1,-1,0,0,0,0.118063977,
62.9662895,19.60901721,0.640582759,18.36310023,14/07/2017,0.009211316,0.037774443,-1,-1,0,0,0,0.127275293,
63.07751503,18.90250132,0.68008578,18.07780845,17/07/2017,0.001294365,0.031302588,-1,-1,0,0,0,0.128569658,
63.12272817,19.51502051,-0.359556962,17.98015105,18/07/2017,0.010498574,0.030943902,-1,-1,0,0,0,0.139068232,
63.17208061,17.49529563,0.981434957,17.93461814,19/07/2017,-0.005000052,0.018538203,-1,-1,0,0,0,0.13406818,
63.23287792,16.71013544,1.435514199,17.9072381,20/07/2017,0.016228359,0.020982565,-1,-1,0,0,0,0.150296539,
63.27185874,16.50659574,1.310455522,17.87891738,21/07/2017,0.003992105,0.018487308,-1,-1,0,0,0,0.154288644,
63.33899813,13.61522336,0.842231198,17.76576777,24/07/2017,-0.003420396,0.022313191,-1,-1,0,0,0,0.150868248,
63.38969091,14.1161596,1.344087945,17.73423232,25/07/2017,0.001564177,0.007291988,-1,-1,0,0,0,0.152432425,
63.43270596,14.31351389,1.346176447,17.7042374,26/07/2017,0.01380554,0.033242586,-1,-1,0,0,0,0.166237965,
63.48539424,14.69553878,1.722737015,17.69648013,27/07/2017,-0.009978517,0.030259336,-1,-1,0,0,0,0.156259448,
63.5931922,14.9629361,2.593125054,17.70340471,28/07/2017,0.0104189,0.017176136,-1,-1,0,0,0,0.166678348,
63.8282625,15.14748277,3.109260741,17.71271127,31/07/2017,0.01168665,0.011884119,-1,-1,0,0,0,0.178364998,
63.94818725,14.97718878,2.663093486,17.7395716,01/08/2017,-0.004064618,0.008356976,-1,-1,0,0,0,0.17430038,
64.06454711,15.00168364,2.473838215,17.74415807,02/08/2017,0.006750234,-0.00106143,-1,-1,0,0,0,0.181050614,
64.22877944,14.84349544,2.746621011,17.75574045,03/08/2017,0.002139796,0.015965135,-1,-1,0,0,0,0.18319041,
64.38098438,14.34594871,3.358162113,17.77001701,04/08/2017,-0.012708369,0.015371635,-1,-1,0,0,0,0.170482041,
64.70942165,13.17365869,2.803558488,17.76714945,07/08/2017,0.0028209,0.021788252,-1,-1,0,0,0,0.173302941,
64.81007684,11.03270774,3.61429607,17.75556087,08/08/2017,-0.005544629,0.033067844,-1,-1,0,0,0,0.167758312,
64.89829315,11.42772547,3.981619575,17.75853965,09/08/2017,0.001272796,0.033967406,-1,-1,0,0,0,0.169031108,
64.96901604,11.36127724,3.163470314,17.72599262,10/08/2017,0.001462167,0.017668708,-1,-1,0,0,0,0.170493275,
65.05593176,12.67645847,2.114349989,17.70205423,11/08/2017,0.006185036,0.024434058,-1,-1,0,0,0,0.176678311,
65.22152138,12.23171349,3.152980394,17.60397069,14/08/2017,-0.005566263,0.020506006,-1,-1,0,0,0,0.171112048,
65.32344868,9.694445482,4.372557997,17.61375301,15/08/2017,-0.004767947,0.019816064,-1,-1,0,0,0,0.166344101,
65.41973725,11.37399544,3.362297055,17.59947362,16/08/2017,0.004026719,0.02919351,-1,-1,0,0,0,0.17037082,
65.57454424,11.10874769,3.5813857,17.60155173,17/08/2017,-0.005358738,0.026106941,-1,-1,0,0,0,0.165012082,
65.71464229,10.69230933,3.77587466,17.60808733,18/08/2017,0.00382266,0.022872722,-1,-1,0,0,0,0.168834742,
