ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,LSTM,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
3.549423626,7.837918438,-1.696864084,-11.56267887,15/07/2015,-0.007978306,-0.004342076,-1,-1,0,0,0,-0.046120412,
3.486299288,7.769190677,-1.7245636,-11.48628642,16/07/2015,-0.009460986,-0.003043207,-1,-1,0,0,0,-0.055581398,
3.460257115,7.283594406,-1.420787311,-11.40115707,17/07/2015,-0.006003125,-0.009186445,-1,-1,0,0,0,-0.061584523,
3.384758258,7.074903371,-1.439483541,-11.15814474,20/07/2015,-0.00101753,-0.010122008,-1,-1,0,0,0,-0.062602053,
3.358465093,7.007466783,-1.431817798,-11.0814711,21/07/2015,0.014342423,0.006355165,-1,-1,0,0,0,-0.04825963,
3.328028743,6.915895637,-1.34515146,-11.00367324,22/07/2015,-4.42E-05,0.023744937,-1,-1,0,0,0,-0.048303801,
3.292537152,5.876003156,-0.660931834,-10.89769981,23/07/2015,0.004467224,0.050767249,-1,-1,0,0,0,-0.043836577,
3.258228186,5.05014932,-3.627937947,-10.95587964,24/07/2015,0.00040434,0.03731932,-1,-1,0,0,0,-0.043432237,
3.177043515,5.651456007,-3.303985106,-11.09397796,27/07/2015,0.005254093,0.006612798,-1,-1,0,0,0,-0.038178144,
3.159134839,6.78091656,-4.277273264,-11.16908999,28/07/2015,0.001541696,0.008703186,-1,-1,0,0,0,-0.036636448,
3.143498235,6.715133217,-4.120002914,-11.23496988,29/07/2015,-0.01122792,0.006665817,-1,-1,0,0,0,-0.047864368,
3.161211578,8.490915963,-3.004246117,-11.25145178,30/07/2015,-0.006080384,0.00246298,-1,-1,0,0,0,-0.053944752,
3.224271768,9.232579519,-2.849098003,-11.25081336,31/07/2015,0.007435245,0.018847738,-1,-1,0,0,0,-0.046509507,
3.367335762,9.847007535,-2.854735353,-11.23614467,03/08/2015,-0.002612702,0.013597503,-1,-1,0,0,0,-0.049122209,
3.426082712,9.72289165,-2.803700849,-11.21338784,04/08/2015,-0.006332605,-0.001057521,-1,-1,0,0,0,-0.055454814,
3.509218105,10.54116339,-0.803618852,-11.0895578,05/08/2015,0.001155738,-3.92E-05,-1,-1,0,0,0,-0.054299076,
3.598211939,10.96701957,-0.154248207,-10.95233206,06/08/2015,0.002990349,-0.001188074,-1,-1,0,0,0,-0.051308727,
3.699350743,9.782706712,-0.885053719,-10.82949566,07/08/2015,0.003443356,0.001251216,1,-1,0,0,0,-0.047865371,
3.920444498,9.316840591,-1.236104824,-10.53535333,10/08/2015,0.002168125,0.003801736,1,-1,0,0,0,-0.045697246,
3.947384324,8.443565193,-1.718146297,-10.48274793,11/08/2015,-0.000734447,0.019082913,1,-0.904761905,0,0,0,-0.046431693,
