,DDMMYY,CCY,logret,Linear,SVM_erf,RF_erf,LSTM1_erf,LSTM2_erf,Date,EURUSD_vol,EDI_EURUSD_spread,EDI_G10_normalised,EDI_Global_normalised,EDI_EURUSD_spread_spotvma,EDI_EURUSD_spread_madiff,EDI_G10_normalised_spotvma,EDI_G10_normalised_madiff,EDI_Global_normalised_spotvma,EDI_Global_normalised_madiff,ESI_EURUSD_spread,ESI_G10_normalised,ESI_Global_normalised,ESI_EURUSD_spread_spotvma,ESI_EURUSD_spread_madiff,ESI_G10_normalised_spotvma,ESI_G10_normalised_madiff,ESI_Global_normalised_spotvma,ESI_Global_normalised_madiff
0,2000-02-29,0.9651250000000001,-0.007180711000000001,0.0,0.0,0.0,0.0,0.0,2000-02-29,0.0,-64.72316805499997,4.719181911000009,4.167483967999999,-7.926772859785395,-6.212834412038482,5.958228653449398,6.126594903775327,5.261679421641679,5.410362747816521,-16.582544115000005,26.923781725,22.024412196000007,5.848727717119566,8.890938977858752,14.276636984638827,15.809198310406963,11.678691385256352,12.932369739599688
1,2000-03-01,0.9690333333333334,0.009391678,0.00239772,0.0,0.001692124,0.0,0.0,2000-03-01,0.0,-65.12395386999998,4.865572249000008,4.296760481999999,-8.198054768526962,-6.380499003981086,6.021834130699647,6.190076327271864,5.317849073940634,5.466422848676939,-17.047360346000005,27.187190365000003,22.23988788600001,5.333082976103933,8.842261649177342,14.342585819167477,15.979676019151897,11.732639389754578,13.071825309575011
2,2000-03-02,0.9709499999999998,-0.008148154,-0.006683854999999999,0.0,0.00028428899999999974,-0.004147777,0.00546973,2000-03-02,0.0,-65.21450215999998,4.697744006000009,4.148552270999999,-8.160832666713281,-6.541921185404824,5.776430597281246,6.242164351643574,5.1011345445449106,5.512421500562672,-16.603261619000005,27.257586839000002,22.29747418500001,5.718235396160842,8.81193144438048,14.218920288795713,16.140747838632016,11.631477500317107,13.203586597041035
3,2000-03-03,0.9639083333333334,-0.007171469,0.0032903100000000003,0.0,-0.000496662,-0.009069793999999999,-0.006535307,2000-03-03,0.0,-63.23699096999998,3.268632925000009,2.886512023999999,-6.09768755493525,-6.613865061424349,4.299468975407532,6.2324865344110485,3.7968377443053365,5.5038750726209855,-15.380650890000005,26.515230528000004,21.69020580200001,6.858816862302922,8.830471197388484,13.301682711971544,16.260029325464824,10.88115131354881,13.301162214698834
4,2000-03-06,0.9597458333333336,-5.421010862427522e-19,-0.0025651870000000005,0.0,-0.0005809830000000002,0.00013340600000000128,-0.0014578790000000002,2000-03-06,0.0,-63.23699096999998,3.193588342000009,2.820240559999999,-5.852889069547999,-6.799824931883329,4.087053465672161,6.1949396710830795,3.6092547596083397,5.470717641155275,-15.380650890000005,26.465671927000002,21.64966547000001,6.6221110928638405,8.868886203607186,12.752037205928197,16.559282836801653,10.431525800282193,13.545960020124884
5,2000-03-07,0.9581791666666666,-0.00046949600000000024,0.000685915,1.200000000000009e-06,-0.00037397799999999996,-0.00011769199999999889,0.001365556,2000-03-07,0.0,-63.49272277099998,3.0329776880000088,2.678406161999999,-6.025820744015602,-6.862955985398074,3.8862332757533027,6.172402626985778,3.431911538416096,5.450815299691717,-15.131049878000006,26.623657565000002,21.77890217400001,6.790898352313202,8.886499799914496,12.748271937627578,16.646797397417007,10.42844570462666,13.617549396924591
6,2000-03-08,0.9586374999999997,0.0028657050000000005,0.000474649,-0.0004265140000000001,0.0012821170000000002,0.0028729869999999996,0.0008876139999999999,2000-03-08,0.0,-65.49981059899999,1.5913410990000088,1.405304705999999,-7.912781370329856,-7.002390248369231,2.433177832191899,6.091359547408148,2.148726153843957,5.379246595481935,-15.505964770000006,26.381195541,21.580561405000008,6.344077936217067,8.8860436418854,12.352377084297432,16.716292118641828,10.104592557355168,13.674398037264732
7,2000-03-09,0.9643499999999999,0.006224088,0.002291118,-0.0016027909999999995,0.00287625,0.0040533489999999995,-0.0023142919999999995,2000-03-09,0.0,-65.49981059899999,2.6085780880000087,2.303621175999999,-7.795800666090937,-7.1332034660410315,3.418746698441614,6.0540723564223535,3.0190766763165726,5.346318479263314,-15.505964770000006,25.949308977,21.22726602500001,6.27346039973781,8.883567429725804,11.778811406282333,16.761007402882754,9.635399669435504,13.710976399858845
8,2000-03-10,0.9651833333333331,-0.003418452,-0.002555077,0.0009653940000000001,-0.001743734,-0.0018681949999999998,0.002838834,2000-03-10,0.0,-65.49981059899999,3.1011422570000087,2.7386019239999992,-7.681851388869976,-7.2557992403724825,3.87032507755072,6.037160797296643,3.417863095437756,5.331383973105646,-15.505964770000006,26.055064284,21.31377684600001,6.204094725297247,8.879173474629575,11.74373942005544,16.803892093366894,9.606709795933604,13.746057285156423
9,2000-03-13,0.966529166666667,-5.1884999999999995e-05,-0.0049022480000000005,-0.0004688070000000003,-0.00015106700000000012,0.000615134,0.003265867,2000-03-13,0.0,-65.49981059899999,2.3071879730000084,2.0374652009999994,-7.357112575486893,-7.578046790705258,2.9726705209384376,5.9512591637603975,2.625149223801972,5.255524706327018,-15.505964770000006,25.162714518,20.583809590000012,6.00316736230491,8.855438947323126,10.463373923475647,16.861556899637396,8.559334737681827,13.79322872158981
