Date,CCY,logret,SVM,RF,LSTM,
27/02/2018 17:00,1.224,8.17027E-05,,,,
27/02/2018 18:00,1.2248,0.000653381,,,,
27/02/2018 19:00,1.2243,-0.000408313,,,,
27/02/2018 20:00,1.2236,-0.000571919,,,,
27/02/2018 21:00,1.2229,-0.000572246,,,,
27/02/2018 22:00,1.2233,0.000327038,,,,
27/02/2018 23:00,1.22355,0.000204344,,,,
28/02/2018 00:00,1.2226,-0.000776731,,,,
28/02/2018 01:00,1.2232,0.000490637,,,,
28/02/2018 02:00,1.223,-0.000163519,,,,
28/02/2018 03:00,1.2217,-0.001063525,,,,
28/02/2018 04:00,1.2224,0.000572808,,,,
28/02/2018 05:00,1.2225,8.18029E-05,,,,
28/02/2018 06:00,1.2228,0.000245369,,,,
28/02/2018 07:00,1.2236,0.000654022,,,,
28/02/2018 08:00,1.2224,-0.000981194,,,,
28/02/2018 09:00,1.2211,-0.001064048,,,,
28/02/2018 10:00,1.22205,0.000777685,,,,
28/02/2018 11:00,1.2221,4.0914E-05,,,,
28/02/2018 12:00,1.2218,-0.000245509,,,,
28/02/2018 13:00,1.2219,8.18431E-05,,,,
28/02/2018 14:00,1.2218,-8.18431E-05,,,,
28/02/2018 15:00,1.2208,-0.0008188,,,,
28/02/2018 16:00,1.2196,-0.000983445,,,,
28/02/2018 17:00,1.2211,0.001229156,,,,
28/02/2018 18:00,1.2209,-0.0001638,7.56949E-05,0.000123804,0,
28/02/2018 19:00,1.2211,0.0001638,-7.56949E-05,-0.000127972,0,
28/02/2018 20:00,1.2204,-0.000573418,0.000264986,0.000463784,0,
28/02/2018 21:00,1.2201,-0.000245851,0.000113612,0.000205252,0,
28/02/2018 22:00,1.21935,-0.000614893,0.000284152,0.0005269,0,
28/02/2018 23:00,1.2193,-4.10063E-05,1.89497E-05,3.547E-05,0,
01/03/2018 00:00,1.2192,-8.20176E-05,3.79018E-05,7.15795E-05,0,
01/03/2018 01:00,1.219,-0.000164055,7.58128E-05,0.000145897,0,
01/03/2018 02:00,1.2192,0.000164055,-7.58128E-05,-0.000145214,0,
01/03/2018 03:00,1.219,-0.000164055,7.58128E-05,0.000144832,0,
01/03/2018 04:00,1.2196,0.000492086,-0.000227401,-0.000430771,0,
01/03/2018 05:00,1.2194,-0.000164002,7.5788E-05,0.000142318,0,
01/03/2018 06:00,1.2193,-8.20109E-05,3.78986E-05,6.97886E-05,0,
01/03/2018 07:00,1.2206,0.001065618,-0.00049244,-8.93E-04,0,
01/03/2018 08:00,1.2201,-0.000409719,0.000189338,0.000337204,0,
01/03/2018 09:00,1.2197,-0.000327896,0.000151526,0.000264466,0,
01/03/2018 10:00,1.2182,-0.001230567,0.000568666,0.000959531,0,
01/03/2018 11:00,1.2188,0.000492409,-0.000227551,-0.000375351,-2.0517E-05,
01/03/2018 12:00,1.2185,-0.000246174,0.000113761,0.0001858,-1.02598E-05,
01/03/2018 13:00,1.2169,-0.001313953,0.0006072,9.80E-04,4.44883E-05,
01/03/2018 14:00,1.2188,0.001560127,-0.000720961,-0.001156449,-2.0517E-05,
01/03/2018 15:00,1.21735,-0.001190403,0.000550106,8.80E-04,2.90831E-05,
01/03/2018 16:00,1.2177,0.000287468,-0.000132844,-0.000212278,1.71053E-05,
01/03/2018 17:00,1.2216,0.003197641,-0.001477685,-0.0023573,-0.00011613,
01/03/2018 18:00,1.2212,-0.000327493,0.00015134,0.000241443,-0.000102484,
01/03/2018 19:00,1.2197,-0.001229055,0.000567967,9.02E-04,-5.12736E-05,
01/03/2018 20:00,1.2255,0.004743997,-0.002192282,-0.003479778,-0.00024894,
01/03/2018 21:00,1.2263,0.000652582,-0.000301569,-4.79E-04,-0.000276131,
01/03/2018 22:00,1.2267,0.000326131,-0.000150711,-0.000230085,-0.00028972,
01/03/2018 23:00,1.22745,0.00061121,-0.00028245,-0.000409734,-0.000315187,
02/03/2018 00:00,1.2271,-0.000285185,0.000131789,0.000183706,-0.000303304,
02/03/2018 01:00,1.2274,0.000244449,-0.000112964,-0.000150338,-0.00031349,
02/03/2018 02:00,1.2275,8.14697E-05,-3.76486E-05,-4.73087E-05,-0.000316885,
02/03/2018 03:00,1.2273,-0.000162946,7.53002E-05,8.88812E-05,-0.000310096,
02/03/2018 04:00,1.2281,0.000651625,-0.000301127,-0.000332034,-0.000337247,
02/03/2018 05:00,1.2279,-0.000162866,7.52634E-05,7.72E-05,-0.000330461,
02/03/2018 06:00,1.2279,0,0,0,-0.000330461,
02/03/2018 07:00,1.2263,-0.001303887,0.000602549,0.000541904,-0.000276132,
02/03/2018 08:00,1.2264,8.15428E-05,-3.76823E-05,-3.14428E-05,-0.000279528,
02/03/2018 09:00,1.2275,0.000896532,-0.000414303,-3.40E-04,-0.000316884,
02/03/2018 10:00,1.2276,8.14631E-05,-3.76455E-05,-2.98294E-05,-0.00032028,
02/03/2018 11:00,1.2291,0.00122115,-0.000564315,-4.14E-04,-0.000371161,
02/03/2018 12:00,1.2305,0.001138397,-0.000526073,-0.000342637,-0.000418594,
02/03/2018 13:00,1.2308,0.000243774,-0.000112652,-6.60E-05,-0.000428751,
02/03/2018 14:00,1.2309,8.12447E-05,-3.75446E-05,-1.8527E-05,-0.000432135,
02/03/2018 15:00,1.2314,0.000406124,-0.000187677,-7.19E-05,-0.000449056,
02/03/2018 16:00,1.2309,-0.000406124,0.000187677,4.78529E-05,-0.000432135,
02/03/2018 17:00,1.2315,0.000487329,-0.000225203,-2.34E-05,-0.00045244,
02/03/2018 18:00,1.2312,-0.000243635,0.000112588,-5.89483E-06,-0.000442289,
02/03/2018 19:00,1.2322,0.000811886,-0.000375186,7.60E-05,-0.000476117,
02/03/2018 20:00,1.2331,0.000730134,-0.000337408,0.000122314,-0.000506539,
02/03/2018 21:00,1.2331,0,0,0.00E+00,-0.000506539,
02/03/2018 22:00,1.232,-0.000892459,0.000412421,-0.000256727,-0.000469354,
02/03/2018 23:00,1.232,0,0,0,-0.000469354,
05/03/2018 00:00,1.2318,-0.000162351,7.50251E-05,-6.10709E-05,-0.000462589,
05/03/2018 01:00,1.2333,0.001216989,-0.000562392,0.000508851,-0.000513297,
05/03/2018 02:00,1.233,-0.000243279,0.000112424,-0.00011036,-0.00050316,
05/03/2018 03:00,1.2322,-0.000649035,0.00029993,-0.000314198,-0.000476117,
05/03/2018 04:00,1.2327,0.000405696,-0.000187479,0.000208462,-0.000493021,
05/03/2018 05:00,1.2322,-0.000405696,0.000187479,-2.21E-04,-0.000476117,
05/03/2018 06:00,1.2319,-0.000243497,0.000112524,-0.000140781,-0.000465971,
05/03/2018 07:00,1.2292,-0.002194142,0.001013951,-0.001338797,-0.000374549,
05/03/2018 08:00,1.2285,-0.000569638,0.00026324,-0.000365599,-0.000350814,
05/03/2018 09:00,1.2325,0.003250714,-0.001502211,0.002198815,-0.00048626,
05/03/2018 10:00,1.2322,-0.000243437,0.000112497,-0.000173071,-0.000476117,
05/03/2018 11:00,1.2314,-0.000649456,0.000300125,-0.000483186,-0.000449056,
05/03/2018 12:00,1.2302,-0.000974976,0.000450553,-0.000756961,-0.000408432,
05/03/2018 13:00,1.2298,-0.000325203,0.000150282,-0.000264992,-0.000394882,
05/03/2018 14:00,1.2309,0.000894055,-0.000413158,0.000755097,-0.00035763,
05/03/2018 15:00,1.2324,0.001217879,-0.000562803,0.001057055,-0.000306885,
05/03/2018 16:00,1.2328,0.000324517,-0.000149965,0.000287143,-0.000293363,
05/03/2018 17:00,1.233,0.000162219,-7.49643E-05,0.000144583,-0.000286604,
05/03/2018 18:00,1.2334,0.000324359,-0.000149892,0.000290769,-0.000273089,
05/03/2018 19:00,1.2325,-0.000729957,0.000337325,-0.000657809,-0.000303504,
05/03/2018 20:00,1.2326,8.11326E-05,-3.74928E-05,7.34093E-05,-0.000300125,
05/03/2018 21:00,1.2338,0.000973078,-0.000449676,0.000884781,-0.00025958,
05/03/2018 22:00,1.2336,-0.000162114,7.49156E-05,-0.000148137,-0.000266335,
05/03/2018 23:00,1.23345,-0.000121603,5.61947E-05,-0.000111485,-0.000271402,
06/03/2018 00:00,1.2337,0.000202663,-9.3654E-05,0.000186191,-0.000262957,
06/03/2018 01:00,1.235,0.001053186,-0.000486695,0.000969354,-0.000219075,
06/03/2018 02:00,1.2356,0.000485712,-0.000224456,0.000447818,-0.000198837,
06/03/2018 03:00,1.2351,-0.000404744,0.000187039,-0.000373998,-0.000215701,
06/03/2018 04:00,1.235,-8.09684E-05,3.74169E-05,-7.49595E-05,-0.000219076,
06/03/2018 05:00,1.2348,-0.000161956,7.48428E-05,-0.000150027,-0.000225824,
06/03/2018 06:00,1.2349,8.09815E-05,-3.74229E-05,7.51235E-05,-0.000222449,
06/03/2018 07:00,1.2339,-0.00081011,0.000374366,-7.52E-04,-0.000256204,
06/03/2018 08:00,1.2333,-0.000486381,0.000224765,-0.000452501,-0.00027647,
06/03/2018 09:00,1.2339,0.000486381,-0.000224765,0.000454316,-0.000256204,
06/03/2018 10:00,1.2345,0.000486145,-0.000224656,0.000456598,-0.000235948,
06/03/2018 11:00,1.2347,0.000161996,-7.4861E-05,0.000152634,-0.000229198,
06/03/2018 12:00,1.2397,0.004041389,-0.001867595,0.003818239,-6.08067E-05,
06/03/2018 13:00,1.2409,0.000967508,-0.000447102,0.000917191,-2.04938E-05,
06/03/2018 14:00,1.2407,-0.000161186,7.4487E-05,-0.000153263,-2.72099E-05,
06/03/2018 15:00,1.2396,-0.00088699,0.000409893,-0.000846032,-6.41678E-05,
06/03/2018 16:00,1.2398,0.000161329,-7.45531E-05,0.000154077,-5.74458E-05,
06/03/2018 17:00,1.2416,0.001450794,-0.000670437,0.001385222,3.00396E-06,
06/03/2018 18:00,1.2394,-0.001773479,0.000819555,-0.001688278,-0.000070891,
06/03/2018 19:00,1.2406,0.000967742,-4.47E-04,0.000917663,-3.05684E-05,
06/03/2018 20:00,1.2406,0,0,0,-3.05684E-05,
06/03/2018 21:00,1.2403,-0.000241848,1.12E-04,-0.000227187,-4.06454E-05,
06/03/2018 22:00,1.2404,8.06224E-05,-3.7257E-05,7.5326E-05,-3.72871E-05,
06/03/2018 23:00,1.24215,0.001409841,-6.52E-04,0.001309958,2.15E-05,
07/03/2018 00:00,1.24155,-0.00048315,0.000223272,-0.000446204,1.32504E-06,
07/03/2018 01:00,1.2418,0.000201341,-9.30E-05,0.000184496,9.71425E-06,
07/03/2018 02:00,1.2414,-0.000322165,0.000148878,-0.000292537,-3.70929E-06,
07/03/2018 03:00,1.2417,0.000241633,-1.12E-04,0.000217531,6.35875E-06,
07/03/2018 04:00,1.2419,0.000161057,-7.4427E-05,0.000143823,1.30695E-05,
07/03/2018 05:00,1.2416,-0.000241595,1.12E-04,-0.000214137,3.003E-06,
07/03/2018 06:00,1.2419,0.000241595,-0.000111645,0.000212954,1.30695E-05,
07/03/2018 07:00,1.2426,0.000563494,-2.60E-04,0.000494343,-1.04095E-05,
07/03/2018 08:00,1.2409,-0.001369036,0.000632655,-0.001194151,4.66337E-05,
07/03/2018 09:00,1.241,8.05834E-05,-3.72E-05,6.98422E-05,4.32754E-05,
07/03/2018 10:00,1.2423,0.001046994,-0.000483834,0.000902637,-3.49375E-07,
07/03/2018 11:00,1.2435,0.000965484,-4.46E-04,0.000815645,-4.05779E-05,
07/03/2018 12:00,1.2408,-0.002173651,0.001004482,-0.001772315,4.99909E-05,
07/03/2018 13:00,1.2418,0.000805607,-0.000372285,0.000635196,1.6424E-05,
07/03/2018 14:00,1.2415,-0.000241614,0.000111654,-0.000182918,2.64912E-05,
07/03/2018 15:00,1.241,-0.00040282,0.00018615,-0.000290375,4.32754E-05,
07/03/2018 16:00,1.2403,-0.00056422,0.000260736,-0.000382843,6.67845E-05,
07/03/2018 17:00,1.2397,-0.000483871,0.000223605,-0.00030281,8.69458E-05,
07/03/2018 18:00,1.2401,0.000322607,-0.000149082,0.000181887,7.35039E-05,
07/03/2018 19:00,1.2408,0.000564311,-0.000260778,0.000281115,4.99909E-05,
07/03/2018 20:00,1.2405,-0.000241809,0.000111744,-0.000104128,6.00663E-05,
07/03/2018 21:00,1.2413,0.000644693,-0.000297924,0.000236425,3.32041E-05,
07/03/2018 22:00,1.2411,-0.000161134,7.4463E-05,-4.85302E-05,0.000039918,
07/03/2018 23:00,1.2411,0,0.00E+00,0,0.000039918,
08/03/2018 00:00,1.2413,0.000161134,-7.4463E-05,2.80302E-05,3.32041E-05,
08/03/2018 01:00,1.2408,-0.000402885,0.00018618,-4.47614E-05,4.9991E-05,
08/03/2018 02:00,1.2401,-0.000564311,0.000260778,-2.91723E-05,7.35039E-05,
