,index,spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,LDN,NY,Asia,target,Date,CCY,logret
82290,99790,2.6605911832257347,0.7217793974059727,-0.41185431915048804,2.4277964899994937,-0.40333305677570086,-1.2703336062375141,0.0,1.0,0,-9.193805365157916,2015-12-09 22:00:00,1.1025,0.0005443658272696883
82291,99791,2.44147442516349,0.6908835506308166,-0.4256315800101808,2.4528148662816585,-0.39904330677081024,-1.2697640685345772,0.0,0.0,1,-10.268714665751393,2015-12-09 23:00:00,1.10175,-0.0006805035989047165
82292,99792,2.330431802408229,0.6790679017550306,-0.43015721231951426,2.4650128064132777,-0.3948281410271227,-1.2692001026281015,0.0,0.0,1,-10.377757437429585,2015-12-10 00:00:00,1.1015,-0.00022693747969863837
82293,99793,2.329134055802299,0.688175396394349,-0.4245111918402711,2.4766954996302095,-0.3905967922805306,-1.2686307129925947,0.0,0.0,1,-11.170853331415731,2015-12-10 01:00:00,1.1018,0.000272318796218321
82294,99794,2.067913609744095,0.6441353983135149,-0.4447485809848552,2.462266902489592,-0.3865788442770596,-1.2680838693996843,0.0,0.0,1,-11.646383119130423,2015-12-10 02:00:00,1.1007,-0.0009988650092699893
82295,99795,2.111010596484891,0.6590655522730324,-0.4363187510948688,2.4547421468510064,-0.3825184445458266,-1.2675285735155148,0.0,0.0,1,-11.963947447853151,2015-12-10 03:00:00,1.10115,0.00040874719555404615
82296,99796,1.9649236436280666,0.6360085466183155,-0.4463804437878197,2.434594364044146,-0.3785798652437583,-1.266984811667502,0.0,0.0,1,-11.206682467076112,2015-12-10 04:00:00,1.1006,-0.0004996025992416718
82297,99797,1.929553289334678,0.6339030346699305,-0.4462684008643651,2.414153871888374,-0.37467192915377423,-1.2664415784610223,0.0,0.0,1,-10.557338592742038,2015-12-10 05:00:00,1.1006,0.0
82298,99798,1.8024855771782744,0.6128408210920165,-0.45539863160176786,2.3843413987143007,-0.37087633162653755,-1.2659088567419616,0.0,0.0,1,-9.25183108256094,2015-12-10 06:00:00,1.1001,-0.00045440088026835185
82299,99799,1.6171456754995879,0.5785726628611331,-0.47099227724432474,2.340437071405948,-0.36724947985977313,-1.2653936140602966,1.0,0.0,0,-10.180853062183578,2015-12-10 07:00:00,1.09925,-0.0007729556844705415
