Accuracy_Score,Info_Ratio,data_size,ntree,run_time,test_date_st,train_date_st
0.616,0.8292761568231464,1000,5,0 days 00:00:00.017924000,2002-11-19 01:00:00,2002-10-18 04:00:00
0.616,0.8292761568231464,1000,5,0 days 00:00:00.022836000,2002-11-19 01:00:00,2002-10-18 04:00:00
0.618,0.8349527867577231,1000,5,0 days 00:00:00.017991000,2002-11-19 02:00:00,2002-10-18 04:00:00
0.618,0.8349527867577231,1000,5,0 days 00:00:00.020943000,2002-11-19 02:00:00,2002-10-18 04:00:00
0.618,0.8356122990054793,1000,5,0 days 00:00:00.017888000,2002-11-19 03:00:00,2002-10-18 04:00:00
0.618,0.8356122990054793,1000,5,0 days 00:00:00.024935000,2002-11-19 03:00:00,2002-10-18 04:00:00
0.614,0.8096932798337774,1000,5,0 days 00:00:00.017184000,2002-11-19 04:00:00,2002-10-18 04:00:00
0.614,0.8096932798337774,1000,5,0 days 00:00:00.020939000,2002-11-19 04:00:00,2002-10-18 04:00:00
0.616,0.8385511269155949,1000,5,0 days 00:00:00.018989000,2002-11-19 05:00:00,2002-10-18 04:00:00
0.616,0.8385511269155949,1000,5,0 days 00:00:00.019485000,2002-11-19 05:00:00,2002-10-18 04:00:00
0.614,0.8350747198131903,1000,5,0 days 00:00:00.022114000,2002-11-19 06:00:00,2002-10-18 04:00:00
0.614,0.8350747198131903,1000,5,0 days 00:00:00.019436000,2002-11-19 06:00:00,2002-10-18 04:00:00
0.614,0.8146864111965539,1000,5,0 days 00:00:00.018647000,2002-11-19 07:00:00,2002-10-18 04:00:00
0.614,0.8146864111965539,1000,5,0 days 00:00:00.025987000,2002-11-19 07:00:00,2002-10-18 04:00:00
0.614,0.8156831580619187,1000,5,0 days 00:00:00.017986000,2002-11-19 08:00:00,2002-10-18 04:00:00
0.614,0.8156831580619187,1000,5,0 days 00:00:00.027873000,2002-11-19 08:00:00,2002-10-18 04:00:00
0.618,0.8553616214330702,1000,5,0 days 00:00:00.017841000,2002-11-19 09:00:00,2002-10-18 04:00:00
0.618,0.8553616214330702,1000,5,0 days 00:00:00.021940000,2002-11-19 09:00:00,2002-10-18 04:00:00
0.616,0.8451218907549756,1000,5,0 days 00:00:00.016833000,2002-11-19 10:00:00,2002-10-18 04:00:00
0.616,0.8451218907549756,1000,5,0 days 00:00:00.023899000,2002-11-19 10:00:00,2002-10-18 04:00:00
0.62,0.8761759246413179,1000,5,0 days 00:00:00.017908000,2002-11-19 11:00:00,2002-10-18 04:00:00
0.62,0.8761759246413179,1000,5,0 days 00:00:00.020944000,2002-11-19 11:00:00,2002-10-18 04:00:00
0.62,0.8948791805164785,1000,5,0 days 00:00:00.022999000,2002-11-19 12:00:00,2002-10-18 04:00:00
0.62,0.8948791805164785,1000,5,0 days 00:00:00.030919000,2002-11-19 12:00:00,2002-10-18 04:00:00
0.616,0.9528567657919504,1000,5,0 days 00:00:00.026840000,2002-11-19 13:00:00,2002-10-18 04:00:00
0.616,0.9528567657919504,1000,5,0 days 00:00:00.025030000,2002-11-19 13:00:00,2002-10-18 04:00:00
0.61,0.8718703082240404,1000,5,0 days 00:00:00.019840000,2002-11-19 14:00:00,2002-10-18 04:00:00
0.61,0.8718703082240404,1000,5,0 days 00:00:00.021887000,2002-11-19 14:00:00,2002-10-18 04:00:00
0.608,0.8653240686753646,1000,5,0 days 00:00:00.017953000,2002-11-19 15:00:00,2002-10-18 04:00:00
0.608,0.8653240686753646,1000,5,0 days 00:00:00.022413000,2002-11-19 15:00:00,2002-10-18 04:00:00
