spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,target,Date,CCY,logret,Predictions,erf_signal,scaled_signal,scaled_signal_erf,strat_returns,strat_returns_sum,strat_returns_erf,strat_returns_sum_erf
0.9943254900212918,1.0766246969841369,1.6509256087723991,0.21241515930970672,1.1008296204155399,2.130582660612321,-0.01121759327471522,2017-11-30 15:00:00,1.1904,0.003787405108077846,1.0,0.4621171572600098,,,,,,
1.2929359885601466,1.1523561495681995,1.69175677021601,0.3309646483962299,1.1020914513059932,2.1306168606504974,-0.009370715651023126,2017-11-30 16:00:00,1.1923,0.0015948297332588626,1.0,0.4621171572600098,,,,,,
0.8031967589615121,1.0612612630848455,1.6434176600452917,0.3868434647456504,1.1029582084006566,2.130587024405236,-0.008020643276145878,2017-11-30 17:00:00,1.1901,-0.001846877623692095,1.0,0.4621171572600098,,,,,,
0.5927887573129171,1.0232719572874256,1.6233815203992559,0.4153468060703413,1.1036583793640105,2.130530640384984,-0.00978497895751873,2017-11-30 18:00:00,1.1892,-0.0007565250644514522,1.0,0.4621171572600098,,,,,,
0.9635510881104435,1.1073246375302743,1.6685862916025775,0.47757811558773905,1.1047130242841487,2.1305339184838767,-0.010561544669654144,2017-11-30 19:00:00,1.1913,0.0017643356813728528,1.0,0.4621171572600098,,,,,,
0.6333991060580352,1.0447998851229603,1.6354811016512896,0.49990101269994286,1.10549545826409,2.130493350616458,-0.01072781332017883,2017-11-30 20:00:00,1.1898,-0.0012599220515102374,1.0,0.4621171572600098,,,,,,
0.6841417148980128,1.059698216658602,1.6437130045303854,0.5249558163082587,1.1063371803514515,2.130463589256457,-0.011150647719509604,2017-11-30 21:00:00,1.1902,0.00033613445694635763,1.0,0.4621171572600098,,,,,,
0.6949076777446477,1.0664226947318518,1.6475894289877782,0.5484655022545855,1.1072030279328025,2.13043886717335,-0.00959209568729441,2017-11-30 22:00:00,1.1904,0.00016802486807571126,1.0,0.4621171572600098,,,,,,
0.39441931561135407,1.0060518319763652,1.6155913409946234,0.5396617223155735,1.1078068622563468,2.1303718147496005,-0.010561544669654144,2017-11-30 23:00:00,1.18895,-0.0012188204169211456,1.0,0.4621171572600098,,,,,,
0.5471116788818169,1.039378777286214,1.633626995718234,0.5474214364408524,1.1085495519895172,2.1303285416545736,-0.011825460890333567,2017-12-01 00:00:00,1.1898,0.000714661091899077,1.0,0.4621171572600098,,,,,,
0.737508316962798,1.082770035579338,1.657081456100808,0.5735308513128696,1.1094732443412434,2.1303161638142987,-0.012334362675460092,2017-12-01 01:00:00,1.1909,0.0009240980201449256,1.0,0.4621171572600098,,,,,,
0.7279384719125441,1.0853695965827397,1.6587758910325219,0.5959483516580193,1.1104030490825383,2.1303059150753603,-0.011827458987246159,2017-12-01 02:00:00,1.1909999999999998,8.396658134976476e-05,1.0,0.4621171572600098,,,,,,
0.6443937668393717,1.0716962108949197,1.651772007611232,0.607768247669185,1.1112695553509873,2.130286314726476,-0.012162312082571458,2017-12-01 03:00:00,1.1907,-0.000251920898170499,1.0,0.4621171572600098,,,,,,
0.7177394212277853,1.0906007641930568,1.6621660113720182,0.6258546728517408,1.1122120116954948,2.1302803332116276,-0.012588346860999744,2017-12-01 04:00:00,1.1912,0.00041983291266980966,1.0,0.4621171572600098,,,,,,
0.6738506975240481,1.0850429825165409,1.6595037221122895,0.6378110016317301,1.1131256965744059,2.1302707274658434,-0.013759555283111458,2017-12-01 05:00:00,1.1911,-8.39524829439886e-05,1.0,0.4621171572600098,,,,,,
0.9730692261952166,1.1527209483832142,1.6959786344992354,0.678503262462625,1.1143230601570502,2.130309128200949,-0.01423676962035772,2017-12-01 06:00:00,1.1928,0.0014262345636734395,1.0,0.4621171572600098,,,,,,
0.7827810004683396,1.1184971637750958,1.6780677854715638,0.6958727695620932,1.1153680142704498,2.1303237302685565,-0.013901730229477771,2017-12-01 07:00:00,1.192,-0.0006709158252337089,1.0,0.4621171572600098,,,,,,
0.6715125601110354,1.098616979754435,1.6677802628331584,0.7005476835039323,1.1163225562382164,2.1303246257894544,-0.016396580996822008,2017-12-01 08:00:00,1.19155,-0.0003775880559218903,1.0,0.4621171572600098,,,,,,
0.9073581139965684,1.152030947046659,1.6966359710942824,0.7285535007125742,1.1174997715637687,2.1303634520378347,-0.014044224067755823,2017-12-01 09:00:00,1.1929,0.0011323367185270827,1.0,0.4621171572600098,,,,,,
0.3835017880591507,1.0445741645643114,1.639591294175689,0.7015615748994065,1.1182123308714491,2.1303268886994458,-0.012271131004247843,2017-12-01 10:00:00,1.1903,-0.0021819411140661933,1.0,0.4621171572600098,,,,,,
0.11869799754972339,0.9862715424884627,1.608682607529381,0.6517832108757142,1.1186724191880193,2.1302495119708187,-0.013790988064160015,2017-12-01 11:00:00,1.1889,-0.0011768663093349454,1.0,0.4621171572600098,,,,,,
0.35965928759251875,1.0339445338224633,1.6343235814469594,0.6321294080605864,1.1193334351856854,2.1302059325089875,-0.013204864295170704,2017-12-01 12:00:00,1.1901,0.0010088273238950396,1.0,0.4621171572600098,,,,,,
0.187825911268587,0.9960165259562861,1.6142894129426506,0.5979127917296377,1.1198291515001029,2.130135892866895,-0.009055196643272506,2017-12-01 13:00:00,1.1892,-0.0007565250644514522,1.0,0.4621171572600098,,,,,,
-0.21985205829118834,0.9052987655130232,1.5660112889547613,0.5273167143905149,1.11993529554006,2.1300022100774316,-0.008849427921614889,2017-12-01 14:00:00,1.187,-0.001851696514274581,1.0,0.4621171572600098,,,,,,
