,spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,LDN,NY,Asia,target,Date,CCY,logret
282,1.2303283071053315,1.2751703577673321,1.696238861957531,1.2158057130979811,1.1637122614435367,2.2969939122134195,0.0,1.0,0,0.002152206841911972,2002-11-04 22:00:00,0.9979,0.0008020050555196287
283,1.1947605163960033,1.2728397978400294,1.6954741362054417,1.2347977162231116,1.1661644876430117,2.297185399668494,0.0,0.0,1,0.0013526039684623283,2002-11-04 23:00:00,0.9979,0.0
284,1.06548686141693,1.2471966685110334,1.6797948987252618,1.238893904370821,1.1684680895573134,2.297349977814716,0.0,0.0,1,0.0013526039684623283,2002-11-05 00:00:00,0.9974,-0.0005011777782447293
285,1.0414060087849835,1.2449656254488717,1.6790455395779351,1.2402411162286313,1.1707464386972806,2.297512892834141,0.0,0.0,1,0.0015025546250713596,2002-11-05 01:00:00,0.9974,0.0
286,1.0479126767505704,1.2497445808240557,1.6827724017236918,1.2421814607366182,1.173036375825587,2.2976817043633435,0.0,0.0,1,0.0015025546250713596,2002-11-05 02:00:00,0.99755,0.00015037970904811665
287,1.0250092308549204,1.2475154574768454,1.6820220048584555,1.2417438461141581,1.1753011691919553,2.2978488459023487,0.0,0.0,1,-5.006132513372236e-05,2002-11-05 03:00:00,0.99755,0.0
288,1.2453599161295283,1.3036003218661885,1.7185487097403833,1.2632103268617134,1.1778461390211135,2.2980772370435316,0.0,0.0,1,-5.006132513372236e-05,2002-11-05 04:00:00,0.9988,0.001252285584547934
289,1.210534719774905,1.3012055368902984,1.7177653332942422,1.278844770728296,1.1803636705801515,2.298303813446224,0.0,0.0,1,-0.0003507101917256338,2002-11-05 05:00:00,0.9988,0.0
290,1.0528094950518427,1.2685086408983979,1.6976023545792156,1.2772323836497548,1.1826953496224486,2.2984958727747733,0.0,0.0,1,-0.0003507101917256338,2002-11-05 06:00:00,0.99815,-0.0006509927869555252
291,1.0308691014928009,1.2662368055370503,1.6968385837788575,1.2738045240060327,1.185001459890669,2.2986862050983916,1.0,0.0,0,-0.0032587199519192728,2002-11-05 07:00:00,0.99815,0.0
292,1.1649086006327074,1.3012838414072478,1.7199245193911732,1.284156891819167,1.1874774542790811,2.298915056825846,1.0,0.0,0,-0.0032587199519192728,2002-11-05 08:00:00,0.99895,0.0008011617272952749
293,1.1359432200652972,1.298914585803399,1.7191401793516299,1.2905869526099598,1.1899265694729366,2.2991420919760395,1.0,0.0,0,-0.006005723471644543,2002-11-05 09:00:00,0.99895,0.0
294,1.7086894349961277,1.4411074311494931,1.8107541934840001,1.3529466370640257,1.193105517628376,2.2995232081053256,1.0,0.0,0,-0.006005723471644543,2002-11-05 10:00:00,1.00205,0.003098453253479545
295,1.6474829350885476,1.4382921467634089,1.8098841666808967,1.4021606656610994,1.1962513011042284,2.2999021377546125,1.0,0.0,0,-0.006207779635070385,2002-11-05 11:00:00,1.00205,0.0
296,1.5535589528357063,1.4261673051389467,1.8030551338598806,1.4366297430587012,1.1993153949596875,2.3002688311023576,1.0,0.0,0,-0.006207779635070385,2002-11-05 12:00:00,1.00185,-0.00019961075968289254
297,1.5057532993230773,1.4234125485370441,1.802192697794935,1.4626948196364045,1.202347309657379,2.3006333720746097,0.5,0.5,0,-0.005904740935171343,2002-11-05 13:00:00,1.00185,0.0
298,1.5200661960087292,1.4346579073702088,1.8102694684934135,1.487508911230006,1.2054205100345896,2.3010108430391676,0.5,0.5,0,-0.005904740935171343,2002-11-05 14:00:00,1.00215,0.00029940119984153284
299,1.476415184499313,1.4318866407089483,1.8094003331752402,1.5055231736438226,1.2084614144568304,2.301386134604784,0.5,0.5,0,-0.0025535124652300966,2002-11-05 15:00:00,1.00215,0.0
300,1.0011883156795738,1.3242455347180666,1.7415028678177706,1.474960573816871,1.2109213318805596,2.3016461932054693,0.5,0.5,0,-0.0025535124652300966,2002-11-05 16:00:00,0.9999,-0.002247697057792405
301,0.9902567068884685,1.3218413583660598,1.7406951389411052,1.4473183961606504,1.213354344827427,2.30190434671341,0.5,0.5,0,-0.0031556038106953293,2002-11-05 17:00:00,0.9999,0.0
302,0.9594511545652502,1.3147884234883374,1.7369098181106026,1.420223113471064,1.2157362844803519,2.302155576651404,0.0,1.0,0,-0.0031556038106953293,2002-11-05 18:00:00,0.9998,-0.00010001500233369736
303,0.9487550887604234,1.3124238707205451,1.7361065566803735,1.3955323963322006,1.2180919867110362,2.302404922521271,0.0,1.0,0,0.0034457823302517835,2002-11-05 19:00:00,0.9998,0.0
304,0.8796303538638208,1.2960892482633042,1.7263703157248769,1.3671418592088111,1.220348494282748,2.302637324455005,0.0,1.0,0,0.0034457823302517835,2002-11-05 20:00:00,0.9995,-0.0003001050390151981
305,0.8717132152111903,1.2937939180865576,1.725577061509073,1.3414710811626471,1.222579855273295,2.302867887647002,0.0,1.0,0,0.00344389050421407,2002-11-05 21:00:00,0.9995,0.0
306,0.9695329071866982,1.3171419768401247,1.7411605481158594,1.3285810212454412,1.2249204284355124,2.3031242260240523,0.0,1.0,0,0.00344389050421407,2002-11-05 22:00:00,1.00005,0.0005501237917240135
307,0.954112029958907,1.3147867575493006,1.740353630469716,1.3157608860211376,1.2272350807921995,2.30337866718093,0.0,0.0,1,0.006785437400127362,2002-11-05 23:00:00,1.00005,0.0
308,0.6877030985043971,1.251863894476208,1.7008472388489653,1.278215485298242,1.229206982083659,2.3035659756411833,0.0,0.0,1,0.006785437400127362,2002-11-06 00:00:00,0.99875,-0.001300780651694373
309,0.688205248044371,1.2497282101936034,1.7000780107520468,1.245140261486022,1.2311562217537806,2.3037515541187528,0.0,0.0,1,0.005490131578027349,2002-11-06 01:00:00,0.99875,0.0
310,0.7452655343217347,1.261582002805029,1.7082390071019142,1.2215315903996007,1.2331561493821683,2.303950457608789,0.0,0.0,1,0.005490131578027349,2002-11-06 02:00:00,0.99905,0.00030033036565714786
311,0.7396193311483115,1.259422190451458,1.707463076844173,1.2000475620070383,1.2351331438423034,2.304147602720291,0.0,0.0,1,0.005939771387784075,2002-11-06 03:00:00,0.99905,0.0
312,0.6753927279566211,1.2432951139184019,1.6977599498797709,1.1746280904855881,1.2370142462684102,2.304327947126317,0.0,0.0,1,0.005939771387784075,2002-11-06 04:00:00,0.99875,-0.00030033036565714786
313,0.6722247285446951,1.2412016078116062,1.69699386506526,1.1517281566838513,1.238873452533718,2.3045065779663747,0.0,0.0,1,0.006990940286997136,2002-11-06 05:00:00,0.99875,0.0
314,0.4845582352270878,1.1948578356086965,1.667960982661917,1.1128194205183062,1.2404793193946368,2.3046358662430597,0.0,0.0,1,0.006990940286997136,2002-11-06 06:00:00,0.9978,-0.0009516416535474367
315,0.49103336893875044,1.192927123374132,1.667222446316552,1.0788940117024926,1.2420657229474172,2.3047635647645284,1.0,0.0,0,0.0071552180380171915,2002-11-06 07:00:00,0.9978,0.0
316,0.08951666655423214,1.0931716671869827,1.6040073121331648,1.009069313592615,1.2431208534476599,2.304784414369819,1.0,0.0,0,0.0071552180380171915,2002-11-06 08:00:00,0.9957,-0.002106848032898364
317,0.11701109811525084,1.0915726309576808,1.603326874336749,0.9498108430315623,1.2441614130666077,2.304803937578309,1.0,0.0,0,0.005007270989915507,2002-11-06 09:00:00,0.9957,0.0
318,0.2079477783113245,1.1062855896554125,1.6130585632215753,0.9060455279557826,1.2452728476347212,2.3048396763506176,1.0,0.0,0,0.005007270989915507,2002-11-06 10:00:00,0.99605,0.00035144973375427456
319,0.22352659121421628,1.1046485655913736,1.6123700736544466,0.8684567091333544,1.2463691982312584,2.3048740527422136,1.0,0.0,0,0.006157870718832265,2002-11-06 11:00:00,0.99605,0.0
