spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,target,Date,CCY,logret,Predictions,erf_signal,scaled_signal,scaled_signal_erf,strat_returns,strat_returns_sum,strat_returns_erf,strat_returns_sum_erf
-1.8729844126463093,-1.5958920919693682,-1.4774943265765368,-1.0123506945312646,-0.318285514796809,0.8570167434137659,-5.009815531306896,2018-02-27 17:00:00,1.224,8.170268397861279e-05,3.3345560636025704,0.9311908952827084,,,,,,
-1.626336038744914,-1.5074926857858537,-1.3989789719582777,-1.09344589875516,-0.3324650320049462,0.8497096484573871,-4.1114463622807955,2018-02-27 18:00:00,1.2248,0.0006533812712027076,3.1982995139076564,0.9215404694650857,,,,,,
-1.6628684277132024,-1.5548322691759526,-1.4454099447861717,-1.1694041386715253,-0.34718395884887693,0.8421635836518366,-4.113494779529136,2018-02-27 19:00:00,1.2243,-0.0004083132636044373,2.9925062753240788,0.904468869817461,,,,,,
-1.7399681437880925,-1.6225048148079495,-1.5107238512552978,-1.2451971337337495,-0.36269338827030806,0.8342752381246616,-3.6400914144828413,2018-02-27 20:00:00,1.2236,-0.0005719188031212408,2.740213851515178,0.8787165594625796,,,,,,
-1.8143191643171996,-1.6895559881242952,-1.5756434817467004,-1.3206482104422335,-0.3789870535276829,0.8260452704030838,-5.120663162716195,2018-02-27 21:00:00,1.2229,-0.0005722460814241438,2.4549406132596543,0.8418439968368494,,,,,,
-1.6647125488356713,-1.642142543178953,-1.5350317131849076,-1.372254864283781,-0.39465119131902043,0.8180456530097828,-5.542053969842785,2018-02-27 22:00:00,1.2233,0.00032703785754645276,2.3033064323605412,0.8183010126505064,,,,,,
-1.5575382361235324,-1.610662762522059,-1.508983428394994,-1.4073347100939537,-0.40988251276587145,0.8101975279697621,-4.54075384899693,2018-02-27 23:00:00,1.22355,0.0002043443618283125,2.1720783548667555,0.7954279327874747,,,,,,
-1.7000468357557879,-1.7034200476321744,-1.5976337679881722,-1.454181866063786,-0.4262226516807776,0.8018759428377928,-5.736883572037584,2018-02-28 00:00:00,1.2226,-0.0007767308200740675,1.8994462227184374,0.739657672282285,,,,,,
-1.5232632565770963,-1.6353813366237777,-1.5378878757549987,-1.4777447369494436,-0.4416733984435708,0.7938888363982892,-5.162613974133632,2018-02-28 01:00:00,1.2232,0.0004906370202276411,1.8249982499990873,0.7223295944454695,,,,,,
-1.5198358721998269,-1.6504286643920514,-1.5547597323689244,-1.4990585488335064,-0.45726912149217114,0.7858182205479743,-3.8868166694311164,2018-02-28 02:00:00,1.223,-0.0001635189276803506,1.6790378823998993,0.6855541777018661,,,,,,
-1.7374147294666362,-1.7785734936771245,-1.6762756827487526,-1.5416892623280354,-0.4744229477240407,0.7770903301100283,-4.056238825974421,2018-02-28 03:00:00,1.2217,-0.001063525277158084,1.3690206710400288,0.5944437643217932,,,,,,
-1.5415103231634417,-1.6998277289780699,-1.6066887868538657,-1.55949128968571,-0.4905477248306405,0.768750373328577,-4.499992605365433,2018-02-28 04:00:00,1.2224,0.0005728080022418258,1.3165332344131204,0.5772086976660045,,,,,,
-1.4795278226162127,-1.6834546437395286,-1.5945930316041363,-1.5695300308038072,-0.5064242518272942,0.760483686823496,-5.124937159277673,2018-02-28 05:00:00,1.2225,8.180293677104157e-05,1.227935818476588,0.5469141800767714,,,,,,
-1.3821315827102265,-1.6467013525429792,-1.563561187472501,-1.5689673717834542,-0.5217961187379586,0.7523943865960171,-4.163894899268096,2018-02-28 06:00:00,1.2228,0.0002453686676524846,1.1938098322522255,0.5348435142538044,,,,,,
-1.19147649763782,-1.5589908967039317,-1.4852151837966339,-1.5492070199750199,-0.5360213932132518,0.744743460944334,-3.34239097260962,2018-02-28 07:00:00,1.2236,0.0006540222600688872,1.2932052692625764,0.569378440251664,,,,,,
-1.4116121036678968,-1.6769829621629748,-1.5971828259269791,-1.5557399105263625,-0.5516934568068471,0.7364820831123586,-2.179718069492018,2018-02-28 08:00:00,1.2224,-0.0009811938644924132,1.032760795631716,0.4749015669100787,,,,,,
-1.6364950720396296,-1.8040574743222906,-1.7178779322147668,-1.585889828401023,-0.5689296704550569,0.7275588646326594,-5.752623032187998,2018-02-28 09:00:00,1.2211,-0.0010640475732797694,0.7453460879046192,0.35632758109253326,,,,,,
-1.3996164113134395,-1.7000048371541954,-1.6246346121938722,-1.588189607939341,-0.584803644204242,0.7191555692594112,-4.809044855280023,2018-02-28 10:00:00,1.22205,0.0007776845857843108,0.7722882618851268,0.3680313654688765,,,,,,
-1.357594618991486,-1.6886723276397981,-1.6170543153100396,-1.5864687285590668,-0.6004915286519966,0.7107981145708278,-4.810168696782639,2018-02-28 11:00:00,1.2221,4.091401919428805e-05,0.7147259313888952,0.3428891513579293,,,,,,
-1.3878599954292397,-1.713260065459869,-1.6427554004603149,-1.5887768913683866,-0.6164491103521462,0.7023021154424088,-6.707471159496899,2018-02-28 12:00:00,1.2218,-0.0002455092282882543,0.5989039325835541,0.2908110065181353,,,,,,
-1.3368545547563442,-1.6970133151345699,-1.630628442768273,-1.586043360445519,-0.6321550659509482,0.6938780260339495,-3.481070570719486,2018-02-28 13:00:00,1.2219,8.184310681000341e-05,0.5513274307122766,0.26888702041983037,,,,,,
-1.3283654038409027,-1.7009144470890196,-1.6371022927024268,-1.5833111198200542,-0.6478687804192707,0.6854200883934632,-3.8959615968821235,2018-02-28 14:00:00,1.2218,-8.184310681000341e-05,0.476220183438664,0.23370985954852075,,,,,,
