index,spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,LDN,NY,Asia,target,Date,CCY,logret,Predictions,erf_signal,scaled_signal,scaled_signal_erf,strat_returns,strat_returns_sum,strat_returns_erf,strat_returns_sum_erf
90005,-0.31324555517824704,0.005945933791547585,0.6717527780189048,-0.5792383891238119,0.5811556926602239,1.363007687178529,0.0,0.0,1,1.4765836787819344,2014-05-19 05:00:00,1.37045,-0.000255357958523994,0.3929942499137122,0.1940065914473712,,,,,,
90006,-0.3460469695633042,-0.0023188393831494484,0.6660350501131619,-0.5730400276713619,0.5795286802388426,1.362688604224962,0.0,0.0,1,0.33098202333316556,2014-05-19 06:00:00,1.37025,-0.00014594811570400879,0.32553479648378253,0.1613450581416902,,,,,,
90007,-0.21758073734091937,0.030710149462887915,0.6864640464739112,-0.5546552919174295,0.5780756092807899,1.3623967731401418,1.0,0.0,0,-2.6841085853751525,2014-05-19 07:00:00,1.37095,0.0005107252409277674,0.2037950956609967,0.10154633527198942,,,,,,
90008,-0.2114078572810722,0.033824676513184056,0.6879955966497334,-0.5376395521133622,0.5766454104084093,1.3621073864618403,1.0,0.0,0,-4.132023293373163,2014-05-19 08:00:00,1.371,3.647039516085915e-05,0.14470679012760787,0.07222740188098431,,,,,,
90009,-0.08134651902487514,0.06902305773520738,0.7098562036855924,-0.5095155057768507,0.5753989138577207,1.3618470872602244,1.0,0.0,0,-4.329103743748244,2014-05-19 09:00:00,1.37175,0.0005468963767704116,0.08646285612885606,0.04320451563252248,,,,,,
90010,-0.24987188742681096,0.028444316466045054,0.6837691981273221,-0.501191045141443,0.5739548851327926,1.3615529801816209,1.0,0.0,0,-3.8075877066652932,2014-05-19 10:00:00,1.37085,-0.0006563115527645214,0.2778975263585498,0.13806139865136413,,,,,,
90011,-0.045216245529068146,0.08199797337802975,0.717253931143627,-0.4732871523158629,0.5727867370805605,1.3613032087301495,1.0,0.0,0,-3.2180752086318734,2014-05-19 11:00:00,1.372,0.0008385438995101581,-0.024511815576816635,-0.012255294183102006,,,,,,
90012,-0.1352227923601545,0.06199252291399394,0.7042152395481474,-0.4573266363947946,0.5715237802561351,1.3610366963228144,1.0,0.0,0,-2.925040616915571,2014-05-19 12:00:00,1.37155,-0.0003280421381314791,-0.18207327822568553,-0.09078597618068818,,,,,,
90013,-0.09516731605823604,0.07414934793201262,0.7115232426956866,-0.43897688612385477,0.5703279306026063,1.3607801433165603,0.5,0.5,0,-4.192519795975712,2014-05-19 13:00:00,1.3718,0.00018225891752199352,-0.11831023320234547,-0.05908621199907438,,,,,,
90014,-0.003942786421073348,0.1000244882460186,0.727542666786568,-0.4134273881783319,0.5692676507232663,1.360544963804273,0.5,0.5,0,-3.6719044393900218,2014-05-19 14:00:00,1.37235,0.0004008527284329322,-0.3289362994251623,-0.16300107924079477,,,,,,
90015,-0.0853981710448648,0.0822480540383247,0.7159474750954248,-0.39863294259195253,0.5681231271569795,1.3602949156736623,0.5,0.5,0,-4.193919689711609,2014-05-19 15:00:00,1.37195,-0.0002915133205790843,-0.13369896446284824,-0.06675007973784874,,,,,,
90016,-0.10803355391982655,0.07828468552109452,0.7130783821781177,-0.3874768902357524,0.566964152564544,1.3600414624728077,0.5,0.5,0,-2.8511493941808173,2014-05-19 16:00:00,1.37185,-7.289161020795909e-05,-0.22454621912445247,-0.11180373248619357,,,,,,
90017,-0.14647371985130148,0.06974392822622207,0.7073040739803272,-0.38109506460359643,0.5657678310659491,1.3597807948686012,0.5,0.5,0,-3.485869270561516,2014-05-19 17:00:00,1.37165,-0.00014579916191304054,-0.3148251206178754,-0.15612515859051324,,,,,,
90018,-0.2616983764036132,0.040602346819184905,0.6884712876070461,-0.3865452212652185,0.5644310210471203,1.3594958116951081,0.0,1.0,0,-2.833899924542792,2014-05-19 18:00:00,1.371,-0.00047399413863941087,-0.19242599883925754,-0.09591721523283447,,,,,,
90019,-0.21953433979738815,0.050538740003001154,0.6943577938965169,-0.3868427755998757,0.563150645311033,1.3592189763869393,0.0,1.0,0,-2.572214232628299,2014-05-19 19:00:00,1.3712,0.00014586828120094486,-0.23509633564056728,-0.11700973348532795,,,,,,
90020,-0.1978621940764123,0.05584393467544404,0.6973217487636826,-0.38464794391601753,0.5619031093338369,1.3589464281653565,0.0,1.0,0,-1.4106023695954566,2014-05-19 20:00:00,1.3713,7.292616229298554e-05,-0.27221605927899556,-0.13527372637666724,,,,,,
90021,-0.2658835290423755,0.03820434409987286,0.6857597755121674,-0.38916402993405785,0.5605730856696474,1.3586591143330073,0.0,1.0,0,-1.3266838330302666,2014-05-19 21:00:00,1.3709,-0.00029173656395370395,-0.20131114361816016,-0.10031701167491147,,,,,,
90022,-0.25027020290280894,0.041246450459002,0.6872728365583498,-0.39132424999653925,0.5592648092787846,1.358374190513495,0.0,1.0,0,-1.5730823802018163,2014-05-19 22:00:00,1.37095,3.64717252989144e-05,-0.13371678522059882,-0.06675895041060287,,,,,,
90023,-0.25349531758442256,0.039685126832285984,0.6858733746627741,-0.39329334311676145,0.5579550362847734,1.3580878242833019,0.0,0.0,1,-1.6560606208611484,2014-05-19 23:00:00,1.3709,-3.64717252989144e-05,-0.0159121119693371,-0.007955888119248966,,,,,,
90024,-0.2477843571536584,0.0404215176074004,0.6859299653284379,-0.3942235320750503,0.5566553121214133,1.3578019311586014,0.0,0.0,1,-1.4822510060062257,2014-05-20 00:00:00,1.3709,0.0,0.003301428587505329,0.0016507127944338507,,,,,,
90025,-0.18062157296948037,0.05720893081139783,0.6961614564081291,-0.3881553904776727,0.5554461541569373,1.3575298672336882,0.0,0.0,1,-0.8223401265118063,2014-05-20 01:00:00,1.37125,0.00025527414758541594,-0.22874107571888824,-0.1138744541518465,,,,,,
90026,-0.21479206667401926,0.048717419526330755,0.6904025634871355,-0.38596767343405175,0.5542001687257239,1.3572506356640204,0.0,0.0,1,-0.983278633382464,2014-05-20 02:00:00,1.37105,-0.000145862962006027,0.101844866394721,0.0508784632486472,,,,,,
90027,-0.2644070385378634,0.035661208078534457,0.6817387493339726,-0.38874031506442297,0.5528946405743934,1.3569604282405925,0.0,0.0,1,-1.6645373190253219,2014-05-20 03:00:00,1.37075,-0.00021883434327624185,0.13346602423085113,0.0666341276620388,,,,,,
90028,-0.16957690770450207,0.05932554425225063,0.6963216907775718,-0.38157564124464066,0.5517142019183819,1.3566897499709591,0.0,0.0,1,-1.7479824963678692,2014-05-20 04:00:00,1.37125,0.0003646973052822689,-0.15449332102861704,-0.07709338154636447,,,,,,
90029,-0.16896103260594256,0.05998676916412786,0.6963679858540698,-0.37499001220946315,0.5505426935377002,1.3564195096252292,0.0,0.0,1,-0.8319815473750564,2014-05-20 05:00:00,1.37125,0.0,-0.1507605493995109,-0.07523782355536568,,,,,,
90030,-0.22118696532994314,0.04688676140703838,0.6876974978866809,-0.37415354487153535,0.54931099029367,1.3561382699074174,0.0,0.0,1,-0.7478105661889763,2014-05-20 06:00:00,1.37095,-0.00021880242228650149,0.1974357022297882,0.09839842069180382,-0.04545046366929272,-0.022685553695207385,9.94467154488588e-06,9.94467154488588e-06,4.963654099421871e-06,4.963654099421871e-06
90031,-0.19050077271960567,0.054459330249082526,0.6921064849604982,-0.3701717076723565,0.5481231908462408,1.3558632019327692,1.0,0.0,0,4.265271911432866,2014-05-20 07:00:00,1.3711,0.00010940719545576848,-0.0345170803243304,-0.01725682683942975,-0.06810691364067702,-0.03390407098698809,-7.451386412574695e-06,2.4932851323111857e-06,-3.7093493212196554e-06,1.2543047782022153e-06
90032,-0.471114729765461,-0.01824595719017049,0.6456613269421599,-0.3942920226952691,0.546576073005954,1.3555275658043167,1.0,0.0,0,3.7890653943935844,2014-05-20 08:00:00,1.3695,-0.0011676276594764778,0.4600807469939281,0.2260666627918504,-0.07344437590126011,-0.03652684754740002,8.575568473529897e-05,8.824896986761016e-05,4.2649757509824816e-05,4.390406228802703e-05
90033,-0.44293238613195435,-0.015055195613137454,0.6471999200712157,-0.4126182192494132,0.5450526512579389,1.355194406998177,1.0,0.0,0,5.632398404858457,2014-05-20 09:00:00,1.36955,3.6509008601970365e-05,0.40687000420633157,0.20067425529035754,-0.08337404990064874,-0.041476979302042485,-3.0439039050038916e-06,8.520506596260626e-05,-1.514283394122016e-06,4.238977889390501e-05
90034,-0.6118740435709707,-0.062319647015246706,0.6167746558637784,-0.44542496036989293,0.5432995120967812,1.3548217782133394,1.0,0.0,0,1.379209019483992,2014-05-20 10:00:00,1.3685,-0.0007669692310010022,0.9129409961484536,0.4272032086701356,-0.07023346836455206,-0.035067010097423065,5.3866909222093715e-05,0.00013907197518469997,2.689531776792495e-05,6.928509666182996e-05
90035,-0.34693575247160474,0.0006214705973148819,0.6561131359142155,-0.4480295254733368,0.5418711803928099,1.3545012825372278,1.0,0.0,0,-2.2665688681173117,2014-05-20 11:00:00,1.36985,0.0009859952959782037,0.3036300407680957,0.15065933948047272,-0.056883170527990586,-0.028505770945013272,-5.608653856092471e-05,8.298543662377527e-05,-2.810655606001524e-05,4.1178540601814715e-05
90036,-0.3555798082403601,-0.003130790385092505,0.6532886732172773,-0.45114296821191696,0.5404310226632454,1.3541775262211213,1.0,0.0,0,-3.4973869551309362,2014-05-20 12:00:00,1.36975,-7.300335818688497e-05,0.3757006533403193,0.18567147144260798,-0.030423025953411263,-0.01645819552756446,2.22098306080578e-06,8.520641968458104e-05,1.2015035432085765e-06,4.2380044145023294e-05
90037,-0.2753670696271637,0.01606187234766728,0.6650030110727408,-0.44589710359931944,0.5390943092264695,1.3538696053544914,0.5,0.5,0,-5.378321319973327,2014-05-20 13:00:00,1.37015,0.0002919814612517002,0.4430858765547187,0.21798817442134433,-0.016750448605706583,-0.009670085791582178,-4.8908204605157126e-06,8.031559922406533e-05,-2.8234857798554685e-06,3.955655836516783e-05
