level_0,index,spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,LDN,NY,Asia,target,Date,CCY,logret,Predictions,erf_signal,scaled_signal,scaled_signal_erf,strat_returns,strat_returns_sum,strat_returns_erf,strat_returns_sum_erf
60032,77532,-0.10652699702828707,-0.8644565545733636,-1.0728633736360704,-0.3629758579407776,-0.8095501722188437,-1.0085961076520764,1.0,0.0,0,0.0004702747274819422,2012-05-21 12:00:00,1.27695,-0.0004306210796837795,1.0,0.4621171572600098,1.0,0.46211715726000985,-0.0004306210796837795,-0.00035234012931309466,-0.00019899738919970436,-0.00016282241894679156
60033,77533,-0.28796927263054706,-0.9042629368058539,-1.0989744461857418,-0.38315889608125997,-0.8104784496259115,-1.0092681753887291,0.5,0.5,0,0.0004314994673206699,2012-05-21 13:00:00,1.27555,-0.0010969638710194296,1.0,0.4621171572600098,1.0,0.46211715726000985,-0.0010969638710194296,-0.0014493040003325242,-0.0005069258256924349,-0.0006697482446392264
60034,77534,-0.4325881191860276,-0.9380465706938871,-1.1212542739647697,-0.41438036329165884,-0.8115693080093885,-1.009971419776646,0.5,0.5,0,0.0008628805053745162,2012-05-21 14:00:00,1.27435,-0.0009412134504005187,1.0,0.4621171572600098,1.0,0.46211715726000985,-0.0009412134504005187,-0.002390517450733043,-0.000434950884073973,-0.0011046991287131994
60035,77535,-0.425517069199869,-0.9392689344707305,-1.1225486065810228,-0.4406204038600871,-0.8126612124166407,-1.010675723843289,0.5,0.5,0,-0.0008618326227804315,2012-05-21 15:00:00,1.27425,-7.847445660463802e-05,1.0,0.4621171572600098,1.0,0.46211715726000985,-7.847445660463802e-05,-0.002468991907337681,-3.626439280365933e-05,-0.0011409635215168588
60036,77536,-0.06048939692945231,-0.8593425674804372,-1.0714195236896153,-0.4276060108038325,-0.813353870987782,-1.011305941654345,0.5,0.5,0,-0.0028231991460893197,2012-05-21 16:00:00,1.2769,0.002077495210484198,1.0,0.4621171572600098,1.0,0.46211715726000985,0.002077495210484198,-0.00039149669685348276,0.0009600461808902434,-0.0001809173406266154
60037,77537,-0.0584585212373944,-0.8563876702249814,-1.069891205088662,-0.41540861044698807,-0.8140292226332411,-1.011933258035524,0.5,0.5,0,-0.0035269258285925004,2012-05-21 17:00:00,1.27695,3.915656754038821e-05,1.0,0.4621171572600098,1.0,0.46211715726000985,3.915656754038821e-05,-0.00035234012931309455,1.8094921679823774e-05,-0.00016282241894679164
60038,77538,0.09429218759749132,-0.8195068878612287,-1.0464420431586734,-0.3892245081979441,-0.8145200207172787,-1.012526254550591,0.0,1.0,0,-0.004745199986099999,2012-05-21 18:00:00,1.27815,0.0009392979438987981,1.0,0.4621171572600098,1.0,0.46211715726000985,0.0009392979438987981,0.0005869578145857035,0.00043406569565468476,0.00027124327670789315
60039,77539,0.06168061284716804,-0.8225799900552199,-1.0487448245180806,-0.3687765460738871,-0.8150243863805728,-1.0131218843542849,0.0,1.0,0,-0.005566458904788171,2012-05-21 19:00:00,1.278,-0.00011736400459444463,1.0,0.4621171572600098,1.0,0.46211715726000985,-0.00011736400459444463,0.0004695938099912589,-5.423592016783549e-05,0.00021700735654005767
60040,77540,0.18890622040365046,-0.7902295486465248,-1.0281696040944395,-0.3377747733109538,-0.8153675262362488,-1.0136873539277276,0.0,1.0,0,-0.01047171055427408,2012-05-21 20:00:00,1.27905,0.0008212589186881725,1.0,0.4621171572600098,1.0,0.46211715726000985,0.0008212589186881725,0.0012908527286794313,0.0003795178368786078,0.0005965251934186655
60041,77541,0.4988972370524442,-0.7151837859404294,-0.9799664784011355,-0.2796001719985646,-0.8153397813433865,-1.014183100964097,0.0,1.0,0,-0.010548083290654278,2012-05-21 21:00:00,1.28155,0.0019526679640370077,1.0,0.4621171572600098,1.0,0.46211715726000985,0.0019526679640370077,0.003243520692716439,0.0009023613686134731,0.0014988865620321388
60042,77542,0.5035347097591764,-0.705300137924531,-0.9737379115151471,-0.2271907292514625,-0.815264641410988,-1.014669369840598,0.0,1.0,0,-0.010161931487822587,2012-05-21 22:00:00,1.28185,0.00023406413464119316,1.0,0.4621171572600098,1.0,0.46211715726000985,0.00023406413464119316,0.003477584827357632,0.00010816505251691237,0.0016070516145490512
60043,77543,0.3399387392102775,-0.7338177751684813,-0.9922982810734778,-0.1962253372700281,-0.8153317536026596,-1.0151816974517527,0.0,0.0,1,-0.010475408187259574,2012-05-21 23:00:00,1.28085,-0.0007804269331216085,1.0,0.4621171572600098,1.0,0.46211715726000985,-0.0007804269331216085,0.0026971578942360237,-0.00036064867578330554,0.0012464029387657457
