,index,spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,LDN,NY,Asia,target,Date,CCY,logret
94489,111989,-0.12916408914178956,0.6345538144985634,1.3616887437129659,0.06401529185561855,0.9494124265703839,2.155180498287903,0.0,0.0,1,19.442927273061077,2017-11-21 05:00:00,1.1739,8.518976024232683e-05
94490,111990,-0.06684935669082942,0.6460599966814942,1.3679481018725057,0.06756145269692991,0.9493865056886699,2.1547712715708633,0.0,0.0,1,20.018441781544123,2017-11-21 06:00:00,1.1742,0.0002555257456090532
94491,111991,-0.046064644804008334,0.6495700012793609,1.369869209148772,0.07222775371565643,0.9493750773292903,2.1543651147041154,1.0,0.0,0,18.069352927024834,2017-11-21 07:00:00,1.1743,8.516074094991333e-05
94492,111992,-0.158489494507927,0.6251973604417614,1.3566182249576384,0.06463834188347066,0.9492594582952679,2.15394147920945,1.0,0.0,0,19.55831430065592,2017-11-21 08:00:00,1.1737,-0.0005110732649571958
94493,111993,-0.1128855277643606,0.6327524931529428,1.3607132122156815,0.06200501628449755,0.9491760247742352,2.1535238812323176,1.0,0.0,0,18.997320426685732,2017-11-21 09:00:00,1.1739,0.00017038677839822938
94494,111994,-0.2968070539079194,0.5924947958642967,1.3387970370469704,0.04088346725444777,0.9489212017763452,2.153077101491828,1.0,0.0,0,17.3570901207951,2017-11-21 10:00:00,1.1729,-0.0008522243570169841
94495,111995,-0.1298553222180638,0.6240470924251508,1.3559089393980697,0.03841626959255912,0.9488014195080356,2.1526540125909848,1.0,0.0,0,19.41512426760484,2017-11-21 11:00:00,1.1737,0.0006818375786187548
94496,111996,-0.4079509463618227,0.5638910405351549,1.3231600286417986,0.00805868344614869,0.9484257962589624,2.152187097896775,1.0,0.0,0,19.42640455692539,2017-11-21 12:00:00,1.1722,-0.0012788270637494046
94497,111997,-0.4994313183161485,0.5397636304175315,1.3099428290878434,-0.028323992343211965,0.9479490254463946,2.151702858814301,0.5,0.5,0,20.197170613015977,2017-11-21 13:00:00,1.1716,-0.0005119890887503863
94498,111998,-0.35988511502354437,0.5635157201922403,1.3227463469828513,-0.047034174519893855,0.9475753757640153,2.1512365254304036,0.5,0.5,0,16.367137907509377,2017-11-21 14:00:00,1.1722,0.0005119890887503863
94499,111999,-0.04117497581575898,0.6270440569945024,1.3572163286898893,-0.032311350572231494,0.9474735138602278,2.150817373445291,0.5,0.5,0,17.08502952788361,2017-11-21 15:00:00,1.1738,0.0013640240819053073
94500,112000,-0.28984411531765314,0.5748203553508868,1.3287987497655536,-0.04460781888167492,0.9471494442847002,2.1503602735608656,0.5,0.5,0,16.294643050384824,2017-11-21 16:00:00,1.1725,-0.001108127803799569
94501,112001,0.02466475175478706,0.638325968789703,1.3632631065487262,-0.024594364693225054,0.9470967924203877,2.1499503226950054,0.5,0.5,0,15.036675833303688,2017-11-21 17:00:00,1.1741,0.0013636753157315606
94502,112002,0.055487462566947386,0.6458452619474785,1.367357496390782,-0.004308461871767347,0.9470758698476782,2.149546374998033,0.0,1.0,0,13.410180492946772,2017-11-21 18:00:00,1.1743,0.0001703287348693017
94503,112003,0.10410126452244813,0.6573320780770182,1.3736222818191688,0.01804698715866791,0.9471034133447277,2.1491513467983747,0.0,1.0,0,10.872847735192948,2017-11-21 19:00:00,1.1746,0.000255438717383788
94504,112004,0.037314222195711184,0.6448629751390079,1.3668723270046947,0.03078140422768391,0.9470772087223469,2.1487476363313776,0.0,1.0,0,11.797215668074688,2017-11-21 20:00:00,1.1743,-0.000255438717383788
94505,112005,-0.04346975039182675,0.6284431007074687,1.357960170194549,0.03367380176834524,0.9469807474370592,2.1483323355943806,0.0,1.0,0,11.7398590371381,2017-11-21 21:00:00,1.1739,-0.0003406864865589665
94506,112006,-0.06222552847790268,0.6240340190514536,1.3555585119589895,0.03408767920166418,0.9468655274083703,2.147914261350979,0.0,1.0,0,12.936217831608333,2017-11-21 22:00:00,1.1738,-8.518976024232683e-05
94507,112007,-0.13634788813220566,0.60767255519653,1.3466544164907266,0.02680905991685565,0.9466807941262085,2.147484633969231,0.0,0.0,1,12.337161932993038,2017-11-21 23:00:00,1.1734,-0.00034083163247458637
94508,112008,0.030106111935677353,0.6412172834691393,1.3648571960735378,0.03672476962719471,0.9466392900116595,2.1470800895295095,0.0,0.0,1,12.397366789894743,2017-11-22 00:00:00,1.17425,0.0007241284153449988
94509,112009,-0.002534441153707519,0.6347749400643868,1.361369876265618,0.04198418415848898,0.9465700926854695,2.146671285147445,0.0,0.0,1,11.793189927119187,2017-11-22 01:00:00,1.1741,-0.00012774927093842092
94510,112010,-0.042290385469520075,0.6263607494536475,1.356808868329977,0.04244715707119619,0.9464649988102166,2.146256768072314,0.0,0.0,1,12.905475703918503,2017-11-22 02:00:00,1.1739,-0.00017035775168966485
94511,112011,-0.07942863184291353,0.6179711548391501,1.3522527188220712,0.03895105932108077,0.9463243212445747,2.1458365528436816,0.0,0.0,1,13.12475816433613,2017-11-22 03:00:00,1.1737,-0.00017038677839822938
94512,112012,-0.03874868077103158,0.6255721145366228,1.356377142808136,0.0397215835174074,0.9462163088154082,2.145422362576133,0.0,0.0,1,12.432476061089528,2017-11-22 04:00:00,1.1739,0.00017038677839822938
94513,112013,0.018306837305103543,0.6371421850510489,1.3626652639953418,0.04589435007312993,0.9461576594801383,2.145017109803126,0.0,0.0,1,12.317665389077044,2017-11-22 05:00:00,1.1742,0.0002555257456090532
94514,112014,0.05313872321085852,0.644684936550517,1.3667771592872122,0.05463334728739452,0.9461309531847059,2.1446178467100094,0.0,0.0,1,12.415497961686384,2017-11-22 06:00:00,1.1744,0.0001703142301657523
94515,112015,0.18060240843616232,0.6721706042962012,1.3817278019255885,0.0748878535482268,0.9462208512553927,2.1442391892828656,1.0,0.0,0,12.616025047611652,2017-11-22 07:00:00,1.1751,0.0005958714796441278
94516,112016,0.30077287346736004,0.6995778441770291,1.3966670953394702,0.10460992176165013,0.9464263697316737,2.1438810877081096,1.0,0.0,0,11.662079362914577,2017-11-22 08:00:00,1.1758,0.0005955166282591852
94517,112017,0.5089418879247842,0.7468796650315801,1.4224411940203499,0.15150491876581734,0.946831508091147,2.143558118913835,1.0,0.0,0,12.636763795009358,2017-11-22 09:00:00,1.177,0.0010200612921222318
94518,112018,0.23351420039069676,0.6941764504622724,1.39397260903071,0.16543181000237658,0.9470097117697774,2.1431970740342208,1.0,0.0,0,10.993986153794548,2017-11-22 10:00:00,1.1757,-0.0011051133865813412
