level_0,index,spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,LDN,NY,Asia,target,Date,CCY,logret,Predictions,erf_signal,scaled_signal,scaled_signal_erf,strat_returns,strat_returns_sum,strat_returns_erf,strat_returns_sum_erf
30005,47505,-0.08756602327654295,0.37606697306204645,0.5730366276673222,-0.15801095587020064,0.7068847438093631,0.5789249134437345,1.0,0.0,0,-0.23657152241968332,2007-08-03 09:00:00,1.36955,0.00036515008073872984,2.8057126746507333,0.8859674934758224,,,,,,
30006,47506,-0.07575871884491207,0.37797184836012576,0.5740291131919597,-0.1638566305910894,0.7061114182141517,0.579009534442973,1.0,0.0,0,-2.6804453907075354,2007-08-03 10:00:00,1.3696,3.6507675742814e-05,2.830423279123445,0.8885957409754723,,,,,,
30007,47507,-0.1342024868236982,0.3642818759620325,0.565728979235624,-0.17434893125072615,0.7052761511809399,0.5790837842475973,1.0,0.0,0,-3.1384927404944065,2007-08-03 11:00:00,1.3693,-0.00021906604928967344,2.907057193932734,0.8963883972929618,,,,,,
30008,47508,-0.12020035202483761,0.366221966095356,0.5667277694357903,-0.1818875776931595,0.7044549682175891,0.5791592752916628,1.0,0.0,0,-2.5023636192690395,2007-08-03 12:00:00,1.36935,3.651434101159534e-05,2.9321102397073493,0.8988222505947892,,,,,,
30009,47509,0.19895418684651817,0.43718648692142464,0.6088779445662248,-0.15699421007645312,0.7039819683666281,0.5792873435751694,0.5,0.5,0,-4.804105433162783,2007-08-03 13:00:00,1.37095,0.0011677554879540029,2.577827648006596,0.8588418013985801,,,,,,
30010,47510,0.8939928569584843,0.5969995887822255,0.7040970959399272,-0.06669340175951573,0.7042853209923942,0.5795341351134395,0.5,0.5,0,-6.910515121088372,2007-08-03 14:00:00,1.37455,0.0026224746408390343,1.6048438175631365,0.6653885742244521,,,,,,
30011,47511,1.2515991757643385,0.6895120249251346,0.7594285288222308,0.04841204336638071,0.7050347761073249,0.5798497556989355,0.5,0.5,0,-8.043477502113218,2007-08-03 15:00:00,1.37665,0.00152660686816114,1.1770134368308218,0.5288207738166248,,,,,,
30012,47512,1.5514328052894237,0.7728242112250207,0.8094090032330764,0.1799245792161327,0.7061832667081018,0.580227454093111,0.5,0.5,0,-7.922576741992738,2007-08-03 16:00:00,1.37855,0.0013792104393038904,0.9649604098042923,0.44822772357947827,,,,,,
30013,47513,1.4619789956054894,0.771270589836939,0.8089179448543221,0.28800354518744953,0.707317652982961,0.580604194235028,0.5,0.5,0,-7.348188910135129,2007-08-03 17:00:00,1.37855,0.0,1.0230744978068032,0.4711420831382003,,,,,,
30014,47514,1.4026056234928912,0.774185484347162,0.8110874736326892,0.3785066373292552,0.7084596423914983,0.5809832952975509,0.0,1.0,0,-8.26370920382047,2007-08-03 18:00:00,1.37865,7.253735677054117e-05,1.1177736648925203,0.5071510413400762,,,,,,
30015,47515,1.6176395036201183,0.8372169548965439,0.8490985716485192,0.4804788478622034,0.7099002348258738,0.581409469059463,0.0,1.0,0,-7.386120901327466,2007-08-03 19:00:00,1.3801,0.0010512008217662405,1.1750218659813978,0.5281030834980316,,,,,,
30016,47516,1.249769492408907,0.7709024570142128,0.8100891454914264,0.5356361287567623,0.7110115513607018,0.5817865754862787,0.0,1.0,0,-6.492565430911806,2007-08-03 20:00:00,1.37865,-0.0010512008217662405,1.4293122131453737,0.6135882559747283,,,,,,
30017,47517,0.9373190935118298,0.7114682655261091,0.7750826354753346,0.5549717572469842,0.7118287900594308,0.5821196645474392,0.0,1.0,0,-6.492565430911806,2007-08-03 21:00:00,1.37735,-0.000943396296383292,1.7522363844807556,0.7044693068936294,,,,,,
30018,47518,0.9026287273583915,0.7101180458444386,0.7746158992282688,0.5698731353487844,0.712634811248538,0.5824518755229878,0.0,1.0,0,-6.492565430911806,2007-08-03 22:00:00,1.37735,0.0,1.8457027449586367,0.7272435321727666,,,,,,
30019,47519,0.870657803444653,0.7087763031363444,0.7741513666999061,0.5810923363489316,0.7134297200660499,0.5827832118290365,0.0,0.0,1,-10.84941480228523,2007-08-03 23:00:00,1.37735,0.0,1.9488049774283196,0.7506325565863254,,,,,,
30020,47520,1.720782016846008,0.905619754753613,0.8918364757152739,0.6753691317579954,0.715172984597749,0.58326107414843,0.0,0.0,1,-9.099953298556303,2007-08-06 00:00:00,1.3818,0.0032256338788496093,2.024589564782102,0.7667094932027798,,,,,,
30021,47521,1.4920226804849546,0.8702624111497381,0.8713737184796486,0.7373870993177737,0.7167351823686322,0.5837129522882055,0.0,0.0,1,-9.14242955713979,2007-08-06 01:00:00,1.38105,-0.0005429176527298463,2.1254483535444253,0.7867042601393919,,,,,,
30022,47522,1.4484821586199725,0.8728729464900061,0.873492938045757,0.7891343631472452,0.7183011440660101,0.584167047859278,0.0,0.0,1,-8.66946291783106,2007-08-06 02:00:00,1.38115,7.240605317770932e-05,2.2811282168460094,0.8146039585692169,,,,,,
30023,47523,1.3504565991170017,0.8621165344974145,0.867644486569163,0.8265141535669978,0.7198061489465959,0.5846134183278091,0.0,0.0,1,-9.61861300319222,2007-08-06 03:00:00,1.38095,-0.00014481734937166202,2.417213965193321,0.8362611419059927,,,,,,
30024,47524,1.4380247601171672,0.8914740116531571,0.8856938666553532,0.8693937997912141,0.7214447375326826,0.5850818877222808,0.0,0.0,1,-9.831854295278784,2007-08-06 04:00:00,1.38165,0.0005067689965836396,2.5574138097257704,0.8561400096968708,,,,,,
30025,47525,1.3832143044667728,0.8895661116254033,0.8851433218134787,0.9031900772558855,0.7230648134978276,0.5855492268793613,0.0,0.0,1,-10.640720922787613,2007-08-06 05:00:00,1.38165,0.0,2.6887456696679477,0.8727185525787569,,,,,,
30026,47526,1.263986395009372,0.8720769397518231,0.875297693357199,0.9226591312595336,0.724591065584832,0.5860038408539703,0.0,0.0,1,-12.480567384923242,2007-08-06 06:00:00,1.3813,-0.00025335239644019847,2.8048614683181197,0.8858759280566006,,,,,,
30027,47527,1.5977335652714488,0.9548405778601003,0.9251968262209689,0.9738211060382858,0.7265093427573103,0.586520284102911,1.0,0.0,0,-12.567183212188297,2007-08-06 07:00:00,1.3832,0.0013745706631666519,2.0447894304053684,0.7708401198511108,,,,,,
30028,47528,1.1807638746876508,0.8725821848240503,0.8768246231759984,0.9794345537165732,0.7280185866857994,0.5869758802815437,1.0,0.0,0,-14.21007652028894,2007-08-06 08:00:00,1.3814,-0.0013021777142082636,2.398690046080274,0.8334547168259749,,,,,,
30029,47529,1.3242637068424699,0.9108200756450767,0.9001733794508572,0.9997171567183731,0.7297044189922851,0.5874601796566032,1.0,0.0,0,-14.174730738111457,2007-08-06 09:00:00,1.3823,0.0006513008154391263,2.334047359084786,0.8233156915490032,,,,,,
30030,47530,1.1627893859858782,0.882148506483735,0.8836823008183411,1.0030384131829688,0.7312419455470317,0.5879234430986827,1.0,0.0,0,-12.748242872756157,2007-08-06 10:00:00,1.3817,-0.0004341534076878206,2.5244002755069697,0.8516695307812594,,,,,,
30031,47531,0.7152228724369097,0.7867725208273738,0.8273747630173924,0.9633279287195416,0.7323091094596731,0.5883160152936069,1.0,0.0,0,-14.77045608846846,2007-08-06 11:00:00,1.3796,-0.0015210229999380045,3.00031607264825,0.9051768077730269,,,,,,
30032,47532,1.144310704989615,0.8831765803290162,0.885274584817849,0.9714053963990723,0.7338369450831865,0.5887804702257111,1.0,0.0,0,-14.307240591668705,2007-08-06 12:00:00,1.3818,0.0015933949920086676,2.546767372947442,0.8547120869625302,,,,,,
30033,47533,1.1112422347452213,0.8813212483502235,0.8847266137198716,0.9763182960718151,0.7353471934913202,0.5892438026607113,0.5,0.5,0,-14.012918970498438,2007-08-06 13:00:00,1.3818,0.0,2.8411724872697595,0.8897211591572898,,,,,,
30034,47534,0.7642417273457649,0.8082435010616438,0.84170787434971,0.947653248978694,0.7364951712258656,0.5896530199334712,0.5,0.5,0,-15.463328052964131,2007-08-06 14:00:00,1.3802,-0.0011585808681929266,3.254154495895258,0.9256442239891205,,,,,,
30035,47535,0.6258722257860699,0.7776978938839357,0.8239409571002818,0.9097190786870424,0.7374888258038819,0.5900396893646815,0.5,0.5,0,-14.360683084883894,2007-08-06 15:00:00,1.37955,-0.00047105716968520733,3.38318424668296,0.9343496962208582,,,,,,
30036,47536,0.4946053536598198,0.7472479772671407,0.8061849981513807,0.864199188268288,0.7383295034782263,0.5904038499436604,0.5,0.5,0,-14.53611783648699,2007-08-06 16:00:00,1.3789,-0.00047127916912081963,3.4836365088786967,0.9404371502734312,,,,,,
30037,47537,0.4882558308996496,0.7436103781757268,0.8043706442182567,0.8241076117399943,0.7391478645872435,0.5907654175977284,0.5,0.5,0,-15.021179546998528,2007-08-06 17:00:00,1.37885,-3.626144502261175e-05,3.4373313736670594,0.9377021619002195,,,,,,
30038,47538,0.5397819943022633,0.7533493595801244,0.8105263822569085,0.794369865651391,0.7400087824044084,0.5911343390155225,0.0,1.0,0,-15.763543158507316,2007-08-06 18:00:00,1.3791,0.00018129407761907637,3.2807127563333265,0.9275223705435067,,,,,,
30039,47539,0.7150872407663619,0.7920062001206999,0.8339384942108616,0.7858061234052006,0.7410519885514323,0.5915321368316636,0.0,1.0,0,-15.090450335621119,2007-08-06 19:00:00,1.38,0.0006523866709582937,3.070978810807067,0.9113592989473904,,,,,,
30040,47540,0.3548548022359646,0.712541835929852,0.7869721512716829,0.7434329011635179,0.7417047080370691,0.5918709663171122,0.0,1.0,0,-15.80193911754607,2007-08-06 20:00:00,1.37825,-0.0012689206814573415,3.403019595659998,0.9355975439144808,,,,,,
30041,47541,0.559408201432037,0.755781990237407,0.8130557789059843,0.7264641461182685,0.7425630829359019,0.5922420391555544,0.0,1.0,0,-16.506248450156747,2007-08-06 21:00:00,1.37925,0.0007252946827472906,3.1507186526123077,0.9178740587540104,,,,,,
30042,47542,0.5918580630904857,0.7632657252460008,0.8178802863592667,0.7149986897693094,0.7434528796748028,0.5926187940162226,0.0,1.0,0,-16.177926999433357,2007-08-06 22:00:00,1.37945,0.00014499583162386198,3.09605561766125,0.9134594992447613,,,,,,
30043,47543,0.6018664084394144,0.7662755681528975,0.8200468445333854,0.7061573526323706,0.7443522681592176,0.5929979081475574,0.0,0.0,1,-18.240749327604203,2007-08-06 23:00:00,1.37955,7.24900326522504e-05,3.1053977970178526,0.9142297011886107,,,,,,
30044,47544,0.907267198403067,0.8360709483658078,0.862040695507763,0.7285325035904642,0.7455844424261633,0.5934290726266548,0.0,0.0,1,-17.678016231142717,2007-08-07 00:00:00,1.38115,0.0011591264383259971,2.876953997556061,0.8933907227715316,,,,,,
30045,47545,0.8578231920036667,0.8299475794652251,0.8588641745055495,0.7437158790086212,0.7467800756657883,0.5938558700241665,0.0,0.0,1,-17.15385703434435,2007-08-07 01:00:00,1.38105,-7.240605317770932e-05,2.9623147582567517,0.9016846030388588,,,,,,
30046,47546,0.7231548487039361,0.8038093568426085,0.8437421744191154,0.7442293916909958,0.7478425071863323,0.5942634001782258,0.0,0.0,1,-16.562565979553487,2007-08-07 02:00:00,1.3805,-0.0003983270317554633,3.0932087606758456,0.9132234845218852,,,,,,
30047,47547,0.6464843744504291,0.788887643755641,0.8352691089346521,0.7374780850342847,0.7488267837237548,0.5946599805307712,0.0,0.0,1,-17.071801032437637,2007-08-07 03:00:00,1.3802,-0.0002173361837076171,3.1556239877538594,0.9182595030851373,,,,,,
30048,47548,0.732492846617427,0.8096349828819055,0.8480427926446149,0.740230403139637,0.7499059874973879,0.5950721340461913,0.0,0.0,1,-17.07116180040096,2007-08-07 04:00:00,1.3807,0.00036220073560516713,3.084458939343431,0.9124942404334788,,,,,,
30049,47549,0.7240380457827049,0.8102824174354725,0.8488594444947061,0.7421076317982352,0.750982303815089,0.5954849241409521,0.0,0.0,1,-16.492265402156598,2007-08-07 05:00:00,1.38075,3.621285919014339e-05,3.1012216426399632,0.9138862170058015,,,,,,
30050,47550,0.6172517931241228,0.7886622639896481,0.8363965808613685,0.7335774360800942,0.7519479883364806,0.5958817812251237,0.0,0.0,1,-17.88028377562653,2007-08-07 06:00:00,1.3803,-0.00032596295176418044,3.1876615230340066,0.9207346184726604,,,,,,
